Alpha Cd Cd(f) Cd(r) Cl Cl(f) Cl(r) CmPitch CmRoll CmYaw Cs Cs(f) Cs(r) xcp Ux_final Uy_final k_final p_final omega_final Cl_res Cd_res Cm_res yplus iter_n
-10 1.5846296081211048e-01 6.6937298126046008e-01 -5.1091002044834954e-01 -5.9014150085440475e-01 -1.3013687707943269e-01 -4.6000462377497203e-01 1.6493387334776968e-01 5.9014150085440487e-01 1.5846296081211048e-01 -7.9694771624694083e-22 1.5846296081211048e-01 -1.5846296081211048e-01 0.5209640928438617 1.3756642988478560e-07 6.2338104669111599e-07 2.2874612788556922e-09 7.4201265724626457e-07 4.6242335119640538e-11 0.013528326224600984 0.0023506502965683074 0.006429770925344719 1.7810997319829804e+00 5001
-5 8.1739313560673807e-02 1.6650710744430597e-01 -8.4767793883632175e-02 -1.2563745066396906e-01 -4.2307437572878401e-02 -8.3330013091090671e-02 2.0511287759106132e-02 1.2563745066396906e-01 8.1739313560673807e-02 7.3261178981918044e-22 8.1739313560673807e-02 -8.1739313560673807e-02 0.40505562883597396 2.3833608646999391e-08 2.6729325030743219e-07 1.1977890219184091e-09 2.8384856288844202e-07 2.7991766673420241e-11 0.00046999091572147433 0.0011933161575198997 8.971836722095408e-05 1.6308467011165635e+00 5001
-2 5.5248331303597881e-02 -4.1368136427818530e-02 9.6616467731416411e-02 6.8992302079617471e-02 3.8662092424227253e-02 3.0330209655390211e-02 4.1659413844185198e-03 -6.8992302079617471e-02 5.5248331303597867e-02 5.8193424335740824e-22 5.5248331303597867e-02 -5.5248331303597867e-02 0.1878423055001979 9.0343986030869898e-09 1.7245863126900820e-07 9.5153062421336666e-10 1.5227638017070931e-07 2.2169045149295190e-11 0.0009612625360176097 0.0003350353194050068 4.701915485932559e-05 1.6038646960900405e+00 5001
0 3.3955194124407950e-02 -3.8275502300597553e-01 4.1671021713038348e-01 3.9973262006817950e-01 1.4731370996586332e-01 2.5241891010231621e-01 -5.2552600068226443e-02 -3.9973262006817950e-01 3.3955194124407950e-02 5.3954814294373788e-22 3.3955194124407950e-02 -3.3955194124407950e-02 0.3814693808557904 1.3131756658915609e-09 1.5034394187685439e-07 8.2458247480631175e-10 1.3171156829356529e-07 2.0989212602400890e-11 0.0019438558945718554 0.001841970640829381 0.0001299604998974621 1.6574426731291620e+00 5001
2 2.7655541097443365e-02 -7.2807937623571195e-01 7.5573491733315534e-01 7.4190714678443370e-01 2.8039299677953999e-01 4.6151415000489371e-01 -9.0560576612676899e-02 -7.4190714678443370e-01 2.7655541097443365e-02 1.4514675316917510e-22 2.7655541097443365e-02 -2.7655541097443365e-02 0.3719801898137459 9.6867532382038747e-10 2.8773218488918709e-08 6.2104450948626665e-10 1.2643598896284259e-07 1.6560765585471501e-11 0.0026367569687733017 0.0018408905867347072 0.00027358271002951573 1.5199874931278230e+00 5001
6 2.3726642553635845e-02 -1.2579925760833046e+00 1.2817192186369404e+00 1.2698558973601224e+00 5.3158896798630362e-01 7.3826692937381888e-01 -1.0333898069375758e-01 -1.2698558973601224e+00 2.3726642553635845e-02 -7.6991490582819622e-22 2.3726642553635845e-02 -2.3726642553635845e-02 0.3316663872393666 4.2239144150648097e-09 4.6182138601044640e-08 6.9849050753932548e-10 6.1066583934169393e-08 1.2253985860869370e-11 0.00033769401997307824 0.00029601738945502984 0.00016721057486429602 1.6230801552630225e+00 624
10 2.9166996016081245e-02 -1.5416750929031553e+00 1.5708420889192367e+00 1.5562585909111959e+00 6.8568747568979549e-01 8.7057111522140052e-01 -9.2441819765802569e-02 -1.5562585909111959e+00 2.9166996016081300e-02 -1.3481436166025642e-21 2.9166996016081300e-02 -2.9166996016081300e-02 0.3101177100725036 6.5665839894383916e-09 2.9762707896493420e-08 9.9017794646179175e-10 6.2964168106312754e-08 7.4304481505689184e-12 3.3468101916511728e-06 2.598498601905433e-05 7.599064231535169e-05 1.9337280798298062e+00 373
12 4.6484976503501939e-02 -1.6185721341164334e+00 1.6650571106199354e+00 1.6418146223681844e+00 7.2507137550223422e-01 9.1674324686595021e-01 -9.5835935681857970e-02 -1.6418146223681844e+00 4.6484976503501939e-02 -1.3652638747886921e-21 4.6484976503501939e-02 -4.6484976503501939e-02 0.30931903236152497 6.5801570678906044e-09 2.6669045168774560e-08 8.4486873861549598e-10 3.1980809639161350e-08 5.7648775530172877e-12 0.0003795262163481805 8.017792742007895e-05 2.0811430157655075e-05 2.0475673856393937e+00 369
14 1.0549162824892334e-01 -1.4158472484843274e+00 1.5213388767332505e+00 1.4685930626087891e+00 6.1130242464700968e-01 8.5729063796177929e-01 -1.2299410665738478e-01 -1.4685930626087891e+00 1.0549162824892334e-01 -1.1284314122886024e-21 1.0549162824892334e-01 -1.0549162824892334e-01 0.33479484907061685 7.8385220641227728e-09 3.0292606876533251e-08 2.7384807279334951e-10 7.5306348242038306e-08 5.4041603365351068e-12 0.000848821591623361 8.234964376109544e-05 0.00020610259337525139 1.9872585200927320e+00 680
16 2.1238883301315961e-01 -1.0178168220329489e+00 1.2302056550461085e+00 1.1240112385395287e+00 3.9318836876404312e-01 7.3082286977548550e-01 -1.6881725050572116e-01 -1.1240112385395287e+00 2.1238883301315961e-01 -5.3061260350920291e-22 2.1238883301315961e-01 -2.1238883301315961e-01 0.3982138575328136 3.9681762963578877e-09 1.0842518632745700e-08 2.6399842413126973e-10 7.8233437694338814e-08 5.8945182409979323e-12 0.0008594206531078452 0.00016184135236801955 0.0001002012893060178 1.7371060550867714e+00 920
18 2.5072356289411923e-01 -9.8984024622062239e-01 1.2405638091147417e+00 1.1152020276676819e+00 3.8335017142798072e-01 7.3185185623970128e-01 -1.7425084240586031e-01 -1.1152020276676819e+00 2.5072356289411923e-01 -5.1677247241571006e-22 2.5072356289411923e-01 -2.5072356289411923e-01 0.40310706356655746 3.1542261439213510e-09 6.8725856314893357e-09 7.6832511602451150e-10 7.8344605209464684e-08 4.6847861320536183e-12 0.0005392646139283919 0.00011459633814620007 8.879283495305534e-05 1.7633436922498389e+00 1061
20 2.9067266759266436e-01 -9.8054684829002914e-01 1.2712195158826933e+00 1.1258831820863613e+00 3.8201249855947150e-01 7.4387068352688968e-01 -1.8092909248370906e-01 -1.1258831820863613e+00 2.9067266759266436e-01 -4.5087029366906033e-22 2.9067266759266436e-01 -2.9067266759266436e-01 0.40632373293309554 2.0958288681292598e-09 5.0988987807872164e-09 5.8234548189497006e-10 7.6545704050627518e-08 3.9023238519089653e-12 0.0006813963456235861 0.00024033452759558704 3.6897874392843866e-05 1.7956983952151804e+00 1590
22 3.3018022272977110e-01 -9.5934690522947130e-01 1.2895271279592424e+00 1.1244370165943569e+00 3.7650950602258931e-01 7.4792751057176754e-01 -1.8570900227458909e-01 -1.1244370165943569e+00 3.3018022272977110e-01 -4.1815121452512402e-22 3.3018022272977110e-01 -3.3018022272977110e-01 0.40923635127850577 2.3842997116290270e-09 5.0486468262057263e-09 7.0158635887385592e-10 7.8343240744382162e-08 3.1175072307149930e-12 0.0004518561639805796 0.00014416735303235395 9.384344945739809e-06 1.8269526978638464e+00 2197
