Alpha Cd Cd(f) Cd(r) Cl Cl(f) Cl(r) CmPitch CmRoll CmYaw Cs Cs(f) Cs(r) xcp Ux_final Uy_final k_final p_final omega_final Cl_res Cd_res Cm_res yplus iter_n
-10 9.3027236596240376e-02 2.3009198568080644e-01 -1.3706474908456606e-01 -1.8357836738268626e-01 -6.9771312096161442e-02 -1.1380705528652481e-01 2.2017871595181690e-02 1.8357836738268626e-01 9.3027236596240376e-02 -1.8609277190473880e-21 9.3027236596240376e-02 -9.3027236596240376e-02 0.3617979608496765 5.0763800422716047e-08 1.6575349866524649e-07 1.1834338081758549e-09 2.2825890806822770e-07 3.2985670457790853e-11 0.001298066643791923 0.0002731157729267131 1.2449947901518876e-05 1.5917326179437807e+00 5001
-5 6.8509400914866042e-02 6.2239958488396703e-02 6.2694424264693434e-03 -2.7985258030963692e-02 -1.6133882886751529e-02 -1.1851375144212164e-02 -2.1412538712696823e-03 2.7985258030963679e-02 6.8509400914866042e-02 -1.2555072834903984e-21 6.8509400914866042e-02 -6.8509400914866042e-02 0.18674240854432217 2.2363010380579040e-08 1.8033925814327721e-07 5.5618964826342127e-10 1.2636215753682401e-07 2.8902681633016871e-11 0.004873939139062977 0.004131440951955154 0.0002112951089971427 1.5786552913397829e+00 5001
-2 5.4515863941377321e-02 -1.2017569788345950e-01 1.7469156182483681e-01 1.4743362985414815e-01 4.0918649601865420e-02 1.0651498025228272e-01 -3.2798165325208656e-02 -1.4743362985414815e-01 5.4515863941377314e-02 -1.4434287477268350e-22 5.4515863941377314e-02 -5.4515863941377314e-02 0.4755080133183516 8.8352246194119634e-09 1.5084367654735659e-07 7.5713837509230326e-10 1.5579271950024171e-07 3.6811476695613193e-11 0.0008964745558378839 0.001731293951245022 0.000710583085148403 1.5564518976578603e+00 5001
0 2.5539792244062384e-02 -4.4169180596631713e-01 4.6723159821037946e-01 4.5446170208834830e-01 1.5366085961695358e-01 3.0080084247139471e-01 -7.3569991427220566e-02 -4.5446170208834830e-01 2.5539792244062384e-02 2.6786611525476514e-22 2.5539792244062384e-02 -2.5539792244062384e-02 0.4118838091067978 3.2106006586881520e-09 3.7314146261304002e-07 9.3538372213003532e-10 1.3614336184349131e-07 2.6548846866711811e-11 0.0006586598109332154 0.0006593181401224855 0.00033603636381360213 1.4979792278743762e+00 5001
2 2.5224186580999758e-02 -7.7654007846510142e-01 8.0176426504610110e-01 7.8915217175560126e-01 2.8004345201711900e-01 5.0910871973848226e-01 -1.1453263386068163e-01 -7.8915217175560126e-01 2.5224186580999775e-02 1.4645210789230695e-21 2.5224186580999775e-02 -2.5224186580999775e-02 0.39506032495879345 2.7657509326733912e-09 4.6104805257677993e-08 9.8771337063363546e-10 7.3143224538347778e-08 1.1086005535030879e-11 0.00017295018186880284 0.0001822879278421223 0.00012775118800545382 1.4582351930822157e+00 580
6 1.8140285793031830e-02 -1.2866882263361812e+00 1.3048285121292129e+00 1.2957583692326970e+00 5.1726494847223148e-01 7.7849342076046546e-01 -1.3061423614411696e-01 -1.2957583692326970e+00 1.8140285793031830e-02 1.9137777472880290e-21 1.8140285793031830e-02 -1.8140285793031830e-02 0.35120770528132034 9.2777344040598092e-09 6.0168609139204040e-08 9.7636414842807994e-10 6.0047635810983287e-08 1.7428627829030570e-11 8.054327924944538e-05 8.594931249973278e-05 0.00013756869129863403 1.8381457631686269e+00 261
10 3.3063119994830872e-02 -1.5361174643550612e+00 1.5691805843498920e+00 1.5526490243524766e+00 6.5834508393986857e-01 8.9430394041260808e-01 -1.1797942823636970e-01 -1.5526490243524766e+00 3.3063119994830872e-02 1.8539484638025852e-21 3.3063119994830872e-02 -3.3063119994830872e-02 0.3268694703967978 1.8022726883086952e-08 5.2799888229231918e-08 5.6212758070769207e-10 6.8837021499670896e-08 1.7115339300159690e-11 0.0007385985371179959 0.00045213106717980484 0.0005153913647587827 2.0986347163684043e+00 214
12 4.9300886423560952e-02 -1.5950882084560798e+00 1.6443890948796409e+00 1.6197386516678602e+00 6.9742243886721833e-01 9.2231621280064202e-01 -1.1244688696671187e-01 -1.6197386516678602e+00 4.9300886423560952e-02 1.6306930146534729e-21 4.9300886423560952e-02 -4.9300886423560952e-02 0.3205175785539009 1.8239159506822921e-08 5.3893714879815591e-08 7.2026768367941211e-10 7.6418512572160400e-08 1.3017027642175000e-11 0.002882320458819976 0.0003726742804779637 0.0005821985759951881 2.1843118551340455e+00 283
14 7.4671262338195155e-02 -1.6092929757789334e+00 1.6839642381171285e+00 1.6466286069480309e+00 7.0452951613847237e-01 9.4209909080955856e-01 -1.1878478733554307e-01 -1.6466286069480309e+00 7.4671262338195155e-02 1.4398448466515704e-21 7.4671262338195155e-02 -7.4671262338195155e-02 0.32351538624018994 1.7721885969788490e-08 5.4966613718548403e-08 6.6533836879048263e-10 7.5468207398073636e-08 8.8554162886220250e-12 0.0013824150194925444 0.00020888817492337175 5.217087566833367e-05 2.2528106330471451e+00 337
16 1.0326447347232534e-01 -1.5881914425402426e+00 1.6914559160125682e+00 1.6398236792764054e+00 7.0083976466830544e-01 9.3898391460810005e-01 -1.1907207496989729e-01 -1.6398236792764054e+00 1.0326447347232534e-01 1.3498155437889300e-21 1.0326447347232534e-01 -1.0326447347232534e-01 0.32419915423966483 1.4132303771262600e-08 3.3237757663174191e-08 7.1894545709292691e-10 7.8231371350805422e-08 1.6808124021004659e-11 0.0014298587120082917 2.3156874793456295e-05 0.0001627439218673532 2.2987612316423007e+00 528
18 2.8289075186563906e-01 -9.9116590253525982e-01 1.2740566544008989e+00 1.1326112784680793e+00 3.5292562676626221e-01 7.7968565170181714e-01 -2.1338001246777746e-01 -1.1326112784680793e+00 2.8289075186563900e-01 1.5065863837613695e-21 2.8289075186563900e-01 -2.8289075186563900e-01 0.43322244352472505 1.4938756926380231e-07 3.4504091329927188e-07 3.2863215205210891e-09 1.3197878743034230e-06 2.7845792857766401e-11 0.00043094483551819884 0.0019420958465292126 0.001972068856739395 1.8472911744978260e+00 5001
20 4.7766073063344955e-01 -1.2557157491313748e+00 1.7333764797648246e+00 1.4945461144480998e+00 3.9474207004981338e-01 1.0998040443982864e+00 -3.5253098717423653e-01 -1.4945461144480998e+00 4.7766073063344955e-01 2.3014787983748527e-21 4.7766073063344955e-01 -4.7766073063344955e-01 0.4748594762402023 4.8555309667063173e-07 8.8992372960185136e-07 1.2510329895316300e-08 5.2821494692090939e-06 6.5174595036120266e-11 0.01583032224507952 0.0035187807089407386 0.0036882714554888896 1.8969077274594814e+00 5001
22 3.0748641188998177e-01 -9.0914364310689189e-01 1.2166300549968736e+00 1.0628868490518828e+00 3.4497640484250386e-01 7.1791044420937888e-01 -1.8646701968343751e-01 -1.0628868490518828e+00 3.0748641188998177e-01 1.6835843356796619e-21 3.0748641188998177e-01 -3.0748641188998177e-01 0.41941105932867584 5.7386036146298749e-07 1.1660659537657999e-06 1.0793272992709710e-08 3.6595564447489999e-06 5.9715643654619363e-11 0.003845364852409272 0.004990570118036608 0.004139788119794902 2.0135363847855974e+00 5001
