Alpha Cd Cd(f) Cd(r) Cl Cl(f) Cl(r) CmPitch CmRoll CmYaw Cs Cs(f) Cs(r) xcp Ux_final Uy_final k_final p_final omega_final Cl_res Cd_res Cm_res yplus iter_n
-10 1.1446937856750920e-01 3.2365019103727688e-01 -2.0918081246976769e-01 -2.6641550175352230e-01 -7.5339770712420956e-02 -1.9107573104110134e-01 5.7867980164340187e-02 2.6641550175352230e-01 1.1446937856750922e-01 1.0052195561540097e-21 1.1446937856750922e-01 -1.1446937856750922e-01 0.4550271493618649 7.9703113103772748e-09 2.6625121567957820e-08 3.6921677074790360e-10 7.2666976327897654e-08 1.4267457087561350e-12 0.0002847579122624566 2.618616160252052e-05 0.00013059192708941153 1.4213704159140275e+00 2343
-5 7.1460373594736740e-02 1.9064222918621612e-01 -1.1918185559147937e-01 -1.5491204238884773e-01 -2.4406621086951404e-02 -1.3050542130189632e-01 5.3049400107472465e-02 1.5491204238884773e-01 7.1460373594736726e-02 6.5510842295457710e-22 7.1460373594736726e-02 -7.1460373594736726e-02 0.5804214046023985 3.8568970595889933e-09 2.5423665765835180e-08 6.8968711138641217e-10 4.5581279956518933e-08 6.4914560797852799e-13 1.9525817250898303e-05 3.4598500391710973e-05 8.514080523772116e-05 1.4173489471237835e+00 2375
-2 5.0299266237118972e-02 3.2664706632956661e-02 1.7634559604162318e-02 -7.5150735143971721e-03 2.5330163662820839e-02 -3.2845237177218010e-02 2.9087700420019427e-02 7.5150735143971721e-03 5.0299266237118972e-02 2.2316767001525698e-22 5.0299266237118972e-02 -5.0299266237118972e-02 3.3892152465963963 1.3552993497994220e-09 2.5264262876958801e-08 3.3094963770736189e-10 1.2782473678508920e-08 4.4668241398291971e-13 1.7931266796744096e-05 7.274016648656234e-06 3.183364512973283e-05 1.4038468314909662e+00 1697
0 3.6835563377277579e-02 -2.3553138853551089e-01 2.7236695191278848e-01 2.5394917022414970e-01 1.1350205253492013e-01 1.4044711768922957e-01 -1.3472532577154720e-02 -2.5394917022414970e-01 3.6835563377277579e-02 -4.0155706685747037e-22 3.6835563377277579e-02 -3.6835563377277579e-02 0.30305208347506357 9.6287005780316139e-10 3.6718563651201367e-08 3.1262988426484229e-10 2.7056697286698651e-09 4.3530933736085479e-13 9.25823296121786e-06 4.521305950536125e-06 4.519756201476141e-06 1.3562264169582183e+00 1321
2 2.7394547027411092e-02 -5.7562773893496766e-01 6.0302228596237872e-01 5.8932501244867319e-01 2.4148471203492569e-01 3.4784030041374753e-01 -5.3177794189410918e-02 -5.8932501244867319e-01 2.7394547027411092e-02 -1.1766951887689565e-21 2.7394547027411092e-02 -2.7394547027411092e-02 0.3401437615595131 6.9595441218877456e-10 2.8814999147151371e-08 6.0456965610425833e-10 1.7392323809201920e-08 8.8836311822787843e-13 2.666583531851785e-05 5.351763354071587e-06 9.203255826886747e-06 1.4130554541982461e+00 1045
6 1.8314242198992386e-02 -1.1338706633863640e+00 1.1521849055853566e+00 1.1430277844858603e+00 4.9263478189169685e-01 6.5039300259416344e-01 -7.8879110351233295e-02 -1.1430277844858603e+00 1.8314242198992400e-02 -2.2194721728593175e-21 1.8314242198992400e-02 -1.8314242198992400e-02 0.3192723806941821 2.8243809040514698e-09 3.6851206792374549e-08 4.2210279979327452e-10 5.6214977281991727e-08 6.9438981408285918e-12 0.00036672420532912753 0.0002811497406290074 3.702819894568776e-05 1.6741688295913157e+00 624
10 2.4635148087485917e-02 -1.5215873705483847e+00 1.5462225186358707e+00 1.5339049445921276e+00 6.9081114469511240e-01 8.4309379989701516e-01 -7.6141327600951353e-02 -1.5339049445921276e+00 2.4635148087485917e-02 -3.1074177817983611e-21 2.4635148087485917e-02 -2.4635148087485917e-02 0.3002623054348146 5.4523740020729451e-09 2.8267100954134820e-08 4.2950695424803061e-10 4.0349468896443592e-08 9.8277194081733023e-12 0.00040342034472140575 0.00028231530633838 7.220827134912788e-05 1.8876855860442474e+00 433
12 3.9706817939123368e-02 -1.6545353254707966e+00 1.6942421434099200e+00 1.6743887344403583e+00 7.5783422181242033e-01 9.1655451262793808e-01 -7.9360145407758861e-02 -1.6743887344403583e+00 3.9706817939123368e-02 -3.1530471701788629e-21 3.9706817939123368e-02 -3.9706817939123368e-02 0.29821233395331825 4.1904717098829112e-09 2.8249520076686311e-08 3.1693571293704250e-10 3.6326489577901672e-08 9.0766534011673211e-12 0.0006714061476946753 0.0003250032738558242 1.4014527821612499e-05 1.9712861796284944e+00 426
14 8.7357632440118196e-02 -1.6460978695144228e+00 1.7334555019545410e+00 1.6897766857344818e+00 7.2180063754861157e-01 9.6797604818587035e-01 -1.2308770531862942e-01 -1.6897766857344818e+00 8.7357632440118196e-02 -3.0033083943352852e-21 8.7357632440118196e-02 -8.7357632440118196e-02 0.32411721480416356 5.2693924508806306e-09 3.3593762289821157e-08 7.0469438517685418e-10 4.5903287665168587e-08 9.4696189914371996e-12 0.0012543251901213637 6.517317655829746e-06 9.274702095109222e-05 1.9853056765877268e+00 418
16 1.8763853359240532e-01 -1.0522724390008931e+00 1.2399109725932984e+00 1.1460917057970958e+00 4.2390304781309629e-01 7.2218865798399956e-01 -1.4914280508545164e-01 -1.1460917057970958e+00 1.8763853359240532e-01 -2.0438335388483521e-21 1.8763853359240532e-01 -1.8763853359240532e-01 0.3793054993853068 3.0003229891504881e-09 8.7194568418709878e-09 3.2491117865139942e-10 7.6474936933198599e-08 8.2810535368118558e-12 0.0010063447827670657 0.00037009873545992833 5.727643195591048e-05 1.7404425779154735e+00 1010
