Alpha Cd Cd(f) Cd(r) Cl Cl(f) Cl(r) CmPitch CmRoll CmYaw Cs Cs(f) Cs(r) xcp Ux_final Uy_final k_final p_final omega_final Cl_res Cd_res Cm_res yplus iter_n
-10 1.1846760123622127e-01 3.2710122024869281e-01 -2.0863361901247157e-01 -2.6786741963058219e-01 -7.6708439026698341e-02 -1.9115898060388384e-01 5.7225270788592748e-02 2.6786741963058219e-01 1.1846760123622127e-01 1.1791085782069127e-21 1.1846760123622127e-01 -1.1846760123622127e-01 0.45123554646973424 5.2808772669612222e-08 3.3245363334589288e-07 3.8038677186960517e-09 2.2620117675644079e-07 5.1046063429139379e-11 0.0035704039389469755 0.0029021533039974012 0.0023901703621729414 1.5337682848124909e+00 5001
-5 5.5575300236579632e-02 1.5750230958262465e-01 -1.0192700934604501e-01 -1.2971465946433483e-01 -1.5288289582353542e-02 -1.1442636988198128e-01 4.9569040149813871e-02 1.2971465946433483e-01 5.5575300236579625e-02 5.6627036496656450e-22 5.5575300236579625e-02 -5.5575300236579625e-02 0.6197395138798911 6.0788741360574901e-08 4.8556126834019983e-07 2.3863162636756610e-09 5.5796001569117105e-07 5.2470449606382062e-11 3.2650021650842964e-05 0.003020490943909479 4.386486518673238e-05 1.4705216631581006e+00 5001
-2 6.1448893846546684e-02 3.4789225771121847e-02 2.6659668075424841e-02 -4.0647788478485021e-03 2.7703761693467520e-02 -3.1768540541316025e-02 2.9736151117391772e-02 4.0647788478484987e-03 6.1448893846546684e-02 2.2185882526548487e-22 6.1448893846546684e-02 -6.1448893846546684e-02 5.040869415076675 7.2915412556863946e-09 2.2864025821428980e-07 4.7959812999224200e-10 1.5500843403583171e-07 3.6084730397531942e-11 0.003198420174182406 0.0018818775752692668 0.0002517185375012568 1.3793007535013233e+00 5001
0 3.3167177778831047e-02 -2.4946058654462092e-01 2.8262776432345194e-01 2.6604417543403641e-01 1.1922316387100965e-01 1.4682101156302677e-01 -1.3798923846008563e-02 -2.6604417543403641e-01 3.3167177778831047e-02 -4.7424230728422530e-22 3.3167177778831047e-02 -3.3167177778831047e-02 0.3018670398383892 5.5444986250119019e-09 8.2447618366002485e-06 4.2791192573442318e-10 1.6656604023922301e-07 3.6819616759209973e-11 0.004106560148337102 0.0035206898019789767 0.0005188252849800609 1.4249944267839283e+00 5001
2 3.4954181415642355e-02 -5.6945629486312122e-01 6.0441047627876343e-01 5.8693338557094232e-01 2.4223867837063048e-01 3.4469470720031181e-01 -5.1228014414840650e-02 -5.8693338557094232e-01 3.4954181415642355e-02 -1.0804797493774720e-21 3.4954181415642355e-02 -3.4954181415642355e-02 0.33715275093095587 5.2226837618719310e-09 1.2783346225444821e-07 4.4229683172157808e-10 1.9194583494839891e-07 2.9480510807352177e-11 0.0015577098753861707 0.0010362978401688636 2.587897629053454e-05 1.3366139519088145e+00 5001
6 1.6495813706110449e-02 -1.1715615257188630e+00 1.1880573394249736e+00 1.1798094325719184e+00 5.0854487684404803e-01 6.7126455572787025e-01 -8.1359839441911039e-02 -1.1798094325719184e+00 1.6495813706110449e-02 -2.3335070719375153e-21 1.6495813706110449e-02 -1.6495813706110449e-02 0.31923825664633143 2.8178511587887490e-09 2.7080833281032369e-08 3.1855827878455929e-10 7.5247543325721686e-08 1.9685997297719061e-11 0.0009203528101269232 0.00038154506101757343 4.965736007177257e-05 1.4961685571068186e+00 715
10 2.5911796371907447e-02 -1.4797634576907350e+00 1.5056752540626426e+00 1.4927193558766889e+00 6.7098835312932870e-01 8.2173100274736011e-01 -7.5371324809015663e-02 -1.4927193558766889e+00 2.5911796371907391e-02 -2.9611330669318522e-21 2.5911796371907391e-02 -2.5911796371907391e-02 0.3011151050496679 1.1830903318185879e-08 5.2323412404074199e-08 6.1337541092671798e-10 3.1737030263672738e-08 1.7693298691447890e-11 0.00013826079299050775 2.5804054015324263e-05 6.694449936119062e-05 1.6942504446465751e+00 226
12 4.7264967970177693e-02 -1.4894512593526106e+00 1.5367162273227881e+00 1.5130837433376998e+00 6.7753540285506353e-01 8.3554834048263626e-01 -7.9006468813786382e-02 -1.5130837433376993e+00 4.7264967970177638e-02 -2.8735165852691217e-21 4.7264967970177638e-02 -4.7264967970177638e-02 0.3030299505167093 1.4039567381174721e-08 5.6278649307775120e-08 7.0817238172021194e-10 7.5588382404691071e-08 1.2574154164155240e-11 0.0006038830156687158 0.00026175354127891404 0.0003842976358307132 1.7481021945257431e+00 294
14 1.1391565205277755e-01 -1.3332106429156678e+00 1.4471262949684454e+00 1.3901684689420566e+00 5.6676200476482819e-01 8.2340646417722851e-01 -1.2832222970620014e-01 -1.3901684689420566e+00 1.1391565205277755e-01 -2.4112269404671500e-21 1.1391565205277755e-01 -1.1391565205277755e-01 0.3432280827980865 1.3687037847331740e-08 3.7240360525236902e-08 8.1074427350629995e-10 7.1897888151546176e-08 1.2600385780751771e-11 0.0003398093707782657 0.00029246058610717107 0.00023011894097890728 1.7043924863502460e+00 376
16 2.5069515180630292e-01 -7.5964635083071319e-01 1.0103415026370162e+00 8.8499392673386468e-01 2.7426909235702596e-01 6.1072483437683867e-01 -1.6822787100990635e-01 -8.8499392673386468e-01 2.5069515180630286e-01 -1.2935174752142902e-21 2.5069515180630286e-01 -2.5069515180630286e-01 0.43289381280540623 2.2127677847357709e-08 5.5503206768431331e-08 8.8433567971582340e-10 2.4462106754781198e-07 2.3203592476040802e-11 0.0004744387963753205 0.0008178046508278414 9.292151069126287e-05 1.7263568886674581e+00 5001
