   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	 -10.001	     NaN	     NaN	     NaN	0.000000	 -0.2749	     NaN	     NaN	  260.00	   0.000	5.128E+5	   0.045	  147.31	   15.67	    63.1	 1024.79	   24.26	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.08191	-0.07899	-0.08086	-0.08288	-0.08498	-0.08276	-0.08288	-0.08067	-0.08074	-0.07784	-0.07671	-0.07740	-0.06949	-0.06409	-0.05837	-0.06238	-0.04726	-0.03607	-0.05354	-0.05288	-0.05222	-0.06141	-0.07029	-0.07712	-0.08219	-0.10221	-0.09864	-0.09978	-0.09874	-0.10034	-0.10996	-0.11266	-0.11466	-0.11397	-0.10710	-0.09853	-0.08532	-0.12663	-0.16980	-0.14655	-0.16089	-0.17585	-0.19477	-0.20541	-0.20746	-0.20486	-0.19975	-0.19086	-0.18288	-0.18144	-0.17844	-0.17299	-0.15925	-0.14289	-0.12739	-0.11282	-0.09680	-0.08394	-0.07919	-0.08260	
       2	  -8.993	     NaN	     NaN	     NaN	0.129123	 -0.2169	     NaN	     NaN	  328.64	   0.000	5.054E+5	   0.045	  143.07	   15.44	    61.3	 1024.78	   24.24	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98389	 0.96743	 0.94514	 0.91515	 0.87613	 0.85082	 0.82223	 0.79843	 0.77079	 0.74351	 0.70825	 0.67980	 0.65359	 0.64027	 0.62978	 0.61855	 0.61062	 0.60415	 0.59468	 0.58862	 0.58128	 0.57503	 0.57262	 0.57000	 0.56815	 0.56534	 0.56520	 0.56570	 0.56902	 0.57059	 0.57497	 0.57983	 0.58859	 0.59186	 0.59509	 0.60393	 0.61030	 0.61963	 0.63001	 0.63856	 0.64680	 0.65787	 0.66639	 0.67922	 0.68565	 0.70803	 0.72882	 0.75301	 0.78266	 0.80782	 0.82767	 0.85736	 0.87987	 0.91411	 0.94318	 0.96272	 0.97782	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04121	-0.03473	-0.04538	-0.09010	-0.12085	-0.13845	-0.14688	-0.13959	-0.12937	-0.11828	-0.10058	-0.08685	-0.06408	-0.04607	-0.04904	-0.06675	-0.04206	-0.03110	-0.04793	-0.04782	-0.04771	-0.05670	-0.06528	-0.07206	-0.07688	-0.09631	-0.09271	-0.09336	-0.09223	-0.09362	-0.10280	-0.10569	-0.10814	-0.10812	-0.10358	-0.09873	-0.08842	-0.11360	-0.14155	-0.12362	-0.13880	-0.15280	-0.17090	-0.18101	-0.18293	-0.18090	-0.17614	-0.16815	-0.16109	-0.16003	-0.15796	-0.15368	-0.14101	-0.12627	-0.11252	-0.09938	-0.08527	-0.07332	-0.07018	-0.07451	
       3	  -8.003	     NaN	     NaN	     NaN	0.113492	 -0.2010	     NaN	     NaN	  331.46	   0.000	4.911E+5	   0.043	  135.09	   15.00	    57.9	 1024.80	   24.23	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97769	 0.96050	 0.93473	 0.89831	 0.87476	 0.84716	 0.82619	 0.79772	 0.77026	 0.73657	 0.70669	 0.68012	 0.66614	 0.65640	 0.64628	 0.63793	 0.63307	 0.62337	 0.61605	 0.60867	 0.60279	 0.59944	 0.59638	 0.59453	 0.59238	 0.59226	 0.59306	 0.59640	 0.59855	 0.60201	 0.60581	 0.61349	 0.61758	 0.61923	 0.62907	 0.63662	 0.64502	 0.65648	 0.66587	 0.67637	 0.68963	 0.70145	 0.71630	 0.72539	 0.74993	 0.77246	 0.79707	 0.82485	 0.84741	 0.86612	 0.89251	 0.91214	 0.94202	 0.96433	 0.97813	 0.98888	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03675	-0.03088	-0.03760	-0.07406	-0.10159	-0.12061	-0.12858	-0.12245	-0.11603	-0.10531	-0.08953	-0.07670	-0.05624	-0.04233	-0.04565	-0.06235	-0.04187	-0.03093	-0.04791	-0.04751	-0.04711	-0.05577	-0.06396	-0.06998	-0.07435	-0.09321	-0.08917	-0.08938	-0.08757	-0.08828	-0.09717	-0.09930	-0.10105	-0.10060	-0.09584	-0.09099	-0.08070	-0.10185	-0.13264	-0.11466	-0.12871	-0.14175	-0.15860	-0.16806	-0.17020	-0.16859	-0.16436	-0.15678	-0.15092	-0.14996	-0.14835	-0.14479	-0.13314	-0.11935	-0.10678	-0.09471	-0.08154	-0.07044	-0.06815	-0.07315	
       4	  -6.998	     NaN	     NaN	     NaN	0.103492	 -0.1872	     NaN	     NaN	  328.69	   0.000	4.923E+5	   0.043	  135.73	   15.04	    58.1	 1024.79	   24.20	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98579	 0.97062	 0.94802	 0.91604	 0.89813	 0.87485	 0.85625	 0.82949	 0.80255	 0.76825	 0.73912	 0.71216	 0.69664	 0.68582	 0.67478	 0.66464	 0.65745	 0.64789	 0.64026	 0.63202	 0.62489	 0.62169	 0.61841	 0.61498	 0.61181	 0.61051	 0.61151	 0.61341	 0.61494	 0.61785	 0.62266	 0.63164	 0.63644	 0.63800	 0.64893	 0.65683	 0.66476	 0.67592	 0.68515	 0.69582	 0.70878	 0.71977	 0.73339	 0.74205	 0.76515	 0.78753	 0.81317	 0.84010	 0.86216	 0.87908	 0.90296	 0.92196	 0.94986	 0.97053	 0.98356	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03590	-0.03042	-0.03483	-0.06347	-0.08707	-0.10402	-0.11388	-0.11002	-0.10559	-0.09741	-0.08306	-0.07228	-0.05424	-0.04224	-0.04563	-0.06171	-0.04396	-0.03294	-0.04962	-0.04896	-0.04830	-0.05669	-0.06432	-0.06973	-0.07366	-0.09188	-0.08736	-0.08707	-0.08481	-0.08502	-0.09320	-0.09488	-0.09617	-0.09562	-0.09069	-0.08682	-0.07769	-0.10393	-0.13086	-0.10989	-0.12213	-0.13416	-0.14973	-0.15942	-0.16070	-0.15946	-0.15573	-0.14882	-0.14308	-0.14298	-0.14197	-0.13910	-0.12822	-0.11540	-0.10369	-0.09287	-0.08044	-0.07042	-0.06863	-0.07406	
       5	  -5.998	     NaN	     NaN	     NaN	0.089546	 -0.1659	     NaN	     NaN	  331.22	   0.000	4.936E+5	   0.044	  136.43	   15.08	    58.4	 1024.80	   24.19	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98190	 0.96409	 0.93551	 0.91801	 0.89684	 0.87840	 0.85444	 0.82977	 0.79921	 0.76995	 0.74303	 0.72926	 0.71932	 0.70870	 0.69968	 0.69214	 0.68225	 0.67205	 0.66335	 0.65593	 0.65220	 0.64893	 0.64705	 0.64394	 0.64246	 0.64329	 0.64618	 0.64828	 0.65174	 0.65698	 0.66587	 0.67189	 0.67386	 0.68350	 0.69229	 0.70214	 0.71451	 0.72405	 0.73379	 0.74644	 0.75809	 0.77007	 0.77816	 0.80133	 0.82144	 0.84493	 0.87046	 0.89182	 0.90746	 0.92889	 0.94375	 0.96539	 0.98076	 0.98927	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03267	-0.02760	-0.02983	-0.05072	-0.07113	-0.08657	-0.09659	-0.09431	-0.09164	-0.08400	-0.07339	-0.06406	-0.04726	-0.03954	-0.04270	-0.05794	-0.04393	-0.03302	-0.04973	-0.04896	-0.04818	-0.05618	-0.06349	-0.06848	-0.07164	-0.08960	-0.08481	-0.08379	-0.08139	-0.08097	-0.08844	-0.08949	-0.09036	-0.08932	-0.08444	-0.08038	-0.07120	-0.09356	-0.12211	-0.10147	-0.11213	-0.12245	-0.13742	-0.14627	-0.14767	-0.14653	-0.14306	-0.13676	-0.13152	-0.13180	-0.13138	-0.12918	-0.11941	-0.10783	-0.09706	-0.08742	-0.07604	-0.06701	-0.06599	-0.07197	
       6	  -5.000	     NaN	     NaN	     NaN	0.080329	 -0.1430	     NaN	     NaN	  328.77	   0.000	4.948E+5	   0.044	  137.04	   15.11	    58.7	 1024.77	   24.16	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98987	 0.97705	 0.95243	 0.93656	 0.91469	 0.89628	 0.87118	 0.84680	 0.81645	 0.78690	 0.76216	 0.74755	 0.73721	 0.72618	 0.71521	 0.70779	 0.69717	 0.68759	 0.67951	 0.67369	 0.66969	 0.66732	 0.66587	 0.66528	 0.66608	 0.66712	 0.67048	 0.67356	 0.67811	 0.68465	 0.69463	 0.70095	 0.70340	 0.71401	 0.72132	 0.73134	 0.74347	 0.75149	 0.75939	 0.77198	 0.78345	 0.79566	 0.80332	 0.82467	 0.84452	 0.86482	 0.88962	 0.90808	 0.92240	 0.94296	 0.95666	 0.97557	 0.98639	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03085	-0.02614	-0.02770	-0.04296	-0.06060	-0.07453	-0.08375	-0.08375	-0.08242	-0.07582	-0.06640	-0.05948	-0.04523	-0.03778	-0.04056	-0.05487	-0.04476	-0.03407	-0.05084	-0.04994	-0.04905	-0.05672	-0.06389	-0.06825	-0.07134	-0.08850	-0.08334	-0.08223	-0.07939	-0.07842	-0.08553	-0.08600	-0.08650	-0.08534	-0.08037	-0.07648	-0.06839	-0.09521	-0.11887	-0.09467	-0.10421	-0.11321	-0.12728	-0.13530	-0.13639	-0.13558	-0.13238	-0.12636	-0.12186	-0.12248	-0.12261	-0.12113	-0.11206	-0.10127	-0.09167	-0.08292	-0.07279	-0.06435	-0.06420	-0.07088	
       7	  -3.993	     NaN	     NaN	     NaN	0.072480	 -0.1188	     NaN	     NaN	  331.24	   0.000	4.960E+5	   0.044	  137.69	   15.14	    59.0	 1024.77	   24.15	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98627	 0.96667	 0.95174	 0.93203	 0.91694	 0.89471	 0.87297	 0.84151	 0.81310	 0.78764	 0.77507	 0.76494	 0.75391	 0.74370	 0.73721	 0.72844	 0.71925	 0.71033	 0.70284	 0.69758	 0.69408	 0.69203	 0.68983	 0.68944	 0.69080	 0.69382	 0.69517	 0.69823	 0.70254	 0.70973	 0.71572	 0.71793	 0.72787	 0.73571	 0.74444	 0.75670	 0.76560	 0.77438	 0.78619	 0.79665	 0.80881	 0.81666	 0.83860	 0.85795	 0.87774	 0.90034	 0.91720	 0.93037	 0.94926	 0.96195	 0.97870	 0.98960	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02909	-0.02473	-0.02621	-0.03724	-0.05193	-0.06394	-0.07348	-0.07519	-0.07449	-0.06862	-0.06036	-0.05445	-0.04191	-0.03604	-0.03813	-0.05173	-0.04554	-0.03509	-0.05168	-0.05070	-0.04971	-0.05714	-0.06395	-0.06803	-0.07072	-0.08735	-0.08182	-0.08042	-0.07708	-0.07587	-0.08245	-0.08246	-0.08254	-0.08098	-0.07587	-0.07213	-0.06375	-0.08617	-0.11112	-0.08715	-0.09506	-0.10286	-0.11567	-0.12307	-0.12381	-0.12293	-0.12015	-0.11482	-0.11103	-0.11173	-0.11250	-0.11177	-0.10343	-0.09372	-0.08543	-0.07780	-0.06867	-0.06159	-0.06226	-0.06949	
       8	  -2.999	     NaN	     NaN	     NaN	0.064279	 -0.0789	     NaN	     NaN	  328.66	   0.000	4.969E+5	   0.044	  138.17	   15.17	    59.2	 1024.80	   24.14	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97768	 0.96593	 0.94846	 0.93499	 0.91417	 0.89278	 0.86252	 0.83464	 0.80780	 0.79448	 0.78406	 0.77317	 0.76303	 0.75695	 0.74739	 0.73875	 0.73018	 0.72311	 0.71898	 0.71623	 0.71322	 0.71131	 0.71120	 0.71181	 0.71549	 0.71803	 0.72215	 0.72688	 0.73526	 0.74151	 0.74276	 0.75362	 0.76104	 0.77050	 0.78325	 0.79246	 0.80181	 0.81329	 0.82374	 0.83562	 0.84251	 0.86244	 0.87891	 0.89719	 0.91770	 0.93206	 0.94270	 0.95934	 0.96930	 0.98296	 0.99093	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02880	-0.02467	-0.02611	-0.03345	-0.04515	-0.05584	-0.06570	-0.06721	-0.06666	-0.06233	-0.05569	-0.05097	-0.03957	-0.03408	-0.03560	-0.04847	-0.04736	-0.03716	-0.05403	-0.05328	-0.05253	-0.05978	-0.06651	-0.07056	-0.07271	-0.08922	-0.08322	-0.08169	-0.07812	-0.07645	-0.08268	-0.08226	-0.08179	-0.08002	-0.07473	-0.07112	-0.06309	-0.08976	-0.10727	-0.07991	-0.08565	-0.09180	-0.10316	-0.10962	-0.11015	-0.10910	-0.10681	-0.10173	-0.09873	-0.09939	-0.10083	-0.10089	-0.09356	-0.08497	-0.07772	-0.07165	-0.06385	-0.05795	-0.05953	-0.06781	
       9	  -2.001	     NaN	     NaN	     NaN	0.058527	 -0.0196	     NaN	     NaN	  331.41	   0.000	4.980E+5	   0.044	  138.76	   15.20	    59.4	 1024.78	   24.11	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98510	 0.97097	 0.95976	 0.93906	 0.91845	 0.88939	 0.86079	 0.83419	 0.82061	 0.80945	 0.79746	 0.78572	 0.77876	 0.76829	 0.75807	 0.74941	 0.74195	 0.73640	 0.73378	 0.73010	 0.72763	 0.72723	 0.72645	 0.72796	 0.73027	 0.73343	 0.73768	 0.74436	 0.75066	 0.75072	 0.75968	 0.76637	 0.77440	 0.78673	 0.79431	 0.80291	 0.81492	 0.82551	 0.83637	 0.84400	 0.86366	 0.88064	 0.90050	 0.92313	 0.93808	 0.94885	 0.96430	 0.97432	 0.98657	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02915	-0.02519	-0.02616	-0.02986	-0.03751	-0.04677	-0.05720	-0.06019	-0.06083	-0.05672	-0.05049	-0.04647	-0.03588	-0.03125	-0.03214	-0.04381	-0.04997	-0.04053	-0.05803	-0.05789	-0.05775	-0.06549	-0.07206	-0.07596	-0.07853	-0.09472	-0.08832	-0.08674	-0.08209	-0.08072	-0.08647	-0.08566	-0.08440	-0.08189	-0.07611	-0.07179	-0.06264	-0.08404	-0.09828	-0.06986	-0.07379	-0.07829	-0.08802	-0.09306	-0.09288	-0.09194	-0.08971	-0.08502	-0.08266	-0.08376	-0.08547	-0.08652	-0.08034	-0.07303	-0.06741	-0.06286	-0.05669	-0.05231	-0.05553	-0.06484	
