   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
     138	  -9.997	     NaN	     NaN	     NaN	0.145576	 -0.2408	     NaN	     NaN	  329.22	   0.000	4.945E+5	   0.044	  136.72	   15.10	    58.6	 1022.55	   23.76	 1.00000	 1.00000	 1.00000	 1.00000	 0.96562	 0.94559	 0.91630	 0.88837	 0.84878	 0.80685	 0.77743	 0.74805	 0.73776	 0.69845	 0.67489	 0.64227	 0.62455	 0.61007	 0.59268	 0.59019	 0.58318	 0.56584	 0.57344	 0.55809	 0.55611	 0.55790	 0.55048	 0.54861	 0.55673	 0.54872	 0.55219	 0.55709	 0.55796	 0.56150	 0.56978	 0.57134	 0.57556	 0.58548	 0.58975	 0.59726	 0.60614	 0.61277	 0.62382	 0.63430	 0.64481	 0.65621	 0.67297	 0.67572	 0.69082	 0.70136	 0.72595	 0.74400	 0.76548	 0.79114	 0.81477	 0.82920	 0.85516	 0.87785	 0.90930	 0.93871	 0.95901	 0.97966	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03891	-0.03682	-0.06853	-0.13100	-0.16255	-0.17680	-0.17376	-0.15765	-0.14593	-0.12956	-0.10853	-0.09433	-0.06957	-0.04888	-0.04789	-0.06843	-0.03850	-0.02972	-0.04461	-0.04508	-0.04556	-0.05541	-0.06932	-0.07190	-0.07956	-0.09487	-0.09087	-0.09334	-0.09290	-0.09449	-0.10628	-0.11023	-0.11247	-0.11184	-0.11084	-0.10580	-0.09936	-0.13062	-0.15769	-0.13701	-0.14842	-0.16130	-0.18324	-0.19402	-0.19776	-0.19551	-0.18867	-0.18051	-0.17008	-0.16962	-0.16801	-0.16309	-0.15091	-0.13622	-0.11645	-0.10251	-0.08802	-0.07590	-0.07038	-0.07365	
     139	  -9.000	     NaN	     NaN	     NaN	0.129127	 -0.2172	     NaN	     NaN	  331.22	   0.000	4.959E+5	   0.044	  137.45	   15.14	    58.9	 1022.56	   23.75	 1.00000	 1.00000	 1.00000	 1.00000	 0.98392	 0.97169	 0.94422	 0.91896	 0.88021	 0.83800	 0.81035	 0.78011	 0.76965	 0.72834	 0.70312	 0.67072	 0.64812	 0.63231	 0.61568	 0.61158	 0.60486	 0.58808	 0.59526	 0.58149	 0.57893	 0.58218	 0.57581	 0.57424	 0.58317	 0.57506	 0.57784	 0.58273	 0.58282	 0.58413	 0.59300	 0.59622	 0.60165	 0.61227	 0.61817	 0.62704	 0.63588	 0.64312	 0.65398	 0.66410	 0.67330	 0.68337	 0.70017	 0.70342	 0.71744	 0.72784	 0.75166	 0.76926	 0.79065	 0.81585	 0.83818	 0.85439	 0.88012	 0.90071	 0.92898	 0.95426	 0.97070	 0.98680	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03602	-0.03184	-0.05099	-0.10292	-0.13109	-0.14642	-0.14687	-0.13543	-0.12686	-0.11184	-0.09122	-0.07898	-0.05675	-0.04465	-0.04539	-0.06545	-0.03993	-0.03145	-0.04611	-0.04654	-0.04696	-0.05657	-0.06977	-0.07222	-0.07934	-0.09390	-0.08958	-0.09154	-0.09070	-0.09172	-0.10286	-0.10607	-0.10764	-0.10647	-0.10528	-0.09996	-0.09338	-0.12414	-0.15141	-0.12890	-0.13868	-0.15016	-0.17110	-0.18119	-0.18491	-0.18291	-0.17649	-0.16878	-0.15897	-0.15916	-0.15828	-0.15415	-0.14288	-0.12938	-0.11074	-0.09800	-0.08478	-0.07366	-0.06892	-0.07298	
     140	  -8.003	     NaN	     NaN	     NaN	0.117367	 -0.1997	     NaN	     NaN	  328.53	   0.000	4.973E+5	   0.044	  138.24	   15.18	    59.2	 1022.54	   23.73	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98732	 0.96575	 0.94521	 0.90563	 0.86256	 0.83442	 0.80299	 0.79402	 0.75520	 0.72952	 0.69744	 0.67765	 0.66306	 0.64728	 0.64313	 0.63439	 0.61364	 0.61967	 0.60404	 0.59915	 0.60105	 0.59295	 0.58936	 0.59683	 0.58657	 0.58923	 0.59466	 0.59564	 0.59801	 0.60721	 0.60913	 0.61478	 0.62303	 0.62767	 0.63523	 0.64392	 0.65044	 0.66117	 0.67149	 0.68132	 0.69343	 0.71034	 0.71277	 0.72596	 0.73779	 0.76419	 0.78318	 0.80650	 0.83195	 0.85570	 0.87109	 0.89561	 0.91584	 0.94392	 0.96678	 0.97916	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03220	-0.02782	-0.04131	-0.08321	-0.10871	-0.12459	-0.12726	-0.11855	-0.11204	-0.10083	-0.08198	-0.06998	-0.05051	-0.04134	-0.04230	-0.06122	-0.03945	-0.03114	-0.04562	-0.04573	-0.04583	-0.05499	-0.06789	-0.06961	-0.07614	-0.09023	-0.08542	-0.08682	-0.08542	-0.08586	-0.09629	-0.09896	-0.10016	-0.09878	-0.09740	-0.09271	-0.08744	-0.11988	-0.14409	-0.12034	-0.12858	-0.13859	-0.15849	-0.16806	-0.17182	-0.16999	-0.16420	-0.15703	-0.14796	-0.14841	-0.14832	-0.14473	-0.13450	-0.12184	-0.10446	-0.09294	-0.08074	-0.07041	-0.06649	-0.07103	
     141	  -7.006	     NaN	     NaN	     NaN	0.107367	 -0.1876	     NaN	     NaN	  331.36	   0.000	4.986E+5	   0.044	  138.95	   15.22	    59.5	 1022.54	   23.71	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97646	 0.95841	 0.92084	 0.88256	 0.85767	 0.82919	 0.82118	 0.78286	 0.75881	 0.72427	 0.70249	 0.68527	 0.66870	 0.66510	 0.65539	 0.63463	 0.64125	 0.62666	 0.62155	 0.62220	 0.61361	 0.60999	 0.61678	 0.60763	 0.61077	 0.61497	 0.61536	 0.61734	 0.62620	 0.62735	 0.63170	 0.64019	 0.64593	 0.65309	 0.66291	 0.67096	 0.68150	 0.69222	 0.70146	 0.71329	 0.72945	 0.73172	 0.74402	 0.75559	 0.77987	 0.79868	 0.82190	 0.84992	 0.87266	 0.88672	 0.90999	 0.92914	 0.95266	 0.97232	 0.98343	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02937	-0.02533	-0.03474	-0.06877	-0.09170	-0.10738	-0.11282	-0.10550	-0.10068	-0.09019	-0.07454	-0.06561	-0.04799	-0.03981	-0.04039	-0.05849	-0.03979	-0.03132	-0.04571	-0.04556	-0.04541	-0.05419	-0.06651	-0.06746	-0.07346	-0.08701	-0.08195	-0.08301	-0.08099	-0.08078	-0.09073	-0.09273	-0.09329	-0.09179	-0.09015	-0.08572	-0.08066	-0.11251	-0.13802	-0.11335	-0.11973	-0.12891	-0.14797	-0.15727	-0.16062	-0.15913	-0.15373	-0.14733	-0.13882	-0.13969	-0.14008	-0.13710	-0.12779	-0.11628	-0.09985	-0.08922	-0.07795	-0.06850	-0.06541	-0.07026	
     142	  -5.990	     NaN	     NaN	     NaN	0.099322	 -0.1674	     NaN	     NaN	  328.82	   0.000	4.999E+5	   0.044	  139.63	   15.26	    59.8	 1022.53	   23.70	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98143	 0.96796	 0.93671	 0.90041	 0.87667	 0.84867	 0.84136	 0.80411	 0.77956	 0.74594	 0.72419	 0.70873	 0.69310	 0.68975	 0.68005	 0.65933	 0.66590	 0.65092	 0.64678	 0.64884	 0.64150	 0.63800	 0.64418	 0.63413	 0.63730	 0.64088	 0.64024	 0.64033	 0.64849	 0.65009	 0.65432	 0.66267	 0.66897	 0.67439	 0.68314	 0.68944	 0.69972	 0.70986	 0.71953	 0.72970	 0.74542	 0.74657	 0.75860	 0.76940	 0.79229	 0.80990	 0.83119	 0.85513	 0.87736	 0.89107	 0.91497	 0.93247	 0.95579	 0.97407	 0.98374	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02831	-0.02471	-0.03074	-0.05731	-0.07769	-0.09306	-0.09767	-0.09274	-0.09073	-0.08179	-0.06714	-0.05931	-0.04443	-0.03882	-0.03925	-0.05649	-0.04134	-0.03303	-0.04738	-0.04699	-0.04661	-0.05500	-0.06692	-0.06754	-0.07316	-0.08614	-0.08052	-0.08127	-0.07886	-0.07826	-0.08757	-0.08892	-0.08924	-0.08728	-0.08564	-0.08169	-0.07774	-0.11132	-0.13347	-0.10752	-0.11231	-0.11993	-0.13785	-0.14688	-0.14966	-0.14843	-0.14359	-0.13761	-0.12954	-0.13098	-0.13172	-0.12969	-0.12129	-0.11076	-0.09549	-0.08592	-0.07545	-0.06693	-0.06447	-0.07015	
     143	  -4.997	     NaN	     NaN	     NaN	0.090339	 -0.1472	     NaN	     NaN	  331.40	   0.000	5.010E+5	   0.044	  140.25	   15.29	    60.1	 1022.53	   23.69	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98280	 0.95507	 0.92066	 0.89748	 0.86858	 0.86186	 0.82325	 0.79781	 0.76415	 0.74303	 0.72793	 0.71309	 0.71052	 0.70304	 0.68195	 0.68803	 0.67424	 0.66969	 0.67086	 0.66366	 0.65915	 0.66548	 0.65487	 0.65707	 0.65963	 0.65950	 0.65986	 0.66878	 0.66917	 0.67290	 0.68074	 0.68650	 0.69221	 0.70066	 0.70730	 0.71734	 0.72765	 0.73704	 0.74852	 0.76539	 0.76784	 0.77957	 0.79053	 0.81319	 0.82927	 0.84868	 0.87124	 0.89237	 0.90552	 0.92558	 0.94127	 0.96157	 0.97704	 0.98614	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02637	-0.02306	-0.02783	-0.04808	-0.06533	-0.07969	-0.08628	-0.08378	-0.08122	-0.07247	-0.06064	-0.05454	-0.04091	-0.03685	-0.03689	-0.05351	-0.04221	-0.03388	-0.04804	-0.04763	-0.04721	-0.05520	-0.06687	-0.06688	-0.07201	-0.08458	-0.07841	-0.07894	-0.07623	-0.07499	-0.08367	-0.08480	-0.08470	-0.08235	-0.08061	-0.07685	-0.07246	-0.10534	-0.12764	-0.10010	-0.10370	-0.11035	-0.12710	-0.13550	-0.13821	-0.13711	-0.13238	-0.12699	-0.11952	-0.12124	-0.12264	-0.12118	-0.11375	-0.10406	-0.08969	-0.08151	-0.07220	-0.06438	-0.06284	-0.06912	
     144	  -3.996	     NaN	     NaN	     NaN	0.080429	 -0.1211	     NaN	     NaN	  328.65	   0.000	5.021E+5	   0.044	  140.82	   15.32	    60.3	 1022.52	   23.67	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.96875	 0.93983	 0.91862	 0.89048	 0.88461	 0.84865	 0.82658	 0.79311	 0.77043	 0.75339	 0.73755	 0.73429	 0.72616	 0.70533	 0.71184	 0.69691	 0.69174	 0.69370	 0.68523	 0.68024	 0.68636	 0.67438	 0.67634	 0.68010	 0.67957	 0.68037	 0.68859	 0.68904	 0.69360	 0.70098	 0.70639	 0.71224	 0.72147	 0.72871	 0.73874	 0.74974	 0.75957	 0.77106	 0.78762	 0.78995	 0.80179	 0.81281	 0.83567	 0.85031	 0.86896	 0.89060	 0.91016	 0.92091	 0.93955	 0.95439	 0.97215	 0.98557	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02588	-0.02303	-0.02670	-0.04086	-0.05510	-0.06919	-0.07591	-0.07513	-0.07480	-0.06746	-0.05593	-0.05136	-0.03941	-0.03584	-0.03547	-0.05121	-0.04382	-0.03573	-0.04995	-0.04945	-0.04894	-0.05661	-0.06790	-0.06772	-0.07252	-0.08462	-0.07815	-0.07843	-0.07520	-0.07370	-0.08204	-0.08256	-0.08208	-0.07961	-0.07795	-0.07436	-0.07093	-0.10506	-0.12319	-0.09381	-0.09594	-0.10097	-0.11703	-0.12442	-0.12673	-0.12600	-0.12165	-0.11666	-0.11057	-0.11171	-0.11389	-0.11289	-0.10646	-0.09772	-0.08461	-0.07727	-0.06910	-0.06249	-0.06176	-0.06876	
     145	  -2.999	     NaN	     NaN	     NaN	0.071171	 -0.0806	     NaN	     NaN	  331.18	   0.000	5.032E+5	   0.044	  141.44	   15.35	    60.6	 1022.49	   23.65	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98049	 0.95627	 0.93694	 0.91122	 0.90582	 0.87166	 0.84864	 0.81636	 0.79381	 0.77780	 0.76203	 0.75879	 0.75023	 0.72898	 0.73508	 0.71886	 0.71166	 0.71208	 0.70434	 0.70029	 0.70693	 0.69652	 0.69897	 0.70311	 0.70416	 0.70513	 0.71487	 0.71564	 0.71917	 0.72728	 0.73265	 0.73781	 0.74645	 0.75355	 0.76420	 0.77522	 0.78505	 0.79618	 0.81308	 0.81487	 0.82671	 0.83709	 0.86014	 0.87489	 0.89214	 0.91250	 0.92971	 0.93840	 0.95528	 0.96675	 0.98064	 0.99017	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02448	-0.02173	-0.02489	-0.03417	-0.04639	-0.05919	-0.06710	-0.06679	-0.06696	-0.05974	-0.04966	-0.04638	-0.03560	-0.03255	-0.03167	-0.04664	-0.04483	-0.03707	-0.05161	-0.05130	-0.05099	-0.05878	-0.06984	-0.06937	-0.07403	-0.08598	-0.07910	-0.07906	-0.07547	-0.07352	-0.08138	-0.08162	-0.08054	-0.07756	-0.07563	-0.07160	-0.06741	-0.10014	-0.11562	-0.08416	-0.08497	-0.08863	-0.10315	-0.10978	-0.11159	-0.11065	-0.10678	-0.10216	-0.09639	-0.09831	-0.10074	-0.10072	-0.09513	-0.08753	-0.07599	-0.06988	-0.06311	-0.05762	-0.05821	-0.06595	
     146	  -2.000	     NaN	     NaN	     NaN	0.063664	 -0.0175	     NaN	     NaN	  328.80	   0.000	5.041E+5	   0.045	  141.95	   15.38	    60.8	 1022.48	   23.64	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97491	 0.95823	 0.93386	 0.93135	 0.89713	 0.87352	 0.83978	 0.81626	 0.79872	 0.78266	 0.77855	 0.76965	 0.74844	 0.75483	 0.74040	 0.73523	 0.73506	 0.72604	 0.72132	 0.72676	 0.71521	 0.71709	 0.72003	 0.71956	 0.72036	 0.72904	 0.72938	 0.73342	 0.74224	 0.74930	 0.75400	 0.76236	 0.76915	 0.77986	 0.79140	 0.80100	 0.81254	 0.82954	 0.83137	 0.84311	 0.85408	 0.87410	 0.88851	 0.90557	 0.92437	 0.93974	 0.94779	 0.96152	 0.97175	 0.98455	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02579	-0.02279	-0.02567	-0.03075	-0.04035	-0.05249	-0.06103	-0.06181	-0.06218	-0.05626	-0.04821	-0.04510	-0.03397	-0.03034	-0.02864	-0.04268	-0.04795	-0.04097	-0.05618	-0.05650	-0.05681	-0.06492	-0.07610	-0.07568	-0.08010	-0.09250	-0.08512	-0.08489	-0.08051	-0.07894	-0.08627	-0.08574	-0.08410	-0.08066	-0.07824	-0.07379	-0.06953	-0.10232	-0.10918	-0.07567	-0.07373	-0.07540	-0.08804	-0.09315	-0.09454	-0.09353	-0.08973	-0.08545	-0.08003	-0.08243	-0.08541	-0.08629	-0.08193	-0.07569	-0.06557	-0.06133	-0.05619	-0.05252	-0.05431	-0.06327	
