   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	  -9.997	     NaN	     NaN	     NaN	0.146879	 -0.2399	     NaN	     NaN	  331.29	   0.000	9.849E+5	   0.087	  541.66	   30.03	   231.6	 1023.95	   23.78	 1.00000	 1.00000	 1.00000	 1.00000	 0.98875	 0.97824	 0.96176	 0.94156	 0.91227	 0.87628	 0.85376	 0.83185	 0.81207	 0.78728	 0.76275	 0.73260	 0.70469	 0.67853	 0.66298	 0.65377	 0.64240	 0.63141	 0.62350	 0.60943	 0.60212	 0.59396	 0.58515	 0.57893	 0.57436	 0.56804	 0.56255	 0.55792	 0.55473	 0.55328	 0.55047	 0.55171	 0.55262	 0.55559	 0.55504	 0.55879	 0.56397	 0.56579	 0.57270	 0.57780	 0.58479	 0.59103	 0.59929	 0.60430	 0.61583	 0.62190	 0.64326	 0.65974	 0.67988	 0.70470	 0.72932	 0.74759	 0.77757	 0.80213	 0.84310	 0.88183	 0.91290	 0.94018	 0.96329	 0.98822	 1.00000	 1.00000	 1.00000	-0.03312	-0.02564	-0.04126	-0.08999	-0.12632	-0.15281	-0.16363	-0.15387	-0.14346	-0.13067	-0.11354	-0.09989	-0.07266	-0.04191	-0.03773	-0.05287	-0.02764	-0.01646	-0.03066	-0.03203	-0.03340	-0.03990	-0.04750	-0.05097	-0.05406	-0.08943	-0.08014	-0.07904	-0.07744	-0.08069	-0.09263	-0.09520	-0.09742	-0.09798	-0.09526	-0.09032	-0.08243	-0.11075	-0.14068	-0.12075	-0.13276	-0.14495	-0.16625	-0.17787	-0.17890	-0.17637	-0.17215	-0.16332	-0.15295	-0.15217	-0.15125	-0.14660	-0.13388	-0.11897	-0.10302	-0.08943	-0.07500	-0.06325	-0.05869	-0.06340	
       2	  -9.001	     NaN	     NaN	     NaN	0.131796	 -0.2172	     NaN	     NaN	  328.66	   0.000	9.877E+5	   0.087	  544.80	   30.12	   233.0	 1023.96	   23.80	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98886	 0.97554	 0.95734	 0.93180	 0.89952	 0.87849	 0.85775	 0.83968	 0.81545	 0.79152	 0.76128	 0.73425	 0.70700	 0.69171	 0.68194	 0.66959	 0.65799	 0.65013	 0.63690	 0.62737	 0.61838	 0.60953	 0.60259	 0.59702	 0.59021	 0.58498	 0.58010	 0.57633	 0.57465	 0.57120	 0.57185	 0.57147	 0.57241	 0.57215	 0.57483	 0.58043	 0.58368	 0.58956	 0.59532	 0.60191	 0.60807	 0.61603	 0.62176	 0.63289	 0.63997	 0.66175	 0.68119	 0.70325	 0.72849	 0.75352	 0.77361	 0.80313	 0.82810	 0.86942	 0.90566	 0.93205	 0.95672	 0.97558	 0.99333	 1.00000	 1.00000	 1.00000	-0.03022	-0.02250	-0.03070	-0.06881	-0.10088	-0.12321	-0.13550	-0.12828	-0.11994	-0.10993	-0.09540	-0.08396	-0.05971	-0.03691	-0.03532	-0.04993	-0.02837	-0.01732	-0.03141	-0.03268	-0.03396	-0.04011	-0.04729	-0.05032	-0.05283	-0.08766	-0.07797	-0.07651	-0.07440	-0.07706	-0.08829	-0.09031	-0.09191	-0.09203	-0.08926	-0.08467	-0.07768	-0.10716	-0.13389	-0.11291	-0.12306	-0.13389	-0.15402	-0.16495	-0.16585	-0.16366	-0.15982	-0.15161	-0.14200	-0.14161	-0.14122	-0.13737	-0.12564	-0.11183	-0.09704	-0.08464	-0.07133	-0.06057	-0.05678	-0.06216	
       3	  -7.999	     NaN	     NaN	     NaN	0.120245	 -0.2023	     NaN	     NaN	  331.13	   0.000	9.901E+5	   0.087	  547.61	   30.20	   234.2	 1023.95	   23.81	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98734	 0.97517	 0.95465	 0.92483	 0.90557	 0.88384	 0.86488	 0.83982	 0.81411	 0.78230	 0.75515	 0.72798	 0.71322	 0.70267	 0.69052	 0.67705	 0.66831	 0.65383	 0.64278	 0.63250	 0.62132	 0.61391	 0.60808	 0.60093	 0.59461	 0.58875	 0.58424	 0.58148	 0.57869	 0.57842	 0.57855	 0.58119	 0.58175	 0.58496	 0.59042	 0.59293	 0.59896	 0.60524	 0.61250	 0.61941	 0.62876	 0.63555	 0.64766	 0.65689	 0.68047	 0.70080	 0.72347	 0.74800	 0.77478	 0.79470	 0.82420	 0.84926	 0.89041	 0.92511	 0.95033	 0.97098	 0.98533	 1.00000	 1.00000	 1.00000	 1.00000	-0.02717	-0.01996	-0.02509	-0.05385	-0.08150	-0.10257	-0.11538	-0.11232	-0.10672	-0.09827	-0.08598	-0.07507	-0.05262	-0.03355	-0.03337	-0.04741	-0.02903	-0.01806	-0.03196	-0.03300	-0.03404	-0.03973	-0.04636	-0.04882	-0.05097	-0.08504	-0.07490	-0.07299	-0.07042	-0.07249	-0.08309	-0.08446	-0.08547	-0.08534	-0.08250	-0.07804	-0.07125	-0.10074	-0.12835	-0.10540	-0.11429	-0.12385	-0.14298	-0.15335	-0.15430	-0.15241	-0.14908	-0.14143	-0.13234	-0.13245	-0.13266	-0.12956	-0.11877	-0.10597	-0.09224	-0.08098	-0.06863	-0.05876	-0.05570	-0.06168	
       4	  -7.002	     NaN	     NaN	     NaN	0.111395	 -0.1877	     NaN	     NaN	  328.83	   0.000	9.925E+5	   0.088	  550.28	   30.27	   235.3	 1023.97	   23.82	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99141	 0.98225	 0.96488	 0.94022	 0.92398	 0.90470	 0.88760	 0.86489	 0.84049	 0.80873	 0.78256	 0.75573	 0.73988	 0.72870	 0.71587	 0.70175	 0.69215	 0.67784	 0.66665	 0.65661	 0.64539	 0.63727	 0.63052	 0.62267	 0.61566	 0.61008	 0.60602	 0.60258	 0.59992	 0.59969	 0.59995	 0.60185	 0.60209	 0.60396	 0.60899	 0.61265	 0.61935	 0.62555	 0.63267	 0.64009	 0.64932	 0.65590	 0.66671	 0.67509	 0.69663	 0.71644	 0.73922	 0.76242	 0.78678	 0.80645	 0.83426	 0.85745	 0.89580	 0.93152	 0.95484	 0.97236	 0.98511	 1.00000	 1.00000	 1.00000	 1.00000	-0.02459	-0.01772	-0.02093	-0.04346	-0.06835	-0.08800	-0.10221	-0.10061	-0.09620	-0.08971	-0.07778	-0.06818	-0.04840	-0.03241	-0.03192	-0.04496	-0.02981	-0.01884	-0.03246	-0.03314	-0.03382	-0.03925	-0.04544	-0.04740	-0.04906	-0.08243	-0.07191	-0.06955	-0.06654	-0.06813	-0.07804	-0.07888	-0.07948	-0.07908	-0.07624	-0.07238	-0.06671	-0.09744	-0.12262	-0.09871	-0.10608	-0.11444	-0.13275	-0.14255	-0.14343	-0.14189	-0.13903	-0.13195	-0.12342	-0.12400	-0.12476	-0.12237	-0.11243	-0.10064	-0.08792	-0.07760	-0.06619	-0.05704	-0.05477	-0.06125	
       5	  -5.994	     NaN	     NaN	     NaN	0.100097	 -0.1719	     NaN	     NaN	  331.42	   0.000	9.950E+5	   0.088	  553.08	   30.35	   236.5	 1023.97	   23.84	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99017	 0.97570	 0.95501	 0.94025	 0.92241	 0.90746	 0.88626	 0.86364	 0.83455	 0.80934	 0.78295	 0.76785	 0.75691	 0.74366	 0.72984	 0.72174	 0.70929	 0.69833	 0.68867	 0.67771	 0.66985	 0.66341	 0.65521	 0.64831	 0.64206	 0.63736	 0.63425	 0.63161	 0.63081	 0.63036	 0.63133	 0.63165	 0.63345	 0.63796	 0.64019	 0.64619	 0.65265	 0.65838	 0.66454	 0.67328	 0.67944	 0.68939	 0.69704	 0.71820	 0.73790	 0.75929	 0.78279	 0.80793	 0.82656	 0.85307	 0.87456	 0.90997	 0.94038	 0.96107	 0.97784	 0.98892	 1.00000	 1.00000	 1.00000	 1.00000	-0.02100	-0.01463	-0.01705	-0.03194	-0.05339	-0.07088	-0.08548	-0.08617	-0.08451	-0.07910	-0.06905	-0.06076	-0.04233	-0.02888	-0.02900	-0.04139	-0.02927	-0.01835	-0.03188	-0.03237	-0.03285	-0.03789	-0.04360	-0.04505	-0.04632	-0.07902	-0.06811	-0.06542	-0.06195	-0.06302	-0.07233	-0.07262	-0.07285	-0.07218	-0.06921	-0.06559	-0.05985	-0.09046	-0.11647	-0.09059	-0.09663	-0.10390	-0.12116	-0.13051	-0.13123	-0.12996	-0.12747	-0.12095	-0.11316	-0.11404	-0.11528	-0.11353	-0.10450	-0.09360	-0.08195	-0.07260	-0.06218	-0.05382	-0.05229	-0.05921	
       6	  -5.000	     NaN	     NaN	     NaN	0.093020	 -0.1514	     NaN	     NaN	  328.73	   0.000	9.971E+5	   0.088	  555.60	   30.42	   237.6	 1023.97	   23.86	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99370	 0.98271	 0.96452	 0.95121	 0.93494	 0.92030	 0.89944	 0.87754	 0.85015	 0.82462	 0.79832	 0.78306	 0.77261	 0.76032	 0.74628	 0.73741	 0.72501	 0.71386	 0.70323	 0.69306	 0.68555	 0.67948	 0.67148	 0.66507	 0.65926	 0.65518	 0.65232	 0.65033	 0.64996	 0.64994	 0.65143	 0.65202	 0.65301	 0.65734	 0.65965	 0.66502	 0.67001	 0.67527	 0.68203	 0.69067	 0.69795	 0.70754	 0.71518	 0.73573	 0.75363	 0.77443	 0.79698	 0.82227	 0.84111	 0.86664	 0.88675	 0.91910	 0.94708	 0.96651	 0.98129	 0.99088	 1.00000	 1.00000	 1.00000	 1.00000	-0.02061	-0.01466	-0.01690	-0.02815	-0.04534	-0.05990	-0.07471	-0.07635	-0.07521	-0.07083	-0.06280	-0.05601	-0.03855	-0.02809	-0.02844	-0.04016	-0.03124	-0.02039	-0.03396	-0.03432	-0.03468	-0.03940	-0.04473	-0.04579	-0.04677	-0.07884	-0.06759	-0.06457	-0.06083	-0.06141	-0.07025	-0.07012	-0.06996	-0.06911	-0.06614	-0.06291	-0.05795	-0.08950	-0.11210	-0.08546	-0.08997	-0.09599	-0.11225	-0.12091	-0.12157	-0.12044	-0.11835	-0.11230	-0.10505	-0.10633	-0.10802	-0.10690	-0.09872	-0.08875	-0.07809	-0.06980	-0.06036	-0.05285	-0.05200	-0.05942	
       7	  -3.996	     NaN	     NaN	     NaN	0.083302	 -0.1254	     NaN	     NaN	  331.33	   0.000	9.994E+5	   0.088	  558.15	   30.49	   238.7	 1023.95	   23.87	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98980	 0.97669	 0.96663	 0.95262	 0.94096	 0.92195	 0.90158	 0.87388	 0.84866	 0.82300	 0.80912	 0.79909	 0.78791	 0.77469	 0.76662	 0.75358	 0.74210	 0.73192	 0.72181	 0.71337	 0.70544	 0.69730	 0.69100	 0.68427	 0.67990	 0.67605	 0.67290	 0.67169	 0.67078	 0.67091	 0.67152	 0.67279	 0.67706	 0.67910	 0.68400	 0.69030	 0.69666	 0.70454	 0.71377	 0.72074	 0.73015	 0.73829	 0.75884	 0.77614	 0.79655	 0.81841	 0.84144	 0.85907	 0.88299	 0.90273	 0.93309	 0.95734	 0.97299	 0.98507	 0.99316	 1.00000	 1.00000	 1.00000	 1.00000	-0.01865	-0.01307	-0.01527	-0.02299	-0.03733	-0.04973	-0.06374	-0.06666	-0.06731	-0.06395	-0.05684	-0.05037	-0.03537	-0.02640	-0.02605	-0.03700	-0.03203	-0.02136	-0.03493	-0.03525	-0.03557	-0.04016	-0.04513	-0.04575	-0.04645	-0.07813	-0.06652	-0.06315	-0.05904	-0.05919	-0.06750	-0.06692	-0.06633	-0.06517	-0.06204	-0.05876	-0.05362	-0.08463	-0.10664	-0.07777	-0.08072	-0.08553	-0.10060	-0.10845	-0.10889	-0.10786	-0.10614	-0.10057	-0.09403	-0.09559	-0.09780	-0.09744	-0.09017	-0.08122	-0.07173	-0.06461	-0.05628	-0.04975	-0.04978	-0.05794	
       8	  -3.006	     NaN	     NaN	     NaN	0.074244	 -0.0829	     NaN	     NaN	  328.71	   0.000	1.002E+6	   0.088	  560.59	   30.55	   239.7	 1023.97	   23.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99012	 0.97458	 0.94496	 0.90477	 0.88121	 0.85517	 0.83322	 0.80841	 0.78558	 0.75945	 0.74018	 0.72467	 0.71706	 0.71268	 0.70725	 0.70160	 0.70154	 0.69804	 0.69617	 0.69544	 0.69611	 0.69912	 0.70260	 0.70458	 0.70878	 0.71311	 0.71867	 0.72437	 0.73267	 0.73875	 0.74676	 0.75549	 0.76431	 0.77201	 0.78259	 0.79038	 0.79987	 0.81122	 0.82069	 0.83105	 0.84214	 0.85061	 0.86087	 0.86940	 0.88951	 0.90528	 0.92167	 0.93661	 0.94975	 0.95939	 0.97107	 0.97891	 0.98918	 0.99547	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01547	-0.01036	-0.01438	-0.03267	-0.04815	-0.05450	-0.05967	-0.05811	-0.05610	-0.04783	-0.03795	-0.03393	-0.02384	-0.02280	-0.02402	-0.03437	-0.03245	-0.02218	-0.03599	-0.03658	-0.03718	-0.04168	-0.04649	-0.04699	-0.04753	-0.07908	-0.06702	-0.06341	-0.05900	-0.05890	-0.06682	-0.06585	-0.06473	-0.06325	-0.06000	-0.05660	-0.05175	-0.08286	-0.09857	-0.06821	-0.06928	-0.07245	-0.08625	-0.09325	-0.09316	-0.09221	-0.09067	-0.08563	-0.07973	-0.08162	-0.08430	-0.08480	-0.07850	-0.07075	-0.06259	-0.05673	-0.04980	-0.04458	-0.04568	-0.05480	
       9	  -1.997	     NaN	     NaN	     NaN	0.066688	 -0.0193	     NaN	     NaN	  331.37	   0.000	1.004E+6	   0.089	  562.88	   30.62	   240.7	 1023.94	   23.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98616	 0.96354	 0.92811	 0.90382	 0.87734	 0.85592	 0.83015	 0.80570	 0.77807	 0.75691	 0.73922	 0.73098	 0.72659	 0.72131	 0.71563	 0.71513	 0.71156	 0.71017	 0.70996	 0.71092	 0.71372	 0.71739	 0.72032	 0.72495	 0.72965	 0.73621	 0.74261	 0.75115	 0.75766	 0.76638	 0.77569	 0.78541	 0.79353	 0.80481	 0.81261	 0.82245	 0.83361	 0.84356	 0.85336	 0.86416	 0.87216	 0.88181	 0.88922	 0.90745	 0.92101	 0.93475	 0.94800	 0.95868	 0.96601	 0.97616	 0.98283	 0.99079	 0.99549	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01636	-0.01110	-0.01372	-0.02527	-0.04006	-0.04667	-0.05334	-0.05257	-0.05083	-0.04355	-0.03503	-0.03090	-0.02094	-0.01962	-0.02016	-0.02983	-0.03547	-0.02597	-0.04036	-0.04164	-0.04292	-0.04786	-0.05286	-0.05331	-0.05385	-0.08575	-0.07335	-0.06956	-0.06480	-0.06426	-0.07184	-0.07030	-0.06848	-0.06617	-0.06232	-0.05792	-0.05208	-0.08150	-0.09182	-0.05856	-0.05754	-0.05870	-0.07061	-0.07625	-0.07546	-0.07436	-0.07308	-0.06844	-0.06324	-0.06550	-0.06870	-0.06991	-0.06477	-0.05863	-0.05180	-0.04773	-0.04249	-0.03915	-0.04160	-0.05201	
