   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	 -10.001	     NaN	     NaN	     NaN	0.150230	 -0.2348	     NaN	     NaN	  330.70	   0.000	9.796E+5	   0.086	  533.21	   29.78	   228.0	 1021.84	   22.95	 1.00000	 1.00000	 0.99323	 0.99537	 0.97466	 0.95619	 0.93423	 0.90607	 0.87032	 0.82853	 0.80206	 0.78082	 0.75640	 0.73401	 0.70831	 0.67962	 0.65688	 0.63268	 0.61920	 0.61103	 0.60168	 0.59507	 0.58806	 0.57706	 0.57204	 0.56793	 0.56278	 0.55883	 0.55518	 0.55303	 0.55130	 0.54986	 0.55000	 0.55093	 0.55158	 0.55583	 0.55893	 0.56385	 0.56571	 0.57279	 0.58102	 0.58660	 0.59490	 0.60069	 0.60913	 0.61887	 0.62765	 0.63382	 0.64637	 0.65527	 0.67889	 0.69825	 0.71916	 0.74257	 0.76732	 0.78724	 0.81489	 0.83775	 0.87456	 0.90815	 0.93642	 0.95981	 0.97642	 0.99357	 1.00000	 1.00000	 1.00000	-0.03531	-0.02868	-0.05137	-0.10874	-0.14434	-0.16429	-0.16479	-0.15219	-0.14033	-0.12580	-0.10587	-0.08997	-0.06251	-0.04132	-0.04202	-0.05751	-0.02827	-0.01892	-0.03800	-0.03791	-0.03782	-0.04335	-0.05200	-0.05877	-0.06625	-0.08514	-0.08028	-0.08006	-0.07943	-0.08397	-0.09509	-0.09788	-0.10064	-0.10201	-0.09931	-0.09408	-0.08571	-0.11369	-0.14336	-0.12342	-0.13498	-0.14776	-0.16886	-0.18098	-0.18185	-0.17899	-0.17439	-0.16595	-0.15603	-0.15474	-0.15344	-0.14873	-0.13612	-0.12153	-0.10527	-0.09172	-0.07735	-0.06561	-0.06142	-0.06601	
       2	  -9.004	     NaN	     NaN	     NaN	0.131928	 -0.2090	     NaN	     NaN	  329.19	   0.000	9.825E+5	   0.087	  536.40	   29.87	   229.4	 1021.84	   22.98	 1.00000	 1.00000	 1.00000	 1.00000	 0.98669	 0.97583	 0.95860	 0.93356	 0.90053	 0.86113	 0.83695	 0.81531	 0.79119	 0.76757	 0.73888	 0.70601	 0.68056	 0.65513	 0.64237	 0.63314	 0.62302	 0.61482	 0.60845	 0.59833	 0.59194	 0.58794	 0.58236	 0.57851	 0.57543	 0.57279	 0.57135	 0.56926	 0.56944	 0.57006	 0.57126	 0.57556	 0.57917	 0.58440	 0.58689	 0.59321	 0.60129	 0.60730	 0.61624	 0.62305	 0.63174	 0.64148	 0.65085	 0.65879	 0.67205	 0.68226	 0.70865	 0.72950	 0.75278	 0.77761	 0.80354	 0.82285	 0.84948	 0.87131	 0.90602	 0.93661	 0.95899	 0.97557	 0.98716	 1.00000	 1.00000	 1.00000	 1.00000	-0.03207	-0.02459	-0.03889	-0.08617	-0.11717	-0.13392	-0.13734	-0.12793	-0.11945	-0.10786	-0.09081	-0.07696	-0.05273	-0.03650	-0.03891	-0.05376	-0.02923	-0.02004	-0.03908	-0.03888	-0.03868	-0.04393	-0.05213	-0.05842	-0.06550	-0.08383	-0.07848	-0.07784	-0.07674	-0.08065	-0.09104	-0.09325	-0.09534	-0.09631	-0.09338	-0.08852	-0.08098	-0.11001	-0.13622	-0.11499	-0.12470	-0.13612	-0.15592	-0.16732	-0.16802	-0.16548	-0.16136	-0.15352	-0.14428	-0.14344	-0.14278	-0.13893	-0.12737	-0.11390	-0.09889	-0.08658	-0.07346	-0.06274	-0.05945	-0.06475	
       3	  -8.006	     NaN	     NaN	     NaN	0.118485	 -0.1948	     NaN	     NaN	  330.81	   0.000	9.840E+5	   0.087	  538.15	   29.92	   230.1	 1021.85	   22.99	 1.00000	 1.00000	 1.00000	 1.00000	 0.99532	 0.98937	 0.97598	 0.95524	 0.92712	 0.88904	 0.86528	 0.84303	 0.81813	 0.79399	 0.76592	 0.73342	 0.70638	 0.68045	 0.66756	 0.65871	 0.64746	 0.63865	 0.63152	 0.62151	 0.61460	 0.60906	 0.60307	 0.59835	 0.59381	 0.59097	 0.58938	 0.58675	 0.58624	 0.58633	 0.58767	 0.59126	 0.59480	 0.59940	 0.60328	 0.60979	 0.61928	 0.62634	 0.63619	 0.64426	 0.65351	 0.66481	 0.67558	 0.68342	 0.69645	 0.70725	 0.73326	 0.75442	 0.77805	 0.80177	 0.82706	 0.84584	 0.87161	 0.89303	 0.92587	 0.95153	 0.97037	 0.98368	 0.99303	 1.00000	 1.00000	 1.00000	 1.00000	-0.02791	-0.02033	-0.02865	-0.06621	-0.09536	-0.11319	-0.11750	-0.11079	-0.10361	-0.09469	-0.07979	-0.06777	-0.04621	-0.03324	-0.03582	-0.04981	-0.02858	-0.01939	-0.03824	-0.03773	-0.03722	-0.04211	-0.04978	-0.05552	-0.06211	-0.07981	-0.07396	-0.07291	-0.07132	-0.07464	-0.08443	-0.08599	-0.08751	-0.08819	-0.08532	-0.08057	-0.07333	-0.10231	-0.12941	-0.10637	-0.11465	-0.12486	-0.14366	-0.15449	-0.15513	-0.15297	-0.14929	-0.14203	-0.13340	-0.13304	-0.13298	-0.12993	-0.11921	-0.10684	-0.09291	-0.08165	-0.06948	-0.05969	-0.05707	-0.06297	
       4	  -7.002	     NaN	     NaN	     NaN	0.109893	 -0.1815	     NaN	     NaN	  329.08	   0.000	9.859E+5	   0.087	  540.31	   29.98	   231.0	 1021.85	   23.01	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99423	 0.98440	 0.96893	 0.94299	 0.90754	 0.88578	 0.86422	 0.84125	 0.81761	 0.78986	 0.75723	 0.73073	 0.70512	 0.69277	 0.68314	 0.67197	 0.66253	 0.65399	 0.64322	 0.63486	 0.62871	 0.62216	 0.61730	 0.61229	 0.60896	 0.60704	 0.60502	 0.60458	 0.60491	 0.60663	 0.61010	 0.61367	 0.61817	 0.62207	 0.62766	 0.63571	 0.64205	 0.65082	 0.65827	 0.66702	 0.67735	 0.68759	 0.69573	 0.70807	 0.71862	 0.74251	 0.76332	 0.78648	 0.81129	 0.83699	 0.85610	 0.88073	 0.90080	 0.93248	 0.95701	 0.97424	 0.98533	 0.99311	 1.00000	 1.00000	 1.00000	 1.00000	-0.02558	-0.01840	-0.02363	-0.05222	-0.07834	-0.09674	-0.10432	-0.09865	-0.09318	-0.08469	-0.07132	-0.06121	-0.04171	-0.03174	-0.03420	-0.04725	-0.02918	-0.01994	-0.03856	-0.03769	-0.03683	-0.04130	-0.04843	-0.05354	-0.05960	-0.07664	-0.07036	-0.06892	-0.06684	-0.06959	-0.07878	-0.07979	-0.08095	-0.08145	-0.07858	-0.07449	-0.06848	-0.09871	-0.12372	-0.09952	-0.10636	-0.11536	-0.13322	-0.14345	-0.14413	-0.14234	-0.13915	-0.13243	-0.12440	-0.12457	-0.12503	-0.12271	-0.11294	-0.10147	-0.08851	-0.07833	-0.06713	-0.05793	-0.05613	-0.06244	
       5	  -5.997	     NaN	     NaN	     NaN	0.100009	 -0.1663	     NaN	     NaN	  330.89	   0.000	9.877E+5	   0.087	  542.45	   30.04	   232.0	 1021.84	   23.03	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99162	 0.97844	 0.95772	 0.92450	 0.90380	 0.88149	 0.85820	 0.83459	 0.80664	 0.77546	 0.74872	 0.72319	 0.71121	 0.70164	 0.69119	 0.68149	 0.67331	 0.66268	 0.65383	 0.64798	 0.64131	 0.63670	 0.63212	 0.62861	 0.62609	 0.62350	 0.62375	 0.62359	 0.62470	 0.62735	 0.63090	 0.63524	 0.63912	 0.64463	 0.65265	 0.65915	 0.66774	 0.67621	 0.68555	 0.69652	 0.70739	 0.71552	 0.72780	 0.73877	 0.76387	 0.78504	 0.80913	 0.83300	 0.85807	 0.87653	 0.90076	 0.91947	 0.94754	 0.96865	 0.98226	 0.99095	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02297	-0.01632	-0.02005	-0.04139	-0.06369	-0.07876	-0.08634	-0.08361	-0.08070	-0.07425	-0.06275	-0.05409	-0.03704	-0.02987	-0.03231	-0.04448	-0.02917	-0.01996	-0.03848	-0.03739	-0.03629	-0.04034	-0.04702	-0.05172	-0.05742	-0.07376	-0.06715	-0.06530	-0.06281	-0.06503	-0.07366	-0.07410	-0.07488	-0.07511	-0.07221	-0.06844	-0.06242	-0.09246	-0.11806	-0.09229	-0.09771	-0.10552	-0.12245	-0.13209	-0.13265	-0.13110	-0.12830	-0.12218	-0.11473	-0.11529	-0.11632	-0.11466	-0.10569	-0.09517	-0.08327	-0.07407	-0.06375	-0.05541	-0.05424	-0.06108	
       6	  -4.999	     NaN	     NaN	     NaN	0.090195	 -0.1439	     NaN	     NaN	  329.28	   0.000	9.896E+5	   0.087	  544.53	   30.10	   232.8	 1021.86	   23.05	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98603	 0.96728	 0.93701	 0.91848	 0.89797	 0.87608	 0.85379	 0.82720	 0.79628	 0.76998	 0.74306	 0.73066	 0.72092	 0.70970	 0.70006	 0.69242	 0.68304	 0.67439	 0.66873	 0.66247	 0.65795	 0.65393	 0.65142	 0.64985	 0.64707	 0.64719	 0.64733	 0.64999	 0.65313	 0.65721	 0.66164	 0.66603	 0.67209	 0.68117	 0.68843	 0.69746	 0.70622	 0.71540	 0.72619	 0.73741	 0.74610	 0.75838	 0.76901	 0.79240	 0.81180	 0.83319	 0.85483	 0.87854	 0.89595	 0.91753	 0.93427	 0.95869	 0.97559	 0.98708	 0.99332	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02174	-0.01548	-0.01828	-0.03372	-0.05323	-0.06707	-0.07535	-0.07390	-0.07160	-0.06540	-0.05576	-0.04880	-0.03345	-0.02848	-0.03072	-0.04216	-0.03025	-0.02115	-0.03963	-0.03840	-0.03718	-0.04091	-0.04729	-0.05155	-0.05685	-0.07265	-0.06564	-0.06342	-0.06060	-0.06239	-0.07048	-0.07048	-0.07088	-0.07096	-0.06803	-0.06468	-0.05941	-0.09040	-0.11266	-0.08574	-0.08951	-0.09593	-0.11181	-0.12068	-0.12109	-0.11970	-0.11734	-0.11173	-0.10495	-0.10582	-0.10735	-0.10638	-0.09839	-0.08892	-0.07810	-0.06991	-0.06074	-0.05330	-0.05291	-0.06028	
       7	  -3.992	     NaN	     NaN	     NaN	0.088074	 -0.1134	     NaN	     NaN	  330.92	   0.000	9.910E+5	   0.087	  546.24	   30.15	   233.6	 1021.90	   23.09	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99093	 0.97588	 0.95076	 0.93485	 0.91613	 0.89651	 0.87628	 0.85127	 0.82135	 0.79621	 0.77047	 0.75869	 0.74889	 0.73789	 0.72801	 0.72006	 0.71000	 0.70046	 0.69460	 0.68772	 0.68203	 0.67670	 0.67310	 0.67079	 0.66818	 0.66673	 0.66576	 0.66671	 0.66861	 0.67114	 0.67399	 0.67670	 0.68166	 0.68809	 0.69309	 0.69998	 0.70622	 0.71380	 0.72285	 0.73211	 0.73953	 0.75005	 0.75928	 0.78040	 0.79785	 0.81750	 0.83729	 0.85919	 0.87574	 0.89788	 0.91548	 0.94222	 0.96251	 0.97691	 0.98662	 0.99390	 1.00000	 1.00000	 1.00000	 1.00000	-0.02123	-0.01531	-0.01767	-0.02825	-0.04476	-0.05756	-0.06666	-0.06735	-0.06630	-0.06106	-0.05214	-0.04645	-0.03247	-0.02741	-0.02896	-0.03949	-0.03175	-0.02290	-0.04140	-0.04024	-0.03907	-0.04257	-0.04869	-0.05256	-0.05759	-0.07310	-0.06577	-0.06327	-0.06004	-0.06150	-0.06913	-0.06868	-0.06869	-0.06841	-0.06542	-0.06197	-0.05650	-0.08687	-0.10734	-0.07832	-0.08056	-0.08549	-0.10003	-0.10804	-0.10817	-0.10686	-0.10481	-0.09972	-0.09363	-0.09487	-0.09697	-0.09677	-0.08972	-0.08138	-0.07180	-0.06489	-0.05694	-0.05058	-0.05113	-0.05931	
       8	  -3.006	     NaN	     NaN	     NaN	0.079506	 -0.0615	     NaN	     NaN	  329.31	   0.000	9.924E+5	   0.088	  547.98	   30.20	   234.3	 1021.92	   23.12	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98839	 0.96911	 0.95438	 0.93675	 0.91770	 0.89740	 0.87235	 0.84260	 0.81638	 0.78891	 0.77681	 0.76705	 0.75619	 0.74570	 0.73765	 0.72708	 0.71767	 0.71108	 0.70405	 0.69878	 0.69379	 0.69017	 0.68818	 0.68598	 0.68557	 0.68573	 0.68779	 0.68985	 0.69295	 0.69664	 0.70019	 0.70511	 0.71200	 0.71753	 0.72490	 0.73144	 0.73800	 0.74633	 0.75565	 0.76302	 0.77331	 0.78261	 0.80286	 0.82004	 0.83832	 0.85665	 0.87673	 0.89191	 0.91128	 0.92700	 0.95062	 0.96818	 0.98092	 0.98886	 0.99481	 1.00000	 1.00000	 1.00000	 1.00000	-0.02044	-0.01453	-0.01662	-0.02414	-0.03790	-0.04971	-0.05970	-0.06206	-0.06213	-0.05838	-0.05157	-0.04620	-0.03204	-0.02492	-0.02496	-0.03458	-0.03258	-0.02428	-0.04324	-0.04237	-0.04149	-0.04519	-0.05124	-0.05505	-0.05995	-0.07540	-0.06773	-0.06499	-0.06147	-0.06255	-0.06991	-0.06905	-0.06850	-0.06778	-0.06460	-0.06084	-0.05563	-0.08615	-0.09947	-0.06841	-0.06825	-0.07130	-0.08414	-0.09104	-0.09042	-0.08914	-0.08740	-0.08270	-0.07730	-0.07888	-0.08153	-0.08223	-0.07633	-0.06927	-0.06118	-0.05585	-0.04944	-0.04466	-0.04651	-0.05577	
       9	  -1.994	     NaN	     NaN	     NaN	0.068858	  0.0355	     NaN	     NaN	  330.88	   0.000	9.936E+5	   0.088	  549.30	   30.24	   234.9	 1021.94	   23.13	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99379	 0.97608	 0.94049	 0.91529	 0.88604	 0.85754	 0.82867	 0.79736	 0.76431	 0.74120	 0.72158	 0.71416	 0.70889	 0.70355	 0.69960	 0.69809	 0.69528	 0.69480	 0.69647	 0.69945	 0.70320	 0.70716	 0.71193	 0.71783	 0.72380	 0.73199	 0.73901	 0.74887	 0.75609	 0.76576	 0.77452	 0.78373	 0.79311	 0.80357	 0.81203	 0.82134	 0.83016	 0.83880	 0.84929	 0.85849	 0.86530	 0.87489	 0.88284	 0.89908	 0.91213	 0.92426	 0.93619	 0.94869	 0.95805	 0.96790	 0.97486	 0.98556	 0.99182	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02295	-0.01717	-0.01940	-0.02801	-0.04208	-0.05065	-0.05639	-0.05634	-0.05424	-0.04705	-0.03967	-0.03676	-0.02620	-0.02313	-0.02295	-0.03155	-0.03717	-0.02998	-0.05010	-0.05026	-0.05041	-0.05495	-0.06133	-0.06547	-0.07075	-0.08670	-0.07872	-0.07580	-0.07205	-0.07287	-0.07993	-0.07860	-0.07718	-0.07547	-0.07133	-0.06647	-0.05969	-0.08769	-0.09134	-0.05610	-0.05268	-0.05269	-0.06287	-0.06756	-0.06580	-0.06430	-0.06270	-0.05867	-0.05428	-0.05621	-0.05960	-0.06144	-0.05715	-0.05214	-0.04605	-0.04302	-0.03927	-0.03692	-0.04071	-0.05176	
