   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	  -9.997	     NaN	     NaN	     NaN	0.147243	 -0.2424	     NaN	     NaN	  328.70	   0.000	5.052E+5	   0.045	  142.05	   15.38	    60.8	 1022.10	   23.20	 1.00000	 1.00000	 1.00000	 1.00000	 0.97854	 0.96397	 0.94403	 0.91538	 0.88035	 0.83564	 0.80729	 0.78270	 0.76125	 0.73601	 0.71122	 0.67892	 0.65401	 0.63163	 0.61808	 0.60944	 0.59888	 0.59261	 0.58364	 0.57333	 0.56721	 0.56512	 0.56107	 0.55698	 0.55519	 0.55225	 0.54951	 0.55005	 0.54918	 0.55029	 0.55033	 0.55395	 0.55498	 0.56409	 0.56675	 0.57381	 0.57982	 0.58618	 0.59761	 0.60529	 0.61254	 0.62244	 0.63276	 0.64017	 0.65384	 0.66412	 0.68536	 0.70547	 0.72923	 0.75584	 0.78117	 0.79828	 0.82536	 0.84955	 0.88763	 0.91821	 0.94206	 0.96341	 0.97888	 1.00000	 1.00000	 1.00000	 1.00000	-0.04528	-0.03883	-0.06385	-0.12220	-0.15709	-0.17842	-0.17787	-0.16383	-0.15174	-0.13738	-0.11550	-0.10119	-0.07410	-0.05121	-0.05094	-0.06998	-0.03825	-0.02879	-0.04994	-0.04813	-0.04633	-0.05485	-0.06487	-0.07189	-0.07838	-0.09562	-0.09340	-0.09405	-0.09275	-0.09553	-0.10679	-0.11111	-0.11285	-0.11370	-0.11102	-0.10615	-0.09959	-0.13103	-0.16007	-0.13822	-0.15047	-0.16498	-0.18426	-0.19638	-0.19779	-0.19503	-0.18887	-0.18162	-0.17149	-0.17047	-0.16895	-0.16451	-0.15006	-0.13565	-0.11733	-0.10315	-0.08870	-0.07649	-0.07071	-0.07450	
       2	  -9.000	     NaN	     NaN	     NaN	0.129745	 -0.2147	     NaN	     NaN	  331.39	   0.000	4.861E+5	   0.043	  131.52	   14.80	    56.3	 1022.10	   23.20	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98363	 0.96562	 0.94432	 0.91233	 0.86604	 0.83854	 0.81114	 0.78815	 0.76163	 0.73403	 0.69882	 0.67329	 0.64816	 0.63409	 0.62495	 0.61401	 0.60836	 0.59952	 0.58992	 0.58137	 0.57712	 0.57211	 0.56724	 0.56359	 0.55937	 0.55603	 0.55733	 0.55606	 0.55735	 0.55843	 0.56135	 0.56179	 0.57057	 0.57347	 0.57928	 0.58571	 0.59359	 0.60545	 0.61560	 0.62582	 0.63785	 0.64997	 0.65839	 0.67276	 0.68717	 0.71228	 0.73366	 0.76000	 0.78902	 0.81735	 0.83643	 0.86531	 0.89191	 0.92549	 0.95256	 0.97184	 0.98705	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04260	-0.03438	-0.04652	-0.09032	-0.11945	-0.14117	-0.14251	-0.13341	-0.12400	-0.11364	-0.09403	-0.08303	-0.06084	-0.04616	-0.04825	-0.06696	-0.03989	-0.03050	-0.05180	-0.04993	-0.04806	-0.05659	-0.06641	-0.07280	-0.07882	-0.09574	-0.09300	-0.09324	-0.09127	-0.09341	-0.10422	-0.10762	-0.10879	-0.10901	-0.10617	-0.10089	-0.09435	-0.12449	-0.15417	-0.12962	-0.14066	-0.15374	-0.17160	-0.18292	-0.18432	-0.18165	-0.17603	-0.16924	-0.15987	-0.15931	-0.15846	-0.15478	-0.14147	-0.12822	-0.11085	-0.09818	-0.08486	-0.07396	-0.06903	-0.07351	
       3	  -8.006	     NaN	     NaN	     NaN	0.119564	 -0.2030	     NaN	     NaN	  328.70	   0.000	5.036E+5	   0.044	  141.15	   15.33	    60.5	 1022.10	   23.19	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98887	 0.97537	 0.95642	 0.93054	 0.88911	 0.86499	 0.83852	 0.81582	 0.78830	 0.76028	 0.72507	 0.70014	 0.67730	 0.66494	 0.65663	 0.64560	 0.63691	 0.62714	 0.61702	 0.60753	 0.60342	 0.59585	 0.59107	 0.58806	 0.58330	 0.58084	 0.58138	 0.58000	 0.58089	 0.58220	 0.58459	 0.58671	 0.59606	 0.59893	 0.60381	 0.61018	 0.61686	 0.62745	 0.63607	 0.64532	 0.65645	 0.66863	 0.67747	 0.69075	 0.70372	 0.72749	 0.74910	 0.77522	 0.80260	 0.82876	 0.84661	 0.87451	 0.89746	 0.93113	 0.95785	 0.97536	 0.98900	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04005	-0.03235	-0.04067	-0.07582	-0.10236	-0.12315	-0.12761	-0.12133	-0.11383	-0.10507	-0.08827	-0.07829	-0.05768	-0.04430	-0.04674	-0.06436	-0.04029	-0.03102	-0.05202	-0.04986	-0.04770	-0.05551	-0.06454	-0.07043	-0.07617	-0.09212	-0.08896	-0.08870	-0.08626	-0.08798	-0.09790	-0.10080	-0.10141	-0.10156	-0.09876	-0.09431	-0.08907	-0.12118	-0.14827	-0.12266	-0.13211	-0.14374	-0.16098	-0.17185	-0.17313	-0.17088	-0.16578	-0.15955	-0.15090	-0.15085	-0.15073	-0.14747	-0.13530	-0.12282	-0.10678	-0.09508	-0.08267	-0.07256	-0.06843	-0.07346	
       4	  -7.006	     NaN	     NaN	     NaN	0.108811	 -0.1914	     NaN	     NaN	  331.17	   0.000	4.884E+5	   0.043	  132.74	   14.86	    56.9	 1022.09	   23.18	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98585	 0.96935	 0.94459	 0.90783	 0.88496	 0.86168	 0.83938	 0.81226	 0.78434	 0.74918	 0.72477	 0.70141	 0.68725	 0.67757	 0.66560	 0.65625	 0.64487	 0.63372	 0.62430	 0.62031	 0.61460	 0.60978	 0.60752	 0.60288	 0.60022	 0.60093	 0.59947	 0.60159	 0.60345	 0.60587	 0.60723	 0.61542	 0.62068	 0.62808	 0.63398	 0.64229	 0.65362	 0.66349	 0.67163	 0.68161	 0.69252	 0.70013	 0.71339	 0.72630	 0.74983	 0.77148	 0.79727	 0.82383	 0.84945	 0.86585	 0.89188	 0.91327	 0.94260	 0.96480	 0.98005	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03696	-0.02977	-0.03550	-0.06382	-0.08637	-0.10507	-0.11111	-0.10738	-0.10202	-0.09416	-0.07870	-0.07062	-0.05248	-0.04266	-0.04467	-0.06172	-0.04034	-0.03082	-0.05182	-0.04931	-0.04680	-0.05427	-0.06273	-0.06805	-0.07317	-0.08865	-0.08488	-0.08430	-0.08131	-0.08244	-0.09173	-0.09423	-0.09426	-0.09398	-0.09101	-0.08698	-0.08202	-0.11387	-0.14224	-0.11504	-0.12323	-0.13398	-0.15003	-0.16084	-0.16184	-0.15996	-0.15527	-0.14972	-0.14175	-0.14210	-0.14248	-0.14009	-0.12850	-0.11708	-0.10194	-0.09132	-0.07959	-0.07019	-0.06663	-0.07225	
       5	  -5.996	     NaN	     NaN	     NaN	0.099070	 -0.1683	     NaN	     NaN	  328.64	   0.000	4.983E+5	   0.044	  138.19	   15.17	    59.2	 1022.08	   23.18	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98064	 0.96150	 0.92923	 0.91004	 0.88696	 0.86701	 0.84107	 0.81500	 0.78125	 0.75389	 0.72805	 0.71453	 0.70417	 0.69179	 0.68264	 0.67296	 0.66320	 0.65290	 0.64886	 0.64227	 0.63572	 0.63273	 0.62828	 0.62547	 0.62502	 0.62453	 0.62555	 0.62803	 0.63092	 0.63179	 0.63851	 0.64182	 0.64610	 0.65209	 0.65917	 0.66994	 0.67905	 0.68684	 0.69794	 0.70877	 0.71605	 0.72859	 0.74185	 0.76280	 0.78345	 0.80829	 0.83396	 0.85750	 0.87483	 0.90089	 0.92169	 0.95004	 0.97036	 0.98417	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03501	-0.02826	-0.03110	-0.05132	-0.07118	-0.09018	-0.09661	-0.09466	-0.09109	-0.08400	-0.07101	-0.06318	-0.04742	-0.04062	-0.04264	-0.05872	-0.04115	-0.03171	-0.05260	-0.05002	-0.04743	-0.05459	-0.06287	-0.06744	-0.07203	-0.08695	-0.08307	-0.08208	-0.07880	-0.07934	-0.08818	-0.08996	-0.08975	-0.08910	-0.08613	-0.08251	-0.07844	-0.11193	-0.13621	-0.10746	-0.11428	-0.12343	-0.13889	-0.14905	-0.14964	-0.14806	-0.14369	-0.13855	-0.13122	-0.13179	-0.13281	-0.13119	-0.12060	-0.11032	-0.09612	-0.08655	-0.07609	-0.06762	-0.06503	-0.07105	
       6	  -4.997	     NaN	     NaN	     NaN	0.090918	 -0.1492	     NaN	     NaN	  331.24	   0.000	4.993E+5	   0.044	  138.75	   15.20	    59.4	 1022.07	   23.18	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98896	 0.97273	 0.94177	 0.92259	 0.89936	 0.87998	 0.85451	 0.82965	 0.79594	 0.77010	 0.74565	 0.73243	 0.72185	 0.70977	 0.70119	 0.69169	 0.68227	 0.67294	 0.66940	 0.66339	 0.65738	 0.65380	 0.64876	 0.64598	 0.64572	 0.64303	 0.64306	 0.64523	 0.64737	 0.64798	 0.65534	 0.65934	 0.66440	 0.67041	 0.67820	 0.68902	 0.70007	 0.70984	 0.72182	 0.73395	 0.74220	 0.75417	 0.76666	 0.78934	 0.81018	 0.83318	 0.85728	 0.87961	 0.89287	 0.91400	 0.93294	 0.95828	 0.97498	 0.98601	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03369	-0.02742	-0.02978	-0.04496	-0.06057	-0.07706	-0.08419	-0.08536	-0.08201	-0.07719	-0.06553	-0.06004	-0.04581	-0.03989	-0.04174	-0.05687	-0.04244	-0.03301	-0.05392	-0.05122	-0.04852	-0.05512	-0.06284	-0.06729	-0.07161	-0.08602	-0.08138	-0.08008	-0.07648	-0.07652	-0.08472	-0.08588	-0.08527	-0.08454	-0.08162	-0.07807	-0.07379	-0.10641	-0.13138	-0.10110	-0.10641	-0.11440	-0.12872	-0.13821	-0.13866	-0.13716	-0.13327	-0.12866	-0.12179	-0.12302	-0.12445	-0.12337	-0.11388	-0.10441	-0.09142	-0.08289	-0.07331	-0.06581	-0.06387	-0.07036	
       7	  -4.000	     NaN	     NaN	     NaN	0.082335	 -0.1170	     NaN	     NaN	  328.64	   0.000	5.003E+5	   0.044	  139.33	   15.23	    59.7	 1022.06	   23.18	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98378	 0.95683	 0.94016	 0.91976	 0.90189	 0.87912	 0.85402	 0.82247	 0.79556	 0.77058	 0.75794	 0.74795	 0.73684	 0.72747	 0.71813	 0.70843	 0.69754	 0.69335	 0.68611	 0.67890	 0.67427	 0.66944	 0.66723	 0.66774	 0.66590	 0.66696	 0.66913	 0.67067	 0.67189	 0.68030	 0.68560	 0.69084	 0.69674	 0.70433	 0.71494	 0.72488	 0.73243	 0.74315	 0.75451	 0.76128	 0.77275	 0.78457	 0.80414	 0.82172	 0.84302	 0.86677	 0.88857	 0.90253	 0.92532	 0.94360	 0.96480	 0.97911	 0.98755	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03261	-0.02645	-0.02857	-0.03875	-0.05215	-0.06800	-0.07454	-0.07648	-0.07497	-0.07016	-0.05977	-0.05473	-0.04176	-0.03773	-0.03911	-0.05356	-0.04384	-0.03473	-0.05586	-0.05310	-0.05034	-0.05696	-0.06466	-0.06858	-0.07259	-0.08675	-0.08167	-0.08020	-0.07613	-0.07583	-0.08368	-0.08433	-0.08329	-0.08232	-0.07919	-0.07557	-0.07211	-0.10566	-0.12557	-0.09388	-0.09756	-0.10388	-0.11716	-0.12605	-0.12602	-0.12460	-0.12106	-0.11693	-0.11116	-0.11197	-0.11389	-0.11379	-0.10502	-0.09683	-0.08484	-0.07743	-0.06934	-0.06271	-0.06184	-0.06919	
       8	  -3.006	     NaN	     NaN	     NaN	0.074648	 -0.0747	     NaN	     NaN	  331.39	   0.000	5.013E+5	   0.044	  139.86	   15.26	    59.9	 1022.05	   23.17	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97051	 0.95557	 0.93627	 0.91909	 0.89573	 0.87221	 0.84141	 0.81530	 0.79024	 0.77666	 0.76652	 0.75424	 0.74534	 0.73672	 0.72660	 0.71691	 0.71266	 0.70676	 0.70062	 0.69654	 0.69083	 0.68805	 0.68717	 0.68469	 0.68483	 0.68720	 0.68897	 0.69024	 0.69765	 0.70132	 0.70576	 0.71246	 0.72072	 0.73217	 0.74195	 0.74949	 0.75960	 0.77094	 0.77831	 0.78941	 0.80161	 0.82162	 0.83942	 0.86056	 0.88282	 0.90410	 0.91576	 0.93610	 0.95306	 0.97356	 0.98596	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03155	-0.02581	-0.02764	-0.03418	-0.04479	-0.05910	-0.06753	-0.07054	-0.06936	-0.06544	-0.05564	-0.05188	-0.03961	-0.03530	-0.03597	-0.04954	-0.04525	-0.03654	-0.05791	-0.05554	-0.05316	-0.05966	-0.06715	-0.07112	-0.07484	-0.08872	-0.08328	-0.08141	-0.07736	-0.07655	-0.08397	-0.08431	-0.08262	-0.08117	-0.07764	-0.07364	-0.06932	-0.10121	-0.11848	-0.08506	-0.08689	-0.09181	-0.10352	-0.11133	-0.11110	-0.10973	-0.10636	-0.10267	-0.09732	-0.09858	-0.10112	-0.10174	-0.09406	-0.08698	-0.07622	-0.07028	-0.06339	-0.05810	-0.05821	-0.06648	
       9	  -2.005	     NaN	     NaN	     NaN	0.068959	 -0.0029	     NaN	     NaN	  328.89	   0.000	5.023E+5	   0.044	  140.38	   15.29	    60.1	 1022.04	   23.16	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97700	 0.94814	 0.90348	 0.87735	 0.85054	 0.82887	 0.80494	 0.78113	 0.75337	 0.73631	 0.72448	 0.71749	 0.71464	 0.70989	 0.70814	 0.70631	 0.70437	 0.70376	 0.70761	 0.71028	 0.71220	 0.71588	 0.71905	 0.72398	 0.73196	 0.73873	 0.74662	 0.75642	 0.76306	 0.76980	 0.78244	 0.79261	 0.80177	 0.81124	 0.82104	 0.83378	 0.84546	 0.85293	 0.86378	 0.87410	 0.88103	 0.89060	 0.89978	 0.91343	 0.92535	 0.93994	 0.95416	 0.96502	 0.97078	 0.97985	 0.98743	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03076	-0.02503	-0.02754	-0.04101	-0.05222	-0.06147	-0.06424	-0.06412	-0.06012	-0.05257	-0.04276	-0.04207	-0.03286	-0.03231	-0.03282	-0.04562	-0.04788	-0.04004	-0.06240	-0.06078	-0.05916	-0.06613	-0.07398	-0.07796	-0.08164	-0.09585	-0.09012	-0.08812	-0.08289	-0.08259	-0.08954	-0.08921	-0.08682	-0.08446	-0.08063	-0.07585	-0.07148	-0.10339	-0.11049	-0.07468	-0.07369	-0.07663	-0.08659	-0.09283	-0.09176	-0.09025	-0.08725	-0.08376	-0.07899	-0.08084	-0.08398	-0.08524	-0.07873	-0.07287	-0.06406	-0.05976	-0.05472	-0.05132	-0.05315	-0.06277	
