   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	 -10.004	     NaN	     NaN	     NaN	0.149695	 -0.2962	     NaN	     NaN	   78.69	   0.000	9.816E+5	   0.083	  498.05	   28.78	   213.0	 1025.51	   23.85	 1.00000	 1.00000	 1.00000	 1.00000	 0.98464	 0.96991	 0.95007	 0.92390	 0.88602	 0.84006	 0.81198	 0.78620	 0.76631	 0.73514	 0.70778	 0.67564	 0.64917	 0.62422	 0.60947	 0.60253	 0.59300	 0.57943	 0.57796	 0.56411	 0.56010	 0.55500	 0.54691	 0.54246	 0.54081	 0.53367	 0.53086	 0.52848	 0.52759	 0.52653	 0.52803	 0.53085	 0.53364	 0.53617	 0.53858	 0.54476	 0.55197	 0.55556	 0.56330	 0.57056	 0.57966	 0.58821	 0.59991	 0.60587	 0.61797	 0.62685	 0.64993	 0.66790	 0.69123	 0.71747	 0.74335	 0.76381	 0.79409	 0.81979	 0.85984	 0.89820	 0.92854	 0.95488	 0.97400	 0.99163	 1.00000	 1.00000	 1.00000	-0.03245	-0.02740	-0.05155	-0.10840	-0.14048	-0.16057	-0.17105	-0.16468	-0.15685	-0.14515	-0.12626	-0.11276	-0.08595	-0.05212	-0.04438	-0.05955	-0.02445	-0.01465	-0.03032	-0.03082	-0.03131	-0.03692	-0.04661	-0.04977	-0.05651	-0.07723	-0.07156	-0.07248	-0.07231	-0.07612	-0.08849	-0.09100	-0.09404	-0.09557	-0.09543	-0.09193	-0.08709	-0.11128	-0.14768	-0.13796	-0.14974	-0.16300	-0.18663	-0.19934	-0.20151	-0.19890	-0.19455	-0.18526	-0.17392	-0.17293	-0.17046	-0.16316	-0.15082	-0.13453	-0.11591	-0.10019	-0.08351	-0.06967	-0.06358	-0.06583	
       2	  -9.007	     NaN	     NaN	     NaN	0.133848	 -0.2772	     NaN	     NaN	   81.40	   0.000	9.845E+5	   0.084	  501.08	   28.87	   214.3	 1025.51	   23.88	 1.00000	 1.00000	 1.00000	 1.00000	 0.99427	 0.98677	 0.97133	 0.94970	 0.91310	 0.87208	 0.84490	 0.81706	 0.79570	 0.76316	 0.73589	 0.70337	 0.67667	 0.65150	 0.63509	 0.62722	 0.61736	 0.60239	 0.59952	 0.58506	 0.57982	 0.57422	 0.56515	 0.56037	 0.55915	 0.55322	 0.55054	 0.54822	 0.54662	 0.54535	 0.54761	 0.54965	 0.55293	 0.55515	 0.55723	 0.56277	 0.57011	 0.57492	 0.58296	 0.58909	 0.59752	 0.60584	 0.61859	 0.62472	 0.63603	 0.64522	 0.67077	 0.69298	 0.71765	 0.74341	 0.77103	 0.79231	 0.82179	 0.84564	 0.88658	 0.92399	 0.94991	 0.97128	 0.98503	 1.00000	 1.00000	 1.00000	 1.00000	-0.02902	-0.02313	-0.03857	-0.08499	-0.11657	-0.13528	-0.14365	-0.13593	-0.13079	-0.12322	-0.10957	-0.09732	-0.07210	-0.04530	-0.04137	-0.05671	-0.02504	-0.01539	-0.03092	-0.03120	-0.03148	-0.03673	-0.04585	-0.04839	-0.05471	-0.07465	-0.06843	-0.06892	-0.06816	-0.07131	-0.08292	-0.08462	-0.08704	-0.08814	-0.08784	-0.08450	-0.08027	-0.10525	-0.14050	-0.12913	-0.13920	-0.15102	-0.17370	-0.18584	-0.18792	-0.18577	-0.18187	-0.17328	-0.16274	-0.16218	-0.16030	-0.15386	-0.14254	-0.12749	-0.10999	-0.09554	-0.07997	-0.06716	-0.06192	-0.06474	
       3	  -7.999	     NaN	     NaN	     NaN	0.120201	 -0.2618	     NaN	     NaN	   78.72	   0.000	9.871E+5	   0.084	  503.77	   28.94	   215.4	 1025.52	   23.90	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99279	 0.98088	 0.96114	 0.93315	 0.89641	 0.87295	 0.84662	 0.82696	 0.79426	 0.76426	 0.72867	 0.70129	 0.67793	 0.66238	 0.65436	 0.64380	 0.62846	 0.62424	 0.60885	 0.60212	 0.59561	 0.58650	 0.58165	 0.58084	 0.57425	 0.57214	 0.56963	 0.56995	 0.56915	 0.57128	 0.57362	 0.57768	 0.58132	 0.58552	 0.59063	 0.59949	 0.60454	 0.61358	 0.62129	 0.63005	 0.63851	 0.65101	 0.65745	 0.66925	 0.67949	 0.70576	 0.72632	 0.74972	 0.77581	 0.80110	 0.82173	 0.85097	 0.87381	 0.91022	 0.94051	 0.96163	 0.97749	 0.98755	 1.00000	 1.00000	 1.00000	 1.00000	-0.02518	-0.01927	-0.02917	-0.06782	-0.09805	-0.11668	-0.12773	-0.12294	-0.11812	-0.10924	-0.09684	-0.08585	-0.06336	-0.04084	-0.03867	-0.05325	-0.02509	-0.01550	-0.03074	-0.03074	-0.03074	-0.03558	-0.04416	-0.04608	-0.05187	-0.07111	-0.06440	-0.06437	-0.06313	-0.06565	-0.07659	-0.07753	-0.07936	-0.08012	-0.07975	-0.07693	-0.07345	-0.09916	-0.13364	-0.12057	-0.12892	-0.13947	-0.16108	-0.17269	-0.17475	-0.17297	-0.16974	-0.16174	-0.15194	-0.15193	-0.15067	-0.14506	-0.13468	-0.12069	-0.10443	-0.09105	-0.07656	-0.06465	-0.06013	-0.06354	
       4	  -7.002	     NaN	     NaN	     NaN	0.110357	 -0.2462	     NaN	     NaN	   81.39	   0.000	9.895E+5	   0.084	  506.36	   29.02	   216.5	 1025.51	   23.92	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98751	 0.97191	 0.94548	 0.91213	 0.89120	 0.86623	 0.84897	 0.82032	 0.79448	 0.76176	 0.73490	 0.70834	 0.69235	 0.68321	 0.67146	 0.65568	 0.65294	 0.63882	 0.63144	 0.62520	 0.61619	 0.61019	 0.60815	 0.60011	 0.59656	 0.59297	 0.59079	 0.58849	 0.59084	 0.59256	 0.59595	 0.59834	 0.60283	 0.60819	 0.61606	 0.62015	 0.62699	 0.63359	 0.64267	 0.65210	 0.66469	 0.67231	 0.68332	 0.69361	 0.71870	 0.73972	 0.76369	 0.78937	 0.81725	 0.83829	 0.86604	 0.88715	 0.92061	 0.94842	 0.96815	 0.98322	 0.99214	 1.00000	 1.00000	 1.00000	 1.00000	-0.02188	-0.01639	-0.02321	-0.05493	-0.08133	-0.09905	-0.11077	-0.10742	-0.10516	-0.09841	-0.08747	-0.07742	-0.05643	-0.03818	-0.03640	-0.05028	-0.02558	-0.01597	-0.03104	-0.03074	-0.03044	-0.03492	-0.04292	-0.04428	-0.04950	-0.06810	-0.06101	-0.06046	-0.05871	-0.06065	-0.07085	-0.07112	-0.07242	-0.07289	-0.07238	-0.06996	-0.06686	-0.09357	-0.12697	-0.11237	-0.11924	-0.12872	-0.14917	-0.16026	-0.16238	-0.16096	-0.15818	-0.15092	-0.14164	-0.14219	-0.14154	-0.13678	-0.12733	-0.11448	-0.09922	-0.08688	-0.07348	-0.06242	-0.05866	-0.06256	
       5	  -5.998	     NaN	     NaN	     NaN	0.097498	 -0.2269	     NaN	     NaN	   78.63	   0.000	9.918E+5	   0.084	  508.72	   29.09	   217.6	 1025.49	   23.93	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99324	 0.98197	 0.95983	 0.93127	 0.91156	 0.88739	 0.86989	 0.84118	 0.81526	 0.78326	 0.75567	 0.73056	 0.71583	 0.70805	 0.69812	 0.68290	 0.67945	 0.66492	 0.65733	 0.65152	 0.64375	 0.63984	 0.63923	 0.63402	 0.63292	 0.63019	 0.63031	 0.62896	 0.63165	 0.63345	 0.63742	 0.64021	 0.64397	 0.64864	 0.65740	 0.66233	 0.67030	 0.67839	 0.68820	 0.69734	 0.70971	 0.71616	 0.72712	 0.73693	 0.76094	 0.77964	 0.80023	 0.82304	 0.84546	 0.86238	 0.88688	 0.90444	 0.93310	 0.95757	 0.97345	 0.98620	 0.99346	 1.00000	 1.00000	 1.00000	 1.00000	-0.01980	-0.01468	-0.01985	-0.04342	-0.06701	-0.08405	-0.09621	-0.09427	-0.09339	-0.08862	-0.07776	-0.06917	-0.05062	-0.03583	-0.03455	-0.04766	-0.02654	-0.01711	-0.03217	-0.03166	-0.03115	-0.03523	-0.04278	-0.04369	-0.04849	-0.06648	-0.05883	-0.05793	-0.05572	-0.05711	-0.06664	-0.06643	-0.06722	-0.06741	-0.06683	-0.06480	-0.06230	-0.08930	-0.12137	-0.10507	-0.11039	-0.11859	-0.13791	-0.14837	-0.15039	-0.14925	-0.14696	-0.14025	-0.13156	-0.13263	-0.13259	-0.12852	-0.12000	-0.10822	-0.09409	-0.08289	-0.07051	-0.06043	-0.05735	-0.06183	
       6	  -4.997	     NaN	     NaN	     NaN	0.086392	 -0.2055	     NaN	     NaN	   81.06	   0.000	9.942E+5	   0.084	  511.30	   29.16	   218.7	 1025.47	   23.95	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98849	 0.96917	 0.94299	 0.92451	 0.90179	 0.88578	 0.85669	 0.83148	 0.79942	 0.77382	 0.74941	 0.73443	 0.72623	 0.71632	 0.70006	 0.69623	 0.68224	 0.67474	 0.66910	 0.66181	 0.65806	 0.65793	 0.65235	 0.65135	 0.65005	 0.65053	 0.65040	 0.65481	 0.65729	 0.66218	 0.66630	 0.67210	 0.67754	 0.68653	 0.69266	 0.70160	 0.71070	 0.72051	 0.73077	 0.74430	 0.75186	 0.76299	 0.77382	 0.79836	 0.81644	 0.83687	 0.85796	 0.87833	 0.89372	 0.91471	 0.92977	 0.95346	 0.97136	 0.98253	 0.99069	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01707	-0.01249	-0.01651	-0.03532	-0.05595	-0.07022	-0.08206	-0.08187	-0.08231	-0.07722	-0.06788	-0.05982	-0.04306	-0.03273	-0.03188	-0.04428	-0.02680	-0.01736	-0.03244	-0.03180	-0.03116	-0.03488	-0.04204	-0.04253	-0.04685	-0.06432	-0.05622	-0.05497	-0.05236	-0.05324	-0.06216	-0.06139	-0.06175	-0.06157	-0.06088	-0.05902	-0.05680	-0.08434	-0.11452	-0.09683	-0.10051	-0.10737	-0.12567	-0.13539	-0.13732	-0.13638	-0.13446	-0.12832	-0.12032	-0.12170	-0.12223	-0.11900	-0.11146	-0.10064	-0.08773	-0.07774	-0.06638	-0.05724	-0.05506	-0.06020	
       7	  -3.996	     NaN	     NaN	     NaN	0.077519	 -0.1755	     NaN	     NaN	   78.91	   0.000	9.965E+5	   0.085	  513.69	   29.23	   219.7	 1025.47	   23.96	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99488	 0.97939	 0.95693	 0.93896	 0.91686	 0.90188	 0.87527	 0.84923	 0.81664	 0.79068	 0.76658	 0.75296	 0.74453	 0.73453	 0.71862	 0.71627	 0.70406	 0.69682	 0.69158	 0.68389	 0.67992	 0.67941	 0.67431	 0.67405	 0.67337	 0.67443	 0.67423	 0.67872	 0.68076	 0.68496	 0.68869	 0.69533	 0.70171	 0.71125	 0.71741	 0.72631	 0.73557	 0.74586	 0.75619	 0.77021	 0.77819	 0.78868	 0.79936	 0.82450	 0.84270	 0.86043	 0.88024	 0.90021	 0.91455	 0.93278	 0.94537	 0.96385	 0.97886	 0.98694	 0.99283	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01644	-0.01209	-0.01544	-0.02944	-0.04678	-0.05943	-0.07173	-0.07179	-0.07227	-0.06764	-0.05938	-0.05205	-0.03671	-0.02968	-0.02987	-0.04181	-0.02897	-0.01977	-0.03488	-0.03429	-0.03370	-0.03736	-0.04411	-0.04427	-0.04827	-0.06538	-0.05697	-0.05523	-0.05220	-0.05265	-0.06114	-0.05984	-0.05973	-0.05924	-0.05840	-0.05664	-0.05471	-0.08217	-0.10928	-0.08974	-0.09187	-0.09734	-0.11430	-0.12325	-0.12483	-0.12406	-0.12242	-0.11682	-0.10950	-0.11136	-0.11233	-0.10982	-0.10320	-0.09356	-0.08180	-0.07303	-0.06295	-0.05500	-0.05371	-0.05964	
       8	  -2.999	     NaN	     NaN	     NaN	0.068403	 -0.1317	     NaN	     NaN	   81.31	   0.000	9.989E+5	   0.085	  516.21	   29.30	   220.8	 1025.47	   23.96	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98916	 0.97184	 0.95733	 0.93799	 0.92487	 0.89852	 0.87440	 0.84306	 0.81644	 0.79161	 0.77733	 0.76922	 0.75885	 0.74213	 0.73938	 0.72644	 0.71996	 0.71511	 0.70786	 0.70453	 0.70470	 0.70027	 0.70004	 0.69911	 0.70011	 0.70038	 0.70540	 0.70767	 0.71254	 0.71661	 0.72353	 0.73048	 0.74022	 0.74644	 0.75460	 0.76365	 0.77286	 0.78206	 0.79461	 0.80155	 0.81125	 0.82190	 0.84387	 0.86093	 0.87932	 0.89740	 0.91494	 0.92767	 0.94482	 0.95636	 0.97259	 0.98427	 0.99109	 0.99526	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01600	-0.01183	-0.01475	-0.02400	-0.03897	-0.05003	-0.06235	-0.06321	-0.06447	-0.06002	-0.05214	-0.04613	-0.03220	-0.02687	-0.02706	-0.03818	-0.03122	-0.02251	-0.03794	-0.03763	-0.03732	-0.04090	-0.04759	-0.04749	-0.05146	-0.06817	-0.05942	-0.05746	-0.05406	-0.05408	-0.06176	-0.06012	-0.05938	-0.05841	-0.05726	-0.05509	-0.05289	-0.08007	-0.10241	-0.08091	-0.08093	-0.08477	-0.10030	-0.10806	-0.10931	-0.10852	-0.10726	-0.10216	-0.09552	-0.09772	-0.09928	-0.09761	-0.09206	-0.08370	-0.07339	-0.06607	-0.05757	-0.05102	-0.05094	-0.05794	
       9	  -1.998	     NaN	     NaN	     NaN	0.059293	 -0.0577	     NaN	     NaN	   78.60	   0.000	1.001E+6	   0.085	  518.71	   29.37	   221.8	 1025.46	   23.98	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99269	 0.98435	 0.97047	 0.96125	 0.93722	 0.91310	 0.88065	 0.85214	 0.82382	 0.80791	 0.79857	 0.78775	 0.77098	 0.76694	 0.75220	 0.74411	 0.73745	 0.72919	 0.72445	 0.72343	 0.71792	 0.71808	 0.71733	 0.71821	 0.71793	 0.72217	 0.72451	 0.73015	 0.73441	 0.74173	 0.74783	 0.75722	 0.76380	 0.77217	 0.78171	 0.79132	 0.80167	 0.81472	 0.82191	 0.83214	 0.84150	 0.86237	 0.87853	 0.89595	 0.91259	 0.92888	 0.94046	 0.95510	 0.96466	 0.97831	 0.98818	 0.99287	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01658	-0.01227	-0.01476	-0.01947	-0.03067	-0.04031	-0.05291	-0.05469	-0.05620	-0.05147	-0.04390	-0.03882	-0.02663	-0.02329	-0.02285	-0.03295	-0.03462	-0.02686	-0.04321	-0.04371	-0.04421	-0.04837	-0.05524	-0.05514	-0.05930	-0.07623	-0.06700	-0.06479	-0.06099	-0.06065	-0.06797	-0.06566	-0.06406	-0.06216	-0.06034	-0.05719	-0.05439	-0.08025	-0.09422	-0.06981	-0.06715	-0.06866	-0.08209	-0.08843	-0.08867	-0.08770	-0.08659	-0.08194	-0.07618	-0.07851	-0.08073	-0.08008	-0.07576	-0.06889	-0.06044	-0.05500	-0.04850	-0.04396	-0.04566	-0.05416	
