   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       2	  -9.997	     NaN	     NaN	     NaN	0.133985	 -0.3324	     NaN	     NaN	   81.79	   0.000	9.793E+5	   0.083	  498.25	   28.81	   213.1	 1025.36	   24.44	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99214	 0.98102	 0.96557	 0.93902	 0.90728	 0.88512	 0.85979	 0.84162	 0.80887	 0.78102	 0.74571	 0.71467	 0.68595	 0.66805	 0.65745	 0.64424	 0.62596	 0.62137	 0.60236	 0.59361	 0.58475	 0.57241	 0.56435	 0.56068	 0.55196	 0.54697	 0.54142	 0.53707	 0.53282	 0.53077	 0.53003	 0.53158	 0.53218	 0.53197	 0.53520	 0.54063	 0.54346	 0.54896	 0.55492	 0.56199	 0.56901	 0.58012	 0.58570	 0.59757	 0.60735	 0.63359	 0.65487	 0.68092	 0.70837	 0.73838	 0.76153	 0.79719	 0.82592	 0.87212	 0.91385	 0.94169	 0.96532	 0.98133	 0.99347	 1.00000	 1.00000	 1.00000	-0.03205	-0.02564	-0.03361	-0.07116	-0.10294	-0.12707	-0.14396	-0.14101	-0.13510	-0.12613	-0.11298	-0.10190	-0.07989	-0.05027	-0.04367	-0.05896	-0.02188	-0.01111	-0.02497	-0.02434	-0.02372	-0.02848	-0.03745	-0.04023	-0.04657	-0.06393	-0.05961	-0.06088	-0.06032	-0.06319	-0.07535	-0.07768	-0.08132	-0.08377	-0.08471	-0.08261	-0.07906	-0.10560	-0.14545	-0.13597	-0.14724	-0.16015	-0.18371	-0.19657	-0.19910	-0.19707	-0.19337	-0.18456	-0.17372	-0.17310	-0.17104	-0.16461	-0.15286	-0.13726	-0.11896	-0.10354	-0.08688	-0.07284	-0.06619	-0.06797	
       3	  -9.007	     NaN	     NaN	     NaN	0.120930	 -0.3138	     NaN	     NaN	   78.32	   0.000	9.825E+5	   0.084	  501.50	   28.91	   214.5	 1025.35	   24.43	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99168	 0.98007	 0.95478	 0.92431	 0.90433	 0.87996	 0.86297	 0.83417	 0.80725	 0.77272	 0.74410	 0.71496	 0.69713	 0.68698	 0.67497	 0.65676	 0.65162	 0.63423	 0.62376	 0.61381	 0.60000	 0.59132	 0.58676	 0.57728	 0.57195	 0.56727	 0.56475	 0.55976	 0.55835	 0.55785	 0.55829	 0.55853	 0.55975	 0.56324	 0.56867	 0.57102	 0.57811	 0.58464	 0.59263	 0.60062	 0.61276	 0.61938	 0.62928	 0.63927	 0.66462	 0.68328	 0.70627	 0.73514	 0.76377	 0.78727	 0.82170	 0.84832	 0.88975	 0.92592	 0.95170	 0.97160	 0.98502	 1.00000	 1.00000	 1.00000	 1.00000	-0.02723	-0.02130	-0.02683	-0.05628	-0.08615	-0.11028	-0.12737	-0.12430	-0.12010	-0.11178	-0.09975	-0.09023	-0.06828	-0.04397	-0.03994	-0.05487	-0.02233	-0.01152	-0.02506	-0.02415	-0.02324	-0.02746	-0.03587	-0.03799	-0.04364	-0.06031	-0.05540	-0.05613	-0.05510	-0.05731	-0.06863	-0.07022	-0.07334	-0.07536	-0.07620	-0.07467	-0.07179	-0.09880	-0.13766	-0.12640	-0.13554	-0.14685	-0.16937	-0.18160	-0.18412	-0.18265	-0.17956	-0.17159	-0.16153	-0.16153	-0.16022	-0.15477	-0.14408	-0.12986	-0.11292	-0.09871	-0.08333	-0.07037	-0.06466	-0.06702	
       4	  -8.003	     NaN	     NaN	     NaN	0.111320	 -0.2973	     NaN	     NaN	   81.68	   0.000	9.858E+5	   0.084	  504.80	   29.00	   215.9	 1025.34	   24.42	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99297	 0.98480	 0.96592	 0.94199	 0.92384	 0.90173	 0.88550	 0.85587	 0.82955	 0.79461	 0.76548	 0.73920	 0.72227	 0.71246	 0.70001	 0.68040	 0.67444	 0.65574	 0.64508	 0.63613	 0.62347	 0.61576	 0.61162	 0.60093	 0.59528	 0.58855	 0.58448	 0.58067	 0.57913	 0.57812	 0.57943	 0.58035	 0.58209	 0.58574	 0.59312	 0.59639	 0.60314	 0.60977	 0.61777	 0.62642	 0.63920	 0.64543	 0.65658	 0.66613	 0.69092	 0.71181	 0.73652	 0.76337	 0.79006	 0.81071	 0.84042	 0.86360	 0.90150	 0.93381	 0.95477	 0.97330	 0.98376	 0.99280	 1.00000	 1.00000	 1.00000	-0.02556	-0.02015	-0.02396	-0.04647	-0.07189	-0.09289	-0.11000	-0.10888	-0.10622	-0.09945	-0.08916	-0.08119	-0.06171	-0.04284	-0.04013	-0.05396	-0.02469	-0.01386	-0.02724	-0.02600	-0.02476	-0.02851	-0.03633	-0.03786	-0.04291	-0.05891	-0.05358	-0.05394	-0.05218	-0.05377	-0.06443	-0.06535	-0.06790	-0.06958	-0.07028	-0.06901	-0.06681	-0.09455	-0.13235	-0.11936	-0.12693	-0.13696	-0.15834	-0.17003	-0.17259	-0.17157	-0.16901	-0.16174	-0.15257	-0.15297	-0.15240	-0.14783	-0.13820	-0.12508	-0.10942	-0.09645	-0.08213	-0.07013	-0.06519	-0.06818	
       5	  -6.998	     NaN	     NaN	     NaN	0.096301	 -0.2757	     NaN	     NaN	   78.10	   0.000	9.886E+5	   0.084	  507.74	   29.09	   217.1	 1025.34	   24.42	 1.00000	 1.00000	 1.00000	 1.00000	 0.99258	 0.98094	 0.95842	 0.92596	 0.87928	 0.82337	 0.79264	 0.76052	 0.74026	 0.70844	 0.68572	 0.66049	 0.64441	 0.63240	 0.62364	 0.62266	 0.61948	 0.61214	 0.61795	 0.61271	 0.61516	 0.61808	 0.61922	 0.62446	 0.63237	 0.63482	 0.64290	 0.65066	 0.65926	 0.66576	 0.67657	 0.68467	 0.69710	 0.70738	 0.71971	 0.73070	 0.74415	 0.75386	 0.76613	 0.77848	 0.79116	 0.80373	 0.81900	 0.82780	 0.83951	 0.85057	 0.87433	 0.89078	 0.90748	 0.92444	 0.93966	 0.95025	 0.96449	 0.97397	 0.98624	 0.99392	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01852	-0.01445	-0.02720	-0.06524	-0.08542	-0.09117	-0.09389	-0.08904	-0.08504	-0.07344	-0.05871	-0.05193	-0.03800	-0.03582	-0.03881	-0.05285	-0.02343	-0.01267	-0.02584	-0.02444	-0.02304	-0.02637	-0.03363	-0.03465	-0.03938	-0.05460	-0.04884	-0.04876	-0.04656	-0.04770	-0.05764	-0.05795	-0.06004	-0.06146	-0.06207	-0.06119	-0.05953	-0.08754	-0.12354	-0.10876	-0.11449	-0.12332	-0.14341	-0.15453	-0.15703	-0.15630	-0.15425	-0.14763	-0.13908	-0.14012	-0.14008	-0.13634	-0.12781	-0.11585	-0.10138	-0.08968	-0.07661	-0.06559	-0.06145	-0.06519	
       6	  -5.998	     NaN	     NaN	     NaN	0.085716	 -0.2550	     NaN	     NaN	   81.78	   0.000	9.912E+5	   0.084	  510.40	   29.16	   218.3	 1025.33	   24.44	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98922	 0.97032	 0.94035	 0.89641	 0.84210	 0.81132	 0.78101	 0.76098	 0.73012	 0.70659	 0.68183	 0.66430	 0.65298	 0.64560	 0.64487	 0.64283	 0.63542	 0.64098	 0.63698	 0.63978	 0.64323	 0.64457	 0.64890	 0.65735	 0.66089	 0.66960	 0.67822	 0.68831	 0.69630	 0.70996	 0.71859	 0.73155	 0.74187	 0.75468	 0.76608	 0.77974	 0.78988	 0.80239	 0.81481	 0.82694	 0.83896	 0.85396	 0.86187	 0.87260	 0.88160	 0.90214	 0.91528	 0.92917	 0.94309	 0.95462	 0.96217	 0.97223	 0.97899	 0.98761	 0.99309	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01560	-0.01184	-0.02076	-0.05220	-0.07134	-0.07657	-0.08004	-0.07708	-0.07426	-0.06336	-0.05094	-0.04513	-0.03370	-0.03281	-0.03540	-0.04854	-0.02337	-0.01278	-0.02598	-0.02425	-0.02252	-0.02563	-0.03245	-0.03299	-0.03726	-0.05198	-0.04574	-0.04527	-0.04262	-0.04316	-0.05246	-0.05225	-0.05386	-0.05500	-0.05545	-0.05479	-0.05349	-0.08206	-0.11635	-0.09982	-0.10403	-0.11173	-0.13064	-0.14108	-0.14349	-0.14305	-0.14139	-0.13547	-0.12757	-0.12904	-0.12962	-0.12667	-0.11898	-0.10824	-0.09486	-0.08431	-0.07233	-0.06240	-0.05904	-0.06330	
       7	  -4.993	     NaN	     NaN	     NaN	0.077160	 -0.2270	     NaN	     NaN	   78.07	   0.000	9.937E+5	   0.085	  512.96	   29.24	   219.4	 1025.33	   24.43	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98640	 0.96783	 0.95231	 0.93198	 0.91907	 0.89060	 0.86575	 0.83319	 0.80367	 0.77734	 0.76136	 0.75234	 0.74024	 0.72198	 0.71862	 0.70305	 0.69526	 0.68829	 0.67845	 0.67396	 0.67286	 0.66582	 0.66353	 0.66130	 0.66159	 0.66102	 0.66513	 0.66677	 0.67161	 0.67494	 0.68147	 0.68796	 0.69743	 0.70339	 0.71265	 0.72332	 0.73411	 0.74429	 0.75780	 0.76462	 0.77622	 0.78706	 0.81286	 0.83252	 0.85487	 0.87714	 0.89827	 0.91254	 0.93239	 0.94566	 0.96615	 0.98097	 0.98936	 0.99488	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01645	-0.01252	-0.01548	-0.02622	-0.04295	-0.05541	-0.06836	-0.06916	-0.06995	-0.06517	-0.05627	-0.05100	-0.03647	-0.03041	-0.03127	-0.04343	-0.02598	-0.01557	-0.02878	-0.02700	-0.02523	-0.02810	-0.03451	-0.03465	-0.03848	-0.05277	-0.04620	-0.04532	-0.04229	-0.04237	-0.05115	-0.05038	-0.05151	-0.05234	-0.05264	-0.05216	-0.05133	-0.07996	-0.11137	-0.09317	-0.09576	-0.10184	-0.11963	-0.12920	-0.13135	-0.13106	-0.12983	-0.12441	-0.11715	-0.11894	-0.12017	-0.11794	-0.11136	-0.10164	-0.08965	-0.08038	-0.06956	-0.06066	-0.05827	-0.06328	
       8	  -4.000	     NaN	     NaN	     NaN	0.067755	 -0.1857	     NaN	     NaN	   81.85	   0.000	9.959E+5	   0.085	  515.29	   29.30	   220.4	 1025.32	   24.44	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98539	 0.97364	 0.95666	 0.94629	 0.91973	 0.89476	 0.86233	 0.83260	 0.80437	 0.78792	 0.77762	 0.76506	 0.74625	 0.74167	 0.72525	 0.71627	 0.70956	 0.69938	 0.69260	 0.69017	 0.68280	 0.68143	 0.68024	 0.68096	 0.68174	 0.68655	 0.68883	 0.69449	 0.69831	 0.70571	 0.71328	 0.72430	 0.73060	 0.73987	 0.75084	 0.76138	 0.77256	 0.78630	 0.79394	 0.80459	 0.81571	 0.83989	 0.85736	 0.87653	 0.89556	 0.91385	 0.92718	 0.94550	 0.95740	 0.97363	 0.98586	 0.99174	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01560	-0.01193	-0.01483	-0.02173	-0.03534	-0.04595	-0.05871	-0.05947	-0.06131	-0.05669	-0.04867	-0.04371	-0.03100	-0.02770	-0.02846	-0.03974	-0.02785	-0.01776	-0.03132	-0.02974	-0.02816	-0.03107	-0.03727	-0.03705	-0.04078	-0.05482	-0.04784	-0.04665	-0.04319	-0.04282	-0.05109	-0.04991	-0.05038	-0.05079	-0.05078	-0.05006	-0.04901	-0.07765	-0.10440	-0.08402	-0.08481	-0.08942	-0.10558	-0.11409	-0.11585	-0.11560	-0.11475	-0.10979	-0.10326	-0.10548	-0.10724	-0.10594	-0.10035	-0.09189	-0.08130	-0.07345	-0.06413	-0.05661	-0.05536	-0.06136	
       9	  -2.999	     NaN	     NaN	     NaN	0.058550	 -0.1113	     NaN	     NaN	   78.17	   0.000	9.983E+5	   0.085	  517.73	   29.37	   221.4	 1025.33	   24.44	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99283	 0.98284	 0.97798	 0.95708	 0.93657	 0.90548	 0.87531	 0.84401	 0.82618	 0.81448	 0.80059	 0.78005	 0.77393	 0.75592	 0.74519	 0.73650	 0.72568	 0.71911	 0.71637	 0.70837	 0.70669	 0.70410	 0.70331	 0.70303	 0.70767	 0.70968	 0.71530	 0.71920	 0.72648	 0.73315	 0.74276	 0.74926	 0.75840	 0.76792	 0.77867	 0.78902	 0.80343	 0.81086	 0.82153	 0.83259	 0.85700	 0.87515	 0.89446	 0.91312	 0.92946	 0.94129	 0.95704	 0.96630	 0.97971	 0.98996	 0.99454	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01590	-0.01214	-0.01478	-0.01858	-0.02802	-0.03694	-0.04964	-0.05164	-0.05400	-0.04956	-0.04266	-0.03857	-0.02682	-0.02416	-0.02402	-0.03417	-0.03089	-0.02184	-0.03617	-0.03542	-0.03468	-0.03801	-0.04445	-0.04424	-0.04814	-0.06232	-0.05492	-0.05337	-0.04964	-0.04886	-0.05647	-0.05479	-0.05442	-0.05393	-0.05336	-0.05184	-0.04999	-0.07738	-0.09563	-0.07234	-0.07026	-0.07248	-0.08660	-0.09353	-0.09439	-0.09392	-0.09322	-0.08882	-0.08316	-0.08564	-0.08799	-0.08766	-0.08343	-0.07662	-0.06777	-0.06193	-0.05475	-0.04927	-0.04993	-0.05754	
      10	  -1.998	     NaN	     NaN	     NaN	0.049824	  0.0034	     NaN	     NaN	   81.76	   0.000	1.001E+6	   0.085	  520.10	   29.44	   222.4	 1025.31	   24.44	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99098	 0.97922	 0.95914	 0.94417	 0.91072	 0.87739	 0.83657	 0.80376	 0.77650	 0.76208	 0.75524	 0.74728	 0.73379	 0.73476	 0.72534	 0.72437	 0.72436	 0.72196	 0.72436	 0.73046	 0.73196	 0.73744	 0.74331	 0.75047	 0.75689	 0.76926	 0.77642	 0.78698	 0.79627	 0.80785	 0.81868	 0.83163	 0.84065	 0.85113	 0.86259	 0.87327	 0.88369	 0.89691	 0.90306	 0.91180	 0.92054	 0.93823	 0.95017	 0.96045	 0.97111	 0.97921	 0.98398	 0.98992	 0.99184	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01695	-0.01295	-0.01535	-0.01913	-0.02962	-0.03763	-0.04516	-0.04458	-0.04428	-0.03643	-0.02916	-0.02795	-0.01955	-0.01958	-0.01892	-0.02801	-0.03601	-0.02857	-0.04466	-0.04549	-0.04633	-0.05088	-0.05790	-0.05832	-0.06268	-0.07758	-0.06973	-0.06804	-0.06397	-0.06270	-0.06996	-0.06739	-0.06566	-0.06365	-0.06154	-0.05806	-0.05449	-0.07976	-0.08510	-0.05749	-0.05215	-0.05121	-0.06267	-0.06735	-0.06684	-0.06594	-0.06521	-0.06118	-0.05627	-0.05903	-0.06209	-0.06277	-0.06006	-0.05530	-0.04863	-0.04529	-0.04091	-0.03824	-0.04141	-0.05123	
