   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	 -10.004	     NaN	     NaN	     NaN	0.136003	 -0.3323	     NaN	     NaN	   81.29	   0.000	9.803E+5	   0.083	  496.46	   28.73	   212.3	 1025.43	   23.80	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98994	 0.97685	 0.96061	 0.92945	 0.89282	 0.86782	 0.84241	 0.82468	 0.79190	 0.76159	 0.72629	 0.69527	 0.66505	 0.64734	 0.63796	 0.62552	 0.60725	 0.60397	 0.58560	 0.57888	 0.57069	 0.55937	 0.55333	 0.55072	 0.54219	 0.53862	 0.53428	 0.53142	 0.52861	 0.52878	 0.52944	 0.53167	 0.53357	 0.53595	 0.54203	 0.55040	 0.55410	 0.56116	 0.56770	 0.57693	 0.58556	 0.59757	 0.60252	 0.61440	 0.62357	 0.64824	 0.66949	 0.69465	 0.72198	 0.75060	 0.77359	 0.80703	 0.83268	 0.87643	 0.91393	 0.93978	 0.96222	 0.97882	 0.99293	 1.00000	 1.00000	 1.00000	-0.03185	-0.02551	-0.03606	-0.07808	-0.11235	-0.13623	-0.15039	-0.14485	-0.13879	-0.12916	-0.11568	-0.10419	-0.08008	-0.05091	-0.04469	-0.05982	-0.02139	-0.01095	-0.02578	-0.02469	-0.02359	-0.02831	-0.03730	-0.04001	-0.04648	-0.06399	-0.05964	-0.06107	-0.06054	-0.06348	-0.07549	-0.07792	-0.08165	-0.08416	-0.08511	-0.08298	-0.07945	-0.10574	-0.14588	-0.13631	-0.14737	-0.16042	-0.18397	-0.19686	-0.19935	-0.19723	-0.19344	-0.18481	-0.17396	-0.17343	-0.17131	-0.16465	-0.15285	-0.13733	-0.11894	-0.10354	-0.08682	-0.07281	-0.06617	-0.06795	
       2	  -9.004	     NaN	     NaN	     NaN	0.122577	 -0.3115	     NaN	     NaN	   78.67	   0.000	9.836E+5	   0.083	  499.98	   28.83	   213.8	 1025.43	   23.84	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99435	 0.98578	 0.97315	 0.94851	 0.91641	 0.89535	 0.86984	 0.85218	 0.81948	 0.79091	 0.75660	 0.72813	 0.69953	 0.68227	 0.67381	 0.66184	 0.64377	 0.63974	 0.62176	 0.61335	 0.60518	 0.59379	 0.58706	 0.58340	 0.57317	 0.56794	 0.56303	 0.56025	 0.55640	 0.55551	 0.55476	 0.55648	 0.55850	 0.56149	 0.56610	 0.57275	 0.57589	 0.58295	 0.59002	 0.59848	 0.60685	 0.61932	 0.62597	 0.63814	 0.64864	 0.67398	 0.69383	 0.71803	 0.74721	 0.77688	 0.79887	 0.82951	 0.85341	 0.89247	 0.92823	 0.95154	 0.97185	 0.98397	 0.99427	 1.00000	 1.00000	 1.00000	-0.02787	-0.02183	-0.02887	-0.06236	-0.09150	-0.11391	-0.12868	-0.12513	-0.12112	-0.11377	-0.10200	-0.09131	-0.06807	-0.04423	-0.04112	-0.05589	-0.02269	-0.01224	-0.02682	-0.02544	-0.02405	-0.02826	-0.03670	-0.03870	-0.04454	-0.06141	-0.05654	-0.05742	-0.05635	-0.05857	-0.06966	-0.07135	-0.07446	-0.07653	-0.07730	-0.07559	-0.07277	-0.09978	-0.13841	-0.12675	-0.13598	-0.14742	-0.16987	-0.18207	-0.18462	-0.18299	-0.17982	-0.17193	-0.16192	-0.16207	-0.16065	-0.15504	-0.14444	-0.13023	-0.11326	-0.09914	-0.08375	-0.07089	-0.06520	-0.06758	
       3	  -7.999	     NaN	     NaN	     NaN	0.111324	 -0.2946	     NaN	     NaN	   81.39	   0.000	9.865E+5	   0.084	  503.10	   28.92	   215.2	 1025.42	   23.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99307	 0.98389	 0.96186	 0.93478	 0.91490	 0.89186	 0.87546	 0.84583	 0.82007	 0.78673	 0.75764	 0.73024	 0.71340	 0.70355	 0.69078	 0.67190	 0.66722	 0.64994	 0.64076	 0.63295	 0.62215	 0.61510	 0.61176	 0.60196	 0.59701	 0.59183	 0.58804	 0.58427	 0.58424	 0.58380	 0.58510	 0.58646	 0.58901	 0.59378	 0.60091	 0.60490	 0.61193	 0.61833	 0.62698	 0.63558	 0.64738	 0.65283	 0.66332	 0.67323	 0.69879	 0.71885	 0.74109	 0.76628	 0.79295	 0.81363	 0.84338	 0.86695	 0.90311	 0.93433	 0.95624	 0.97399	 0.98546	 0.99471	 1.00000	 1.00000	 1.00000	-0.02475	-0.01931	-0.02380	-0.04933	-0.07552	-0.09556	-0.10989	-0.10845	-0.10554	-0.09836	-0.08766	-0.07846	-0.05788	-0.04049	-0.03943	-0.05366	-0.02360	-0.01319	-0.02758	-0.02590	-0.02422	-0.02798	-0.03578	-0.03733	-0.04262	-0.05868	-0.05331	-0.05375	-0.05211	-0.05371	-0.06406	-0.06508	-0.06763	-0.06938	-0.06997	-0.06861	-0.06638	-0.09418	-0.13168	-0.11836	-0.12597	-0.13618	-0.15742	-0.16903	-0.17166	-0.17041	-0.16785	-0.16070	-0.15141	-0.15196	-0.15135	-0.14660	-0.13709	-0.12396	-0.10830	-0.09533	-0.08110	-0.06908	-0.06421	-0.06726	
       4	  -7.002	     NaN	     NaN	     NaN	0.097967	 -0.2753	     NaN	     NaN	   78.87	   0.000	9.888E+5	   0.084	  505.63	   29.00	   216.2	 1025.40	   23.90	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99178	 0.97425	 0.95039	 0.93182	 0.91023	 0.89659	 0.86783	 0.83972	 0.80398	 0.77564	 0.74905	 0.73238	 0.72293	 0.71051	 0.69142	 0.68752	 0.67033	 0.66165	 0.65387	 0.64283	 0.63635	 0.63341	 0.62465	 0.62131	 0.61709	 0.61520	 0.61272	 0.61339	 0.61365	 0.61652	 0.61840	 0.62259	 0.62698	 0.63409	 0.63806	 0.64489	 0.65318	 0.66291	 0.67181	 0.68453	 0.69121	 0.70230	 0.71282	 0.73802	 0.75832	 0.78117	 0.80724	 0.83214	 0.85117	 0.87712	 0.89825	 0.92905	 0.95450	 0.97062	 0.98314	 0.99134	 1.00000	 1.00000	 1.00000	 1.00000	-0.02063	-0.01563	-0.01924	-0.03834	-0.06012	-0.07767	-0.09300	-0.09375	-0.09246	-0.08599	-0.07677	-0.06909	-0.05127	-0.03709	-0.03577	-0.04905	-0.02308	-0.01268	-0.02693	-0.02505	-0.02316	-0.02643	-0.03374	-0.03474	-0.03946	-0.05503	-0.04928	-0.04928	-0.04706	-0.04816	-0.05790	-0.05830	-0.06037	-0.06175	-0.06232	-0.06138	-0.05984	-0.08798	-0.12393	-0.10897	-0.11490	-0.12388	-0.14388	-0.15495	-0.15740	-0.15656	-0.15440	-0.14784	-0.13927	-0.14038	-0.14033	-0.13644	-0.12785	-0.11592	-0.10142	-0.08965	-0.07655	-0.06556	-0.06146	-0.06512	
       5	  -5.998	     NaN	     NaN	     NaN	0.085997	 -0.2546	     NaN	     NaN	   81.36	   0.000	9.910E+5	   0.084	  507.96	   29.07	   217.2	 1025.41	   23.92	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98284	 0.96351	 0.94799	 0.92789	 0.91470	 0.88623	 0.86055	 0.82639	 0.79752	 0.76957	 0.75246	 0.74322	 0.73041	 0.71161	 0.70766	 0.69128	 0.68217	 0.67448	 0.66346	 0.65764	 0.65600	 0.64789	 0.64585	 0.64276	 0.64153	 0.63985	 0.64213	 0.64264	 0.64571	 0.64758	 0.65185	 0.65637	 0.66476	 0.67015	 0.67849	 0.68772	 0.69853	 0.70880	 0.72218	 0.72871	 0.73950	 0.75038	 0.77648	 0.79559	 0.81871	 0.84236	 0.86530	 0.88252	 0.90645	 0.92351	 0.94945	 0.96973	 0.98196	 0.99052	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01776	-0.01327	-0.01645	-0.02999	-0.04863	-0.06458	-0.07913	-0.08091	-0.08154	-0.07669	-0.06866	-0.06212	-0.04538	-0.03350	-0.03283	-0.04557	-0.02349	-0.01328	-0.02746	-0.02526	-0.02306	-0.02619	-0.03303	-0.03346	-0.03780	-0.05270	-0.04649	-0.04608	-0.04344	-0.04403	-0.05316	-0.05298	-0.05460	-0.05572	-0.05609	-0.05536	-0.05423	-0.08295	-0.11711	-0.10054	-0.10488	-0.11251	-0.13147	-0.14192	-0.14423	-0.14367	-0.14197	-0.13606	-0.12814	-0.12970	-0.13028	-0.12716	-0.11953	-0.10872	-0.09539	-0.08480	-0.07277	-0.06276	-0.05949	-0.06371	
       6	  -4.993	     NaN	     NaN	     NaN	0.076822	 -0.2260	     NaN	     NaN	   78.60	   0.000	9.933E+5	   0.084	  510.38	   29.14	   218.3	 1025.40	   23.94	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99034	 0.97709	 0.96400	 0.94614	 0.93548	 0.90869	 0.88371	 0.85263	 0.82386	 0.79686	 0.77983	 0.76938	 0.75647	 0.73689	 0.73178	 0.71483	 0.70534	 0.69742	 0.68679	 0.68097	 0.67883	 0.67101	 0.66837	 0.66506	 0.66313	 0.66010	 0.66223	 0.66337	 0.66753	 0.67004	 0.67530	 0.68015	 0.68794	 0.69327	 0.70151	 0.71021	 0.72035	 0.73094	 0.74500	 0.75285	 0.76435	 0.77620	 0.80283	 0.82272	 0.84425	 0.86672	 0.88839	 0.90418	 0.92459	 0.93896	 0.96015	 0.97616	 0.98542	 0.99206	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01729	-0.01310	-0.01610	-0.02568	-0.04147	-0.05490	-0.06915	-0.07101	-0.07221	-0.06808	-0.05962	-0.05392	-0.03933	-0.03205	-0.03171	-0.04376	-0.02608	-0.01588	-0.03018	-0.02797	-0.02577	-0.02866	-0.03510	-0.03513	-0.03910	-0.05367	-0.04702	-0.04626	-0.04321	-0.04330	-0.05190	-0.05120	-0.05238	-0.05319	-0.05348	-0.05297	-0.05208	-0.08088	-0.11212	-0.09378	-0.09639	-0.10261	-0.12033	-0.12989	-0.13206	-0.13161	-0.13029	-0.12492	-0.11769	-0.11966	-0.12077	-0.11845	-0.11181	-0.10209	-0.09002	-0.08067	-0.06990	-0.06102	-0.05860	-0.06359	
       7	  -3.997	     NaN	     NaN	     NaN	0.067067	 -0.1843	     NaN	     NaN	   81.29	   0.000	9.955E+5	   0.085	  512.78	   29.21	   219.3	 1025.38	   23.96	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99116	 0.98234	 0.96855	 0.96078	 0.93613	 0.91289	 0.88108	 0.85291	 0.82408	 0.80634	 0.79533	 0.78187	 0.76173	 0.75646	 0.73986	 0.72982	 0.72104	 0.70870	 0.70114	 0.69756	 0.68923	 0.68722	 0.68408	 0.68203	 0.68047	 0.68321	 0.68399	 0.68857	 0.69141	 0.69759	 0.70295	 0.71240	 0.71853	 0.72755	 0.73809	 0.74791	 0.75798	 0.77254	 0.78020	 0.79146	 0.80353	 0.82822	 0.84739	 0.86758	 0.88887	 0.90896	 0.92295	 0.94247	 0.95488	 0.97248	 0.98437	 0.99093	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01606	-0.01211	-0.01505	-0.02111	-0.03348	-0.04499	-0.05919	-0.06120	-0.06263	-0.05888	-0.05179	-0.04668	-0.03324	-0.02818	-0.02836	-0.03959	-0.02748	-0.01774	-0.03235	-0.03038	-0.02841	-0.03122	-0.03749	-0.03730	-0.04107	-0.05537	-0.04842	-0.04729	-0.04384	-0.04354	-0.05161	-0.05037	-0.05095	-0.05128	-0.05130	-0.05043	-0.04943	-0.07798	-0.10477	-0.08421	-0.08501	-0.08953	-0.10582	-0.11435	-0.11613	-0.11574	-0.11473	-0.10985	-0.10330	-0.10563	-0.10732	-0.10579	-0.10032	-0.09182	-0.08113	-0.07328	-0.06402	-0.05647	-0.05528	-0.06131	
       8	  -2.999	     NaN	     NaN	     NaN	0.059340	 -0.1119	     NaN	     NaN	   78.95	   0.000	9.976E+5	   0.085	  514.94	   29.27	   220.2	 1025.41	   23.97	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98814	 0.98656	 0.96890	 0.95085	 0.92262	 0.89493	 0.86620	 0.84851	 0.83718	 0.82236	 0.80048	 0.79358	 0.77409	 0.76194	 0.75076	 0.73658	 0.72736	 0.72238	 0.71189	 0.70761	 0.70288	 0.70018	 0.69792	 0.70013	 0.69970	 0.70325	 0.70557	 0.71183	 0.71759	 0.72689	 0.73322	 0.74100	 0.75002	 0.76002	 0.76997	 0.78451	 0.79283	 0.80270	 0.81363	 0.83848	 0.85659	 0.87624	 0.89642	 0.91571	 0.93011	 0.94850	 0.96025	 0.97587	 0.98727	 0.99287	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01634	-0.01240	-0.01513	-0.01854	-0.02652	-0.03528	-0.04915	-0.05220	-0.05463	-0.05143	-0.04490	-0.04023	-0.02787	-0.02443	-0.02410	-0.03433	-0.03044	-0.02163	-0.03709	-0.03585	-0.03461	-0.03787	-0.04434	-0.04412	-0.04801	-0.06238	-0.05496	-0.05367	-0.04991	-0.04917	-0.05670	-0.05496	-0.05468	-0.05414	-0.05360	-0.05198	-0.05027	-0.07763	-0.09601	-0.07269	-0.07073	-0.07301	-0.08712	-0.09409	-0.09496	-0.09439	-0.09365	-0.08925	-0.08361	-0.08615	-0.08845	-0.08797	-0.08375	-0.07682	-0.06801	-0.06207	-0.05482	-0.04930	-0.04989	-0.05740	
       9	  -1.994	     NaN	     NaN	     NaN	0.050688	  0.0008	     NaN	     NaN	   81.39	   0.000	9.997E+5	   0.085	  517.20	   29.33	   221.2	 1025.42	   24.00	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98950	 0.97627	 0.95392	 0.93619	 0.90135	 0.86740	 0.82679	 0.79417	 0.76630	 0.75185	 0.74546	 0.73757	 0.72399	 0.72578	 0.71757	 0.71732	 0.71770	 0.71614	 0.71906	 0.72542	 0.72645	 0.73294	 0.74020	 0.74912	 0.75643	 0.76894	 0.77605	 0.78710	 0.79639	 0.80874	 0.81956	 0.83288	 0.84211	 0.85313	 0.86545	 0.87668	 0.88728	 0.90084	 0.90710	 0.91628	 0.92526	 0.94243	 0.95318	 0.96340	 0.97255	 0.97966	 0.98421	 0.99015	 0.99257	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01673	-0.01269	-0.01521	-0.01912	-0.02980	-0.03802	-0.04542	-0.04457	-0.04410	-0.03600	-0.02838	-0.02703	-0.01928	-0.01967	-0.01906	-0.02815	-0.03507	-0.02791	-0.04506	-0.04534	-0.04562	-0.05004	-0.05712	-0.05747	-0.06197	-0.07695	-0.06915	-0.06758	-0.06346	-0.06233	-0.06931	-0.06680	-0.06520	-0.06320	-0.06119	-0.05770	-0.05425	-0.07938	-0.08519	-0.05774	-0.05253	-0.05164	-0.06307	-0.06782	-0.06738	-0.06634	-0.06559	-0.06161	-0.05665	-0.05954	-0.06249	-0.06299	-0.06031	-0.05548	-0.04871	-0.04535	-0.04082	-0.03805	-0.04123	-0.05096	
