   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	  -9.997	     NaN	     NaN	     NaN	0.146741	 -0.2996	     NaN	     NaN	   81.46	   0.000	9.793E+5	   0.083	  498.33	   28.83	   213.1	 1023.29	   24.23	 1.00000	 1.00000	 1.00000	 1.00000	 0.98282	 0.96698	 0.94402	 0.91739	 0.87897	 0.83472	 0.80524	 0.77912	 0.75747	 0.72864	 0.70045	 0.66654	 0.64005	 0.61534	 0.60008	 0.59188	 0.58050	 0.56946	 0.56401	 0.55082	 0.54604	 0.54170	 0.53551	 0.53193	 0.53125	 0.52691	 0.52640	 0.52485	 0.52447	 0.52539	 0.52738	 0.53143	 0.53517	 0.54119	 0.54349	 0.55010	 0.55734	 0.56180	 0.57140	 0.57915	 0.58790	 0.59793	 0.60983	 0.61700	 0.63140	 0.64203	 0.66841	 0.69045	 0.71480	 0.74333	 0.77089	 0.79080	 0.82050	 0.84474	 0.88320	 0.91898	 0.94530	 0.96636	 0.98049	 0.99254	 1.00000	 1.00000	 1.00000	-0.03477	-0.02935	-0.05647	-0.11401	-0.14649	-0.16480	-0.16881	-0.15788	-0.15008	-0.14031	-0.12304	-0.10960	-0.08208	-0.05246	-0.04683	-0.06264	-0.02764	-0.01670	-0.02837	-0.03024	-0.03211	-0.03831	-0.04687	-0.05161	-0.05854	-0.07949	-0.07492	-0.07553	-0.07458	-0.07806	-0.08882	-0.09207	-0.09493	-0.09673	-0.09596	-0.09286	-0.08813	-0.11198	-0.14993	-0.13988	-0.15178	-0.16555	-0.18867	-0.20196	-0.20370	-0.20064	-0.19556	-0.18674	-0.17520	-0.17419	-0.17249	-0.16628	-0.15231	-0.13638	-0.11751	-0.10191	-0.08547	-0.07162	-0.06475	-0.06771	
       2	  -9.007	     NaN	     NaN	     NaN	0.133068	 -0.2808	     NaN	     NaN	   78.89	   0.000	9.822E+5	   0.084	  501.37	   28.92	   214.4	 1023.31	   24.24	 1.00000	 1.00000	 1.00000	 1.00000	 0.98967	 0.97937	 0.96029	 0.93505	 0.89982	 0.85535	 0.82731	 0.79998	 0.77659	 0.74797	 0.71903	 0.68586	 0.65724	 0.63323	 0.61847	 0.60988	 0.60020	 0.59042	 0.58539	 0.57352	 0.56845	 0.56440	 0.55855	 0.55561	 0.55479	 0.55113	 0.55018	 0.55058	 0.55204	 0.55346	 0.55536	 0.55871	 0.56197	 0.56781	 0.57175	 0.57887	 0.58694	 0.59261	 0.60239	 0.61076	 0.62060	 0.63096	 0.64260	 0.64924	 0.66212	 0.67197	 0.69801	 0.71959	 0.74398	 0.77085	 0.79696	 0.81564	 0.84252	 0.86427	 0.90110	 0.93303	 0.95555	 0.97439	 0.98579	 0.99523	 1.00000	 1.00000	 1.00000	-0.03070	-0.02399	-0.04069	-0.08886	-0.11837	-0.13615	-0.14227	-0.13678	-0.13057	-0.12047	-0.10424	-0.09231	-0.06829	-0.04470	-0.04290	-0.05880	-0.02731	-0.01639	-0.02790	-0.02959	-0.03128	-0.03713	-0.04508	-0.04933	-0.05571	-0.07593	-0.07091	-0.07109	-0.06953	-0.07232	-0.08242	-0.08488	-0.08708	-0.08849	-0.08762	-0.08477	-0.08075	-0.10502	-0.14236	-0.13050	-0.14058	-0.15295	-0.17486	-0.18740	-0.18923	-0.18659	-0.18203	-0.17386	-0.16315	-0.16255	-0.16156	-0.15610	-0.14316	-0.12838	-0.11068	-0.09636	-0.08096	-0.06819	-0.06215	-0.06577	
       3	  -8.003	     NaN	     NaN	     NaN	0.121401	 -0.2664	     NaN	     NaN	   81.47	   0.000	9.851E+5	   0.084	  504.38	   29.01	   215.7	 1023.28	   24.25	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98923	 0.97309	 0.95010	 0.91824	 0.87954	 0.85332	 0.82527	 0.80254	 0.77441	 0.74653	 0.71283	 0.68705	 0.66198	 0.64603	 0.63726	 0.62738	 0.61554	 0.61047	 0.59943	 0.59277	 0.58701	 0.58056	 0.57666	 0.57548	 0.57107	 0.56908	 0.56847	 0.56831	 0.56855	 0.57027	 0.57304	 0.57646	 0.58289	 0.58799	 0.59499	 0.60298	 0.60934	 0.61962	 0.62817	 0.63748	 0.64812	 0.66010	 0.66746	 0.67961	 0.68983	 0.71632	 0.73836	 0.76217	 0.78838	 0.81461	 0.83336	 0.86239	 0.88419	 0.91804	 0.94631	 0.96615	 0.98093	 0.99017	 1.00000	 1.00000	 1.00000	 1.00000	-0.02599	-0.01942	-0.03113	-0.07304	-0.10053	-0.11870	-0.12593	-0.12222	-0.11751	-0.10845	-0.09317	-0.08282	-0.06006	-0.04102	-0.03978	-0.05454	-0.02704	-0.01614	-0.02741	-0.02883	-0.03025	-0.03551	-0.04289	-0.04655	-0.05230	-0.07182	-0.06626	-0.06595	-0.06385	-0.06601	-0.07534	-0.07706	-0.07867	-0.07969	-0.07871	-0.07622	-0.07285	-0.09814	-0.13455	-0.12092	-0.12963	-0.14073	-0.16182	-0.17402	-0.17590	-0.17364	-0.16967	-0.16217	-0.15224	-0.15201	-0.15169	-0.14708	-0.13523	-0.12142	-0.10487	-0.09164	-0.07740	-0.06537	-0.06003	-0.06425	
       4	  -7.002	     NaN	     NaN	     NaN	0.108669	 -0.2505	     NaN	     NaN	   78.53	   0.000	9.878E+5	   0.084	  507.21	   29.09	   216.9	 1023.27	   24.26	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99326	 0.98134	 0.96490	 0.93772	 0.89992	 0.87574	 0.85011	 0.83026	 0.80023	 0.77122	 0.73759	 0.71138	 0.68883	 0.67510	 0.66658	 0.65638	 0.64529	 0.63971	 0.62849	 0.62106	 0.61637	 0.60832	 0.60369	 0.60182	 0.59701	 0.59469	 0.59311	 0.59352	 0.59404	 0.59731	 0.60005	 0.60372	 0.60992	 0.61605	 0.62291	 0.63174	 0.63746	 0.64823	 0.65824	 0.66799	 0.67846	 0.69070	 0.69844	 0.71139	 0.72273	 0.74952	 0.77056	 0.79466	 0.81960	 0.84489	 0.86286	 0.88845	 0.90883	 0.93762	 0.95920	 0.97342	 0.98500	 0.99242	 1.00000	 1.00000	 1.00000	 1.00000	-0.02394	-0.01761	-0.02626	-0.06102	-0.08677	-0.10299	-0.11108	-0.10848	-0.10521	-0.09857	-0.08589	-0.07552	-0.05463	-0.03838	-0.03827	-0.05247	-0.02821	-0.01728	-0.02843	-0.02952	-0.03062	-0.03564	-0.04247	-0.04551	-0.05082	-0.06967	-0.06368	-0.06284	-0.06033	-0.06185	-0.07054	-0.07159	-0.07275	-0.07351	-0.07243	-0.07054	-0.06773	-0.09352	-0.12918	-0.11402	-0.12095	-0.13085	-0.15078	-0.16242	-0.16424	-0.16234	-0.15886	-0.15198	-0.14264	-0.14301	-0.14323	-0.13946	-0.12848	-0.11584	-0.10041	-0.08827	-0.07505	-0.06390	-0.05934	-0.06410	
       5	  -5.998	     NaN	     NaN	     NaN	0.098047	 -0.2322	     NaN	     NaN	   81.49	   0.000	9.906E+5	   0.084	  510.07	   29.17	   218.1	 1023.26	   24.26	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98895	 0.97578	 0.95159	 0.91708	 0.89398	 0.86905	 0.84794	 0.81937	 0.79133	 0.75933	 0.73344	 0.71108	 0.69756	 0.68951	 0.67965	 0.66849	 0.66371	 0.65388	 0.64596	 0.64064	 0.63385	 0.62939	 0.62729	 0.62224	 0.62115	 0.62104	 0.62295	 0.62455	 0.62829	 0.63089	 0.63458	 0.64044	 0.64615	 0.65283	 0.66095	 0.66716	 0.67685	 0.68544	 0.69474	 0.70524	 0.71768	 0.72461	 0.73644	 0.74684	 0.77207	 0.79240	 0.81625	 0.84019	 0.86335	 0.87879	 0.90267	 0.92106	 0.94733	 0.96730	 0.98034	 0.98987	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02073	-0.01487	-0.02107	-0.04757	-0.07081	-0.08745	-0.09670	-0.09469	-0.09205	-0.08675	-0.07509	-0.06708	-0.04837	-0.03608	-0.03556	-0.04880	-0.02813	-0.01744	-0.02842	-0.02931	-0.03019	-0.03483	-0.04116	-0.04374	-0.04857	-0.06673	-0.06028	-0.05913	-0.05607	-0.05711	-0.06505	-0.06558	-0.06628	-0.06671	-0.06546	-0.06384	-0.06160	-0.08814	-0.12211	-0.10551	-0.11092	-0.11977	-0.13852	-0.14947	-0.15128	-0.14965	-0.14665	-0.14036	-0.13176	-0.13259	-0.13339	-0.13035	-0.12030	-0.10869	-0.09438	-0.08334	-0.07116	-0.06104	-0.05714	-0.06242	
       6	  -4.997	     NaN	     NaN	     NaN	0.085840	 -0.2095	     NaN	     NaN	   78.65	   0.000	9.935E+5	   0.085	  513.03	   29.26	   219.4	 1023.28	   24.26	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99421	 0.98529	 0.96388	 0.93187	 0.91091	 0.88795	 0.86858	 0.84138	 0.81387	 0.78169	 0.75571	 0.73152	 0.71892	 0.71167	 0.70153	 0.69040	 0.68584	 0.67637	 0.66940	 0.66468	 0.65832	 0.65429	 0.65367	 0.65054	 0.65049	 0.65211	 0.65389	 0.65576	 0.66074	 0.66442	 0.66935	 0.67584	 0.68275	 0.68937	 0.69774	 0.70406	 0.71444	 0.72398	 0.73426	 0.74513	 0.75771	 0.76572	 0.77776	 0.78889	 0.81202	 0.83111	 0.85258	 0.87427	 0.89473	 0.90915	 0.92920	 0.94402	 0.96325	 0.97728	 0.98596	 0.99349	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01910	-0.01360	-0.01827	-0.03857	-0.05804	-0.07277	-0.08298	-0.08386	-0.08264	-0.07728	-0.06646	-0.05977	-0.04316	-0.03323	-0.03337	-0.04617	-0.02944	-0.01876	-0.02974	-0.03058	-0.03142	-0.03573	-0.04173	-0.04386	-0.04822	-0.06587	-0.05900	-0.05747	-0.05405	-0.05465	-0.06198	-0.06199	-0.06226	-0.06239	-0.06111	-0.05973	-0.05782	-0.08440	-0.11681	-0.09843	-0.10225	-0.10966	-0.12739	-0.13757	-0.13921	-0.13785	-0.13522	-0.12943	-0.12142	-0.12266	-0.12398	-0.12174	-0.11264	-0.10209	-0.08897	-0.07907	-0.06796	-0.05878	-0.05581	-0.06168	
       7	  -4.003	     NaN	     NaN	     NaN	0.075468	 -0.1788	     NaN	     NaN	   81.05	   0.000	9.958E+5	   0.085	  515.51	   29.33	   220.5	 1023.27	   24.27	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99259	 0.97540	 0.94793	 0.92877	 0.90758	 0.88978	 0.86317	 0.83689	 0.80497	 0.77858	 0.75325	 0.74058	 0.73279	 0.72300	 0.71125	 0.70596	 0.69641	 0.68964	 0.68628	 0.68138	 0.67860	 0.67818	 0.67541	 0.67582	 0.67769	 0.67962	 0.68264	 0.68924	 0.69378	 0.69936	 0.70640	 0.71393	 0.72124	 0.73013	 0.73659	 0.74688	 0.75619	 0.76578	 0.77604	 0.78773	 0.79502	 0.80688	 0.81835	 0.84175	 0.85974	 0.87994	 0.89809	 0.91605	 0.92796	 0.94493	 0.95675	 0.97324	 0.98511	 0.99181	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01718	-0.01202	-0.01561	-0.03058	-0.04878	-0.06156	-0.07146	-0.07237	-0.07127	-0.06635	-0.05590	-0.05028	-0.03583	-0.02977	-0.03035	-0.04238	-0.03057	-0.02015	-0.03112	-0.03202	-0.03292	-0.03701	-0.04272	-0.04448	-0.04859	-0.06575	-0.05854	-0.05666	-0.05281	-0.05284	-0.05970	-0.05917	-0.05886	-0.05868	-0.05710	-0.05569	-0.05391	-0.08078	-0.10981	-0.08976	-0.09192	-0.09797	-0.11450	-0.12390	-0.12523	-0.12398	-0.12173	-0.11655	-0.10919	-0.11075	-0.11264	-0.11105	-0.10305	-0.09357	-0.08171	-0.07307	-0.06327	-0.05528	-0.05325	-0.05996	
       8	  -3.002	     NaN	     NaN	     NaN	0.066501	 -0.1339	     NaN	     NaN	   78.57	   0.000	9.983E+5	   0.085	  518.03	   29.40	   221.5	 1023.25	   24.27	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98775	 0.96659	 0.94976	 0.92875	 0.91191	 0.88640	 0.86146	 0.82932	 0.80379	 0.78047	 0.76774	 0.75961	 0.75061	 0.73885	 0.73458	 0.72507	 0.71916	 0.71538	 0.71005	 0.70675	 0.70633	 0.70275	 0.70337	 0.70497	 0.70751	 0.70996	 0.71487	 0.71844	 0.72367	 0.73010	 0.73708	 0.74427	 0.75344	 0.76028	 0.77050	 0.77985	 0.78910	 0.79942	 0.81112	 0.81890	 0.82969	 0.83969	 0.86106	 0.87808	 0.89604	 0.91243	 0.92963	 0.93982	 0.95487	 0.96608	 0.97980	 0.98856	 0.99384	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01702	-0.01198	-0.01504	-0.02523	-0.04068	-0.05288	-0.06286	-0.06399	-0.06376	-0.05862	-0.04991	-0.04526	-0.03212	-0.02745	-0.02774	-0.03892	-0.03307	-0.02316	-0.03447	-0.03562	-0.03677	-0.04096	-0.04655	-0.04803	-0.05195	-0.06883	-0.06121	-0.05902	-0.05485	-0.05450	-0.06078	-0.05975	-0.05889	-0.05815	-0.05635	-0.05467	-0.05278	-0.07916	-0.10333	-0.08102	-0.08123	-0.08555	-0.10056	-0.10882	-0.10972	-0.10845	-0.10655	-0.10186	-0.09510	-0.09712	-0.09961	-0.09887	-0.09188	-0.08376	-0.07335	-0.06620	-0.05799	-0.05138	-0.05057	-0.05834	
       9	  -1.998	     NaN	     NaN	     NaN	0.058787	 -0.0583	     NaN	     NaN	   81.26	   0.000	1.001E+6	   0.085	  520.50	   29.47	   222.6	 1023.26	   24.28	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98878	 0.97777	 0.96229	 0.94871	 0.92493	 0.89912	 0.86573	 0.83753	 0.81152	 0.79746	 0.78836	 0.77798	 0.76542	 0.75954	 0.74849	 0.74026	 0.73502	 0.72817	 0.72388	 0.72254	 0.71881	 0.71953	 0.71971	 0.72129	 0.72377	 0.72866	 0.73187	 0.73614	 0.74289	 0.74976	 0.75678	 0.76522	 0.77262	 0.78239	 0.79277	 0.80198	 0.81202	 0.82372	 0.83115	 0.84166	 0.85156	 0.87275	 0.88827	 0.90463	 0.92150	 0.93665	 0.94701	 0.96140	 0.97132	 0.98419	 0.99180	 0.99533	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01729	-0.01223	-0.01473	-0.01980	-0.03179	-0.04264	-0.05344	-0.05503	-0.05523	-0.05021	-0.04142	-0.03714	-0.02563	-0.02284	-0.02299	-0.03321	-0.03624	-0.02732	-0.03948	-0.04155	-0.04362	-0.04836	-0.05419	-0.05576	-0.05984	-0.07666	-0.06886	-0.06639	-0.06186	-0.06106	-0.06681	-0.06524	-0.06336	-0.06172	-0.05915	-0.05629	-0.05364	-0.07892	-0.09437	-0.06922	-0.06675	-0.06880	-0.08172	-0.08846	-0.08833	-0.08692	-0.08520	-0.08100	-0.07518	-0.07734	-0.08041	-0.08058	-0.07494	-0.06836	-0.05973	-0.05456	-0.04840	-0.04388	-0.04489	-0.05425	
