   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
      51	  -9.997	     NaN	     NaN	     NaN	0.148062	 -0.2998	     NaN	     NaN	   81.70	   0.000	9.928E+5	   0.084	  510.84	   29.16	   218.5	 1025.19	   24.14	 1.00000	 1.00000	 1.00000	 1.00000	 0.98377	 0.97023	 0.95022	 0.92346	 0.88613	 0.84569	 0.81784	 0.79083	 0.77443	 0.74238	 0.71637	 0.68488	 0.65929	 0.63334	 0.61565	 0.60865	 0.59866	 0.58212	 0.58202	 0.56493	 0.55965	 0.55355	 0.54281	 0.53784	 0.53783	 0.53007	 0.52895	 0.52628	 0.52486	 0.52291	 0.52475	 0.52669	 0.53023	 0.53250	 0.53581	 0.54264	 0.55061	 0.55293	 0.55944	 0.56554	 0.57475	 0.58242	 0.59436	 0.59878	 0.61075	 0.61923	 0.64475	 0.66433	 0.68861	 0.71810	 0.74657	 0.76848	 0.80016	 0.82505	 0.86825	 0.90922	 0.93722	 0.96136	 0.97718	 0.99146	 1.00000	 1.00000	 1.00000	-0.03295	-0.02855	-0.05124	-0.10719	-0.13998	-0.15975	-0.16900	-0.16183	-0.15436	-0.14084	-0.12288	-0.10891	-0.08251	-0.05246	-0.04541	-0.06112	-0.02618	-0.01663	-0.02897	-0.03083	-0.03268	-0.03898	-0.04968	-0.05314	-0.06054	-0.07525	-0.07151	-0.07365	-0.07377	-0.07704	-0.08927	-0.09148	-0.09464	-0.09595	-0.09619	-0.09268	-0.08777	-0.11236	-0.14850	-0.13972	-0.15123	-0.16430	-0.18865	-0.20125	-0.20373	-0.20122	-0.19685	-0.18747	-0.17578	-0.17492	-0.17242	-0.16507	-0.15306	-0.13695	-0.11794	-0.10229	-0.08551	-0.07159	-0.06544	-0.06769	
      52	  -9.000	     NaN	     NaN	     NaN	0.131971	 -0.2789	     NaN	     NaN	   78.17	   0.000	9.963E+5	   0.085	  514.52	   29.27	   220.0	 1025.18	   24.15	 1.00000	 1.00000	 1.00000	 1.00000	 0.99271	 0.98377	 0.96786	 0.94582	 0.91048	 0.87391	 0.85070	 0.82381	 0.80686	 0.77318	 0.74677	 0.71247	 0.68640	 0.66106	 0.64324	 0.63639	 0.62677	 0.61008	 0.60932	 0.59358	 0.58792	 0.58195	 0.57125	 0.56653	 0.56688	 0.55857	 0.55595	 0.55356	 0.55211	 0.54987	 0.55162	 0.55271	 0.55639	 0.55874	 0.56158	 0.56669	 0.57491	 0.57837	 0.58554	 0.59330	 0.60306	 0.61289	 0.62767	 0.63376	 0.64609	 0.65597	 0.68165	 0.70122	 0.72410	 0.74973	 0.77744	 0.79878	 0.83081	 0.85401	 0.89173	 0.92702	 0.95153	 0.97015	 0.98251	 0.99278	 1.00000	 1.00000	 1.00000	-0.02797	-0.02260	-0.03758	-0.08420	-0.11539	-0.13559	-0.14602	-0.13816	-0.13202	-0.12231	-0.10832	-0.09649	-0.07339	-0.04684	-0.04106	-0.05622	-0.02573	-0.01627	-0.02850	-0.03012	-0.03175	-0.03784	-0.04799	-0.05081	-0.05772	-0.07178	-0.06766	-0.06927	-0.06881	-0.07141	-0.08284	-0.08426	-0.08673	-0.08766	-0.08774	-0.08445	-0.08031	-0.10548	-0.14045	-0.12980	-0.13941	-0.15096	-0.17418	-0.18612	-0.18857	-0.18653	-0.18271	-0.17384	-0.16296	-0.16264	-0.16081	-0.15440	-0.14338	-0.12835	-0.11066	-0.09618	-0.08059	-0.06781	-0.06237	-0.06522	
      53	  -7.999	     NaN	     NaN	     NaN	0.117693	 -0.2643	     NaN	     NaN	   81.73	   0.000	9.992E+5	   0.085	  517.60	   29.36	   221.3	 1025.18	   24.16	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99467	 0.98356	 0.96859	 0.93758	 0.90197	 0.87806	 0.85282	 0.83547	 0.80099	 0.77302	 0.73587	 0.70786	 0.68433	 0.66827	 0.66092	 0.65113	 0.63363	 0.63205	 0.61569	 0.60906	 0.60327	 0.59353	 0.58842	 0.58768	 0.57971	 0.57898	 0.57590	 0.57467	 0.57150	 0.57403	 0.57528	 0.57877	 0.58083	 0.58413	 0.58919	 0.59786	 0.60169	 0.60951	 0.61779	 0.62840	 0.63708	 0.65083	 0.65663	 0.66889	 0.67976	 0.70854	 0.72880	 0.75272	 0.77929	 0.80755	 0.82821	 0.85778	 0.88033	 0.91643	 0.94659	 0.96533	 0.97974	 0.98909	 1.00000	 1.00000	 1.00000	 1.00000	-0.02375	-0.01852	-0.02877	-0.06715	-0.09673	-0.11518	-0.12662	-0.12102	-0.11587	-0.10875	-0.09632	-0.08583	-0.06210	-0.04039	-0.03750	-0.05238	-0.02547	-0.01605	-0.02815	-0.02947	-0.03079	-0.03629	-0.04597	-0.04817	-0.05452	-0.06789	-0.06324	-0.06439	-0.06343	-0.06532	-0.07605	-0.07676	-0.07865	-0.07912	-0.07912	-0.07616	-0.07252	-0.09871	-0.13303	-0.12067	-0.12875	-0.13917	-0.16136	-0.17274	-0.17525	-0.17358	-0.17035	-0.16226	-0.15211	-0.15223	-0.15098	-0.14538	-0.13532	-0.12146	-0.10487	-0.09150	-0.07702	-0.06506	-0.06044	-0.06386	
      54	  -7.002	     NaN	     NaN	     NaN	0.107924	 -0.2493	     NaN	     NaN	   78.22	   0.000	1.002E+6	   0.085	  520.42	   29.44	   222.6	 1025.20	   24.17	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98761	 0.97443	 0.94788	 0.91460	 0.89133	 0.86521	 0.84986	 0.81725	 0.79106	 0.75826	 0.73183	 0.70805	 0.69262	 0.68595	 0.67582	 0.65767	 0.65739	 0.64265	 0.63579	 0.63021	 0.62016	 0.61470	 0.61494	 0.60642	 0.60495	 0.60262	 0.60182	 0.60049	 0.60244	 0.60318	 0.60670	 0.60910	 0.61387	 0.61962	 0.62858	 0.63425	 0.64230	 0.65000	 0.65816	 0.66707	 0.68058	 0.68679	 0.69865	 0.70910	 0.73463	 0.75469	 0.77665	 0.80148	 0.82767	 0.84633	 0.87236	 0.89244	 0.92139	 0.94823	 0.96502	 0.98081	 0.99099	 1.00000	 1.00000	 1.00000	 1.00000	-0.02073	-0.01587	-0.02233	-0.05268	-0.07995	-0.09706	-0.10986	-0.10649	-0.10424	-0.09663	-0.08524	-0.07514	-0.05504	-0.03840	-0.03571	-0.04952	-0.02557	-0.01603	-0.02794	-0.02891	-0.02988	-0.03508	-0.04414	-0.04577	-0.05158	-0.06433	-0.05919	-0.05992	-0.05842	-0.05981	-0.06985	-0.07001	-0.07137	-0.07172	-0.07170	-0.06942	-0.06647	-0.09323	-0.12647	-0.11263	-0.11918	-0.12839	-0.14933	-0.16022	-0.16268	-0.16142	-0.15863	-0.15115	-0.14174	-0.14226	-0.14165	-0.13684	-0.12774	-0.11484	-0.09941	-0.08716	-0.07365	-0.06249	-0.05858	-0.06263	
      55	  -5.998	     NaN	     NaN	     NaN	0.098169	 -0.2309	     NaN	     NaN	   81.86	   0.000	1.005E+6	   0.085	  523.40	   29.52	   223.8	 1025.21	   24.20	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99181	 0.98097	 0.95656	 0.92862	 0.90833	 0.88179	 0.86693	 0.83499	 0.80994	 0.77754	 0.75103	 0.72680	 0.71120	 0.70414	 0.69372	 0.67580	 0.67515	 0.66024	 0.65490	 0.65017	 0.64154	 0.63724	 0.63769	 0.62933	 0.62820	 0.62581	 0.62551	 0.62414	 0.62718	 0.62825	 0.63314	 0.63489	 0.63945	 0.64440	 0.65304	 0.65758	 0.66431	 0.67307	 0.68312	 0.69241	 0.70659	 0.71168	 0.72284	 0.73317	 0.75955	 0.77881	 0.80215	 0.82616	 0.84890	 0.86720	 0.89141	 0.90908	 0.93661	 0.96010	 0.97546	 0.98650	 0.99397	 1.00000	 1.00000	 1.00000	 1.00000	-0.01867	-0.01435	-0.01948	-0.04258	-0.06556	-0.08192	-0.09466	-0.09300	-0.09137	-0.08508	-0.07538	-0.06678	-0.04845	-0.03552	-0.03406	-0.04739	-0.02679	-0.01733	-0.02925	-0.03004	-0.03082	-0.03560	-0.04412	-0.04534	-0.05062	-0.06281	-0.05715	-0.05747	-0.05556	-0.05632	-0.06573	-0.06521	-0.06619	-0.06615	-0.06595	-0.06395	-0.06137	-0.08879	-0.12080	-0.10524	-0.11030	-0.11831	-0.13828	-0.14852	-0.15096	-0.14996	-0.14771	-0.14086	-0.13212	-0.13308	-0.13302	-0.12897	-0.12075	-0.10899	-0.09468	-0.08344	-0.07096	-0.06084	-0.05762	-0.06218	
      56	  -4.993	     NaN	     NaN	     NaN	0.086683	 -0.2082	     NaN	     NaN	   78.20	   0.000	9.826E+5	   0.084	  500.70	   28.87	   214.1	 1025.19	   24.20	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98925	 0.96807	 0.94135	 0.92135	 0.89825	 0.88462	 0.85346	 0.82827	 0.79567	 0.76852	 0.74440	 0.72939	 0.72261	 0.71281	 0.69429	 0.69424	 0.67949	 0.67337	 0.66911	 0.66092	 0.65710	 0.65877	 0.65214	 0.65224	 0.65178	 0.65213	 0.65111	 0.65661	 0.65869	 0.66380	 0.66717	 0.67369	 0.67932	 0.68892	 0.69455	 0.70216	 0.71092	 0.72054	 0.73039	 0.74464	 0.75115	 0.76171	 0.77210	 0.79846	 0.81702	 0.83774	 0.85843	 0.87934	 0.89373	 0.91499	 0.93044	 0.95401	 0.97167	 0.98246	 0.99101	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01602	-0.01210	-0.01608	-0.03456	-0.05426	-0.06858	-0.08234	-0.08160	-0.08144	-0.07631	-0.06827	-0.06072	-0.04360	-0.03148	-0.03093	-0.04377	-0.02711	-0.01791	-0.02962	-0.03037	-0.03111	-0.03558	-0.04385	-0.04449	-0.04930	-0.06090	-0.05489	-0.05486	-0.05260	-0.05295	-0.06174	-0.06069	-0.06127	-0.06090	-0.06064	-0.05894	-0.05697	-0.08459	-0.11449	-0.09732	-0.10076	-0.10754	-0.12621	-0.13574	-0.13801	-0.13728	-0.13533	-0.12903	-0.12096	-0.12234	-0.12279	-0.11945	-0.11225	-0.10150	-0.08831	-0.07828	-0.06693	-0.05775	-0.05539	-0.06043	
      57	  -4.004	     NaN	     NaN	     NaN	0.076059	 -0.1776	     NaN	     NaN	   81.79	   0.000	9.854E+5	   0.084	  503.58	   28.96	   215.4	 1025.19	   24.22	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98067	 0.96087	 0.94349	 0.92191	 0.91045	 0.88113	 0.85787	 0.82750	 0.80153	 0.77667	 0.76064	 0.75356	 0.74292	 0.72469	 0.72503	 0.70951	 0.70317	 0.69811	 0.68940	 0.68496	 0.68603	 0.67818	 0.67842	 0.67778	 0.67867	 0.67797	 0.68183	 0.68291	 0.68832	 0.69167	 0.69824	 0.70303	 0.71193	 0.71805	 0.72649	 0.73531	 0.74518	 0.75528	 0.76983	 0.77577	 0.78657	 0.79725	 0.82171	 0.83907	 0.85848	 0.87866	 0.89949	 0.91453	 0.93289	 0.94537	 0.96473	 0.97949	 0.98788	 0.99507	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01506	-0.01148	-0.01490	-0.02812	-0.04564	-0.05721	-0.07034	-0.07110	-0.07158	-0.06624	-0.05727	-0.05150	-0.03687	-0.02949	-0.02895	-0.04108	-0.02934	-0.02033	-0.03213	-0.03293	-0.03373	-0.03806	-0.04602	-0.04630	-0.05080	-0.06206	-0.05556	-0.05525	-0.05254	-0.05238	-0.06058	-0.05898	-0.05906	-0.05826	-0.05783	-0.05599	-0.05395	-0.08171	-0.10860	-0.08967	-0.09158	-0.09682	-0.11443	-0.12310	-0.12521	-0.12452	-0.12298	-0.11712	-0.10972	-0.11151	-0.11253	-0.10996	-0.10374	-0.09415	-0.08220	-0.07344	-0.06339	-0.05533	-0.05395	-0.05991	
      58	  -3.002	     NaN	     NaN	     NaN	0.067735	 -0.1317	     NaN	     NaN	   78.23	   0.000	9.878E+5	   0.084	  506.06	   29.03	   216.4	 1025.20	   24.23	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99091	 0.97591	 0.96201	 0.94238	 0.93186	 0.90282	 0.87904	 0.84801	 0.82109	 0.79622	 0.78124	 0.77376	 0.76429	 0.74577	 0.74506	 0.72978	 0.72358	 0.71883	 0.71054	 0.70672	 0.70776	 0.69998	 0.69967	 0.69836	 0.69842	 0.69769	 0.70305	 0.70452	 0.70971	 0.71332	 0.72115	 0.72680	 0.73533	 0.74086	 0.74926	 0.75903	 0.76872	 0.77922	 0.79347	 0.80011	 0.81034	 0.81959	 0.84244	 0.85876	 0.87736	 0.89688	 0.91504	 0.92845	 0.94625	 0.95749	 0.97410	 0.98598	 0.99097	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01462	-0.01125	-0.01427	-0.02309	-0.03771	-0.04825	-0.06095	-0.06212	-0.06323	-0.05818	-0.05073	-0.04559	-0.03249	-0.02678	-0.02613	-0.03741	-0.03156	-0.02312	-0.03530	-0.03636	-0.03743	-0.04174	-0.04957	-0.04966	-0.05384	-0.06497	-0.05822	-0.05751	-0.05443	-0.05385	-0.06137	-0.05948	-0.05890	-0.05771	-0.05693	-0.05491	-0.05278	-0.07995	-0.10175	-0.08069	-0.08053	-0.08415	-0.10003	-0.10759	-0.10917	-0.10853	-0.10725	-0.10199	-0.09517	-0.09735	-0.09895	-0.09730	-0.09219	-0.08385	-0.07336	-0.06612	-0.05759	-0.05108	-0.05099	-0.05805	
      59	  -1.994	     NaN	     NaN	     NaN	0.058822	 -0.0558	     NaN	     NaN	   81.60	   0.000	9.902E+5	   0.084	  508.63	   29.10	   217.5	 1025.20	   24.24	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98590	 0.95460	 0.91170	 0.88493	 0.85501	 0.83870	 0.80608	 0.78225	 0.75683	 0.74011	 0.73034	 0.72307	 0.72437	 0.72282	 0.71281	 0.72190	 0.71750	 0.72162	 0.72630	 0.72763	 0.73325	 0.74299	 0.74424	 0.75267	 0.76093	 0.77024	 0.77736	 0.79037	 0.79681	 0.80801	 0.81653	 0.82783	 0.83778	 0.85065	 0.85879	 0.86767	 0.87811	 0.88752	 0.89705	 0.91001	 0.91445	 0.92256	 0.92955	 0.94468	 0.95343	 0.96194	 0.97159	 0.97863	 0.98333	 0.98933	 0.99164	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01329	-0.01002	-0.01362	-0.02848	-0.04383	-0.04913	-0.05529	-0.05256	-0.05034	-0.04033	-0.03216	-0.03028	-0.02193	-0.02245	-0.02237	-0.03287	-0.03416	-0.02661	-0.03966	-0.04167	-0.04368	-0.04856	-0.05650	-0.05678	-0.06122	-0.07242	-0.06530	-0.06437	-0.06085	-0.05990	-0.06692	-0.06440	-0.06288	-0.06070	-0.05913	-0.05584	-0.05293	-0.07875	-0.09242	-0.06828	-0.06520	-0.06650	-0.08038	-0.08643	-0.08705	-0.08624	-0.08514	-0.08038	-0.07450	-0.07691	-0.07912	-0.07839	-0.07455	-0.06783	-0.05917	-0.05389	-0.04744	-0.04289	-0.04474	-0.05329	
