   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	  -9.997	     NaN	     NaN	     NaN	0.146035	 -0.2963	     NaN	     NaN	   78.68	   0.000	9.805E+5	   0.083	  496.06	   28.71	   212.2	 1025.45	   23.64	 1.00000	 1.00000	 1.00000	 1.00000	 0.98749	 0.97474	 0.95601	 0.93138	 0.89586	 0.85469	 0.82653	 0.79974	 0.77658	 0.74574	 0.71769	 0.68393	 0.65557	 0.62950	 0.61434	 0.60658	 0.59747	 0.58607	 0.58090	 0.56642	 0.56145	 0.55488	 0.54679	 0.54316	 0.54015	 0.53512	 0.53258	 0.52973	 0.52867	 0.52845	 0.52895	 0.53199	 0.53461	 0.53693	 0.53901	 0.54522	 0.55256	 0.55620	 0.56319	 0.56928	 0.57809	 0.58653	 0.59793	 0.60485	 0.61699	 0.62616	 0.65164	 0.67287	 0.69642	 0.72351	 0.74906	 0.77031	 0.80222	 0.82627	 0.86832	 0.90822	 0.93567	 0.95767	 0.97363	 0.99109	 1.00000	 1.00000	 1.00000	-0.03299	-0.02694	-0.04972	-0.10319	-0.13580	-0.15714	-0.16481	-0.15644	-0.14876	-0.13908	-0.12264	-0.10983	-0.08334	-0.05252	-0.04437	-0.05941	-0.02481	-0.01435	-0.02920	-0.03024	-0.03128	-0.03645	-0.04480	-0.04757	-0.05255	-0.08127	-0.07409	-0.07432	-0.07327	-0.07648	-0.08821	-0.09063	-0.09363	-0.09549	-0.09514	-0.09195	-0.08713	-0.11105	-0.14775	-0.13794	-0.14990	-0.16323	-0.18625	-0.19927	-0.20107	-0.19839	-0.19410	-0.18488	-0.17362	-0.17254	-0.17010	-0.16306	-0.15024	-0.13399	-0.11553	-0.09990	-0.08324	-0.06949	-0.06345	-0.06573	
       2	  -9.000	     NaN	     NaN	     NaN	0.134817	 -0.2809	     NaN	     NaN	   81.11	   0.000	9.834E+5	   0.083	  498.95	   28.79	   213.4	 1025.46	   23.65	 1.00000	 1.00000	 1.00000	 1.00000	 0.99253	 0.98318	 0.96737	 0.94389	 0.91112	 0.86978	 0.84508	 0.82077	 0.80035	 0.77232	 0.74463	 0.71195	 0.68456	 0.65629	 0.64019	 0.63039	 0.62013	 0.60726	 0.60258	 0.58793	 0.58178	 0.57437	 0.56496	 0.55972	 0.55687	 0.55173	 0.54852	 0.54576	 0.54447	 0.54287	 0.54368	 0.54683	 0.54978	 0.55282	 0.55578	 0.56131	 0.56863	 0.57249	 0.58080	 0.58684	 0.59481	 0.60247	 0.61361	 0.62091	 0.63250	 0.64240	 0.66734	 0.68873	 0.71250	 0.73993	 0.76790	 0.79032	 0.82213	 0.84649	 0.88705	 0.92201	 0.94810	 0.96917	 0.98190	 0.99381	 1.00000	 1.00000	 1.00000	-0.02985	-0.02324	-0.03803	-0.08537	-0.11634	-0.13606	-0.14519	-0.13843	-0.13256	-0.12361	-0.11074	-0.09839	-0.07346	-0.04602	-0.04209	-0.05724	-0.02611	-0.01565	-0.03029	-0.03106	-0.03182	-0.03645	-0.04433	-0.04640	-0.05089	-0.07876	-0.07120	-0.07085	-0.06921	-0.07173	-0.08269	-0.08430	-0.08668	-0.08813	-0.08770	-0.08468	-0.08052	-0.10554	-0.14145	-0.12998	-0.14021	-0.15227	-0.17436	-0.18683	-0.18872	-0.18657	-0.18283	-0.17429	-0.16379	-0.16319	-0.16144	-0.15521	-0.14342	-0.12829	-0.11099	-0.09649	-0.08093	-0.06812	-0.06277	-0.06564	
       3	  -7.996	     NaN	     NaN	     NaN	0.121404	 -0.2659	     NaN	     NaN	   78.79	   0.000	9.859E+5	   0.084	  501.68	   28.87	   214.6	 1025.47	   23.68	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99011	 0.97754	 0.95674	 0.92733	 0.89027	 0.86715	 0.84286	 0.82366	 0.79422	 0.76708	 0.73545	 0.70890	 0.68345	 0.66798	 0.65882	 0.64793	 0.63417	 0.62882	 0.61523	 0.60804	 0.60143	 0.59349	 0.58843	 0.58504	 0.57901	 0.57572	 0.57228	 0.57199	 0.57034	 0.57161	 0.57374	 0.57748	 0.58049	 0.58430	 0.59007	 0.59698	 0.60079	 0.60905	 0.61641	 0.62523	 0.63384	 0.64616	 0.65371	 0.66542	 0.67577	 0.70104	 0.72216	 0.74644	 0.77299	 0.79976	 0.82105	 0.85014	 0.87134	 0.90627	 0.93534	 0.95612	 0.97377	 0.98554	 0.99408	 1.00000	 1.00000	 1.00000	-0.02611	-0.01982	-0.02949	-0.06867	-0.09730	-0.11727	-0.12674	-0.12162	-0.11651	-0.10820	-0.09589	-0.08576	-0.06290	-0.04206	-0.03952	-0.05397	-0.02597	-0.01560	-0.02995	-0.03044	-0.03092	-0.03522	-0.04243	-0.04398	-0.04793	-0.07505	-0.06698	-0.06618	-0.06405	-0.06586	-0.07619	-0.07700	-0.07890	-0.08005	-0.07958	-0.07704	-0.07379	-0.09933	-0.13453	-0.12143	-0.12999	-0.14066	-0.16169	-0.17367	-0.17560	-0.17379	-0.17058	-0.16278	-0.15298	-0.15292	-0.15174	-0.14638	-0.13556	-0.12156	-0.10539	-0.09193	-0.07749	-0.06555	-0.06094	-0.06437	
       4	  -7.002	     NaN	     NaN	     NaN	0.108193	 -0.2497	     NaN	     NaN	   81.25	   0.000	9.887E+5	   0.084	  504.59	   28.96	   215.8	 1025.47	   23.70	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98791	 0.97260	 0.94613	 0.91322	 0.89109	 0.86726	 0.84558	 0.81652	 0.78934	 0.75848	 0.73140	 0.70630	 0.69197	 0.68334	 0.67233	 0.65922	 0.65441	 0.64084	 0.63335	 0.62625	 0.61743	 0.61263	 0.61007	 0.60601	 0.60328	 0.60035	 0.60009	 0.59898	 0.60092	 0.60213	 0.60603	 0.60863	 0.61284	 0.61885	 0.62641	 0.63070	 0.63901	 0.64744	 0.65720	 0.66707	 0.67911	 0.68674	 0.69818	 0.70959	 0.73504	 0.75542	 0.77898	 0.80371	 0.82737	 0.84627	 0.87287	 0.89316	 0.92372	 0.94986	 0.96855	 0.98193	 0.99015	 1.00000	 1.00000	 1.00000	 1.00000	-0.02204	-0.01620	-0.02334	-0.05442	-0.08034	-0.09827	-0.10946	-0.10835	-0.10469	-0.09859	-0.08764	-0.07791	-0.05763	-0.03903	-0.03682	-0.05017	-0.02581	-0.01544	-0.02960	-0.02980	-0.03000	-0.03396	-0.04062	-0.04159	-0.04505	-0.07153	-0.06296	-0.06167	-0.05903	-0.06033	-0.06988	-0.07007	-0.07141	-0.07216	-0.07153	-0.06943	-0.06651	-0.09292	-0.12720	-0.11241	-0.11951	-0.12918	-0.14908	-0.16050	-0.16240	-0.16101	-0.15825	-0.15104	-0.14192	-0.14242	-0.14181	-0.13722	-0.12737	-0.11444	-0.09942	-0.08710	-0.07362	-0.06255	-0.05879	-0.06272	
       5	  -5.998	     NaN	     NaN	     NaN	0.097942	 -0.2314	     NaN	     NaN	   79.02	   0.000	9.911E+5	   0.084	  507.12	   29.03	   216.9	 1025.48	   23.71	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99137	 0.97941	 0.95550	 0.92403	 0.90270	 0.87974	 0.86137	 0.83439	 0.80716	 0.77472	 0.74926	 0.72520	 0.71139	 0.70264	 0.69312	 0.67925	 0.67373	 0.66201	 0.65555	 0.65014	 0.64212	 0.63760	 0.63520	 0.63058	 0.62870	 0.62656	 0.62729	 0.62697	 0.62914	 0.63098	 0.63503	 0.63900	 0.64486	 0.64990	 0.65850	 0.66462	 0.67263	 0.68001	 0.68892	 0.69811	 0.70987	 0.71759	 0.72778	 0.73780	 0.76254	 0.78150	 0.80406	 0.82721	 0.85146	 0.86882	 0.89399	 0.91160	 0.93997	 0.96180	 0.97556	 0.98577	 0.99279	 1.00000	 1.00000	 1.00000	 1.00000	-0.02036	-0.01491	-0.02005	-0.04413	-0.06697	-0.08333	-0.09515	-0.09407	-0.09263	-0.08775	-0.07773	-0.06902	-0.05038	-0.03606	-0.03532	-0.04809	-0.02694	-0.01673	-0.03084	-0.03078	-0.03071	-0.03431	-0.04051	-0.04096	-0.04401	-0.06967	-0.06072	-0.05905	-0.05597	-0.05675	-0.06572	-0.06534	-0.06622	-0.06678	-0.06610	-0.06439	-0.06210	-0.08888	-0.12187	-0.10549	-0.11093	-0.11927	-0.13816	-0.14892	-0.15065	-0.14956	-0.14735	-0.14069	-0.13234	-0.13322	-0.13317	-0.12931	-0.12045	-0.10855	-0.09462	-0.08343	-0.07099	-0.06089	-0.05780	-0.06228	
       6	  -4.993	     NaN	     NaN	     NaN	0.086967	 -0.2079	     NaN	     NaN	   81.46	   0.000	9.936E+5	   0.084	  509.73	   29.11	   218.0	 1025.48	   23.73	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98898	 0.97033	 0.94401	 0.92580	 0.90419	 0.88591	 0.85981	 0.83469	 0.80390	 0.77679	 0.74931	 0.73580	 0.72688	 0.71674	 0.70302	 0.69805	 0.68484	 0.67731	 0.67126	 0.66343	 0.65877	 0.65703	 0.65293	 0.65107	 0.64880	 0.64864	 0.64909	 0.65256	 0.65479	 0.65926	 0.66318	 0.66875	 0.67508	 0.68384	 0.68962	 0.69808	 0.70699	 0.71608	 0.72452	 0.73671	 0.74469	 0.75504	 0.76526	 0.78923	 0.80824	 0.82924	 0.85145	 0.87359	 0.88972	 0.91191	 0.92726	 0.95200	 0.97056	 0.98291	 0.99138	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01812	-0.01310	-0.01672	-0.03495	-0.05498	-0.06939	-0.08135	-0.08095	-0.08072	-0.07658	-0.06722	-0.05960	-0.04292	-0.03276	-0.03265	-0.04491	-0.02793	-0.01777	-0.03185	-0.03172	-0.03159	-0.03490	-0.04071	-0.04066	-0.04336	-0.06854	-0.05916	-0.05712	-0.05355	-0.05378	-0.06215	-0.06123	-0.06164	-0.06184	-0.06098	-0.05933	-0.05737	-0.08460	-0.11541	-0.09739	-0.10135	-0.10845	-0.12621	-0.13617	-0.13784	-0.13691	-0.13505	-0.12898	-0.12116	-0.12249	-0.12307	-0.11998	-0.11209	-0.10128	-0.08853	-0.07850	-0.06728	-0.05823	-0.05593	-0.06114	
       7	  -3.996	     NaN	     NaN	     NaN	0.075779	 -0.1773	     NaN	     NaN	   78.62	   0.000	9.961E+5	   0.084	  512.32	   29.18	   219.1	 1025.48	   23.74	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99519	 0.98005	 0.95711	 0.94020	 0.91958	 0.90350	 0.87787	 0.85201	 0.82064	 0.79403	 0.76925	 0.75533	 0.74652	 0.73637	 0.72313	 0.71836	 0.70659	 0.70013	 0.69558	 0.68902	 0.68565	 0.68551	 0.68149	 0.68035	 0.67902	 0.68018	 0.68006	 0.68386	 0.68627	 0.69132	 0.69561	 0.70209	 0.70863	 0.71703	 0.72317	 0.73191	 0.74089	 0.75107	 0.76007	 0.77238	 0.78018	 0.79025	 0.80026	 0.82366	 0.84155	 0.86241	 0.88228	 0.90220	 0.91710	 0.93701	 0.95077	 0.96986	 0.98287	 0.99031	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01616	-0.01136	-0.01443	-0.02786	-0.04558	-0.05817	-0.06976	-0.07097	-0.07103	-0.06604	-0.05771	-0.05082	-0.03586	-0.02903	-0.02929	-0.04104	-0.02879	-0.01882	-0.03307	-0.03301	-0.03294	-0.03604	-0.04158	-0.04119	-0.04361	-0.06835	-0.05860	-0.05621	-0.05223	-0.05207	-0.05987	-0.05846	-0.05837	-0.05819	-0.05714	-0.05568	-0.05385	-0.08091	-0.10880	-0.08899	-0.09118	-0.09684	-0.11333	-0.12260	-0.12401	-0.12319	-0.12163	-0.11614	-0.10898	-0.11060	-0.11173	-0.10940	-0.10251	-0.09278	-0.08124	-0.07243	-0.06246	-0.05449	-0.05324	-0.05921	
       8	  -3.002	     NaN	     NaN	     NaN	0.067008	 -0.1335	     NaN	     NaN	   81.23	   0.000	9.985E+5	   0.085	  514.91	   29.26	   220.2	 1025.49	   23.75	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99073	 0.97484	 0.96123	 0.94235	 0.92745	 0.90267	 0.87754	 0.84670	 0.81926	 0.79347	 0.78068	 0.77251	 0.76258	 0.74941	 0.74415	 0.73240	 0.72548	 0.72013	 0.71349	 0.70964	 0.70856	 0.70437	 0.70327	 0.70233	 0.70348	 0.70489	 0.70848	 0.71070	 0.71606	 0.72014	 0.72686	 0.73363	 0.74223	 0.74826	 0.75665	 0.76551	 0.77497	 0.78461	 0.79705	 0.80502	 0.81532	 0.82571	 0.84698	 0.86354	 0.88181	 0.89994	 0.91701	 0.92965	 0.94575	 0.95638	 0.97325	 0.98543	 0.99169	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01564	-0.01103	-0.01382	-0.02264	-0.03712	-0.04828	-0.06026	-0.06194	-0.06296	-0.05842	-0.05081	-0.04484	-0.03118	-0.02606	-0.02656	-0.03744	-0.03110	-0.02164	-0.03616	-0.03639	-0.03662	-0.03972	-0.04516	-0.04451	-0.04670	-0.07131	-0.06116	-0.05842	-0.05412	-0.05348	-0.06053	-0.05876	-0.05804	-0.05737	-0.05601	-0.05417	-0.05203	-0.07897	-0.10210	-0.08007	-0.08037	-0.08433	-0.09941	-0.10751	-0.10843	-0.10770	-0.10651	-0.10146	-0.09494	-0.09704	-0.09870	-0.09721	-0.09135	-0.08297	-0.07287	-0.06554	-0.05715	-0.05055	-0.05058	-0.05757	
       9	  -1.994	     NaN	     NaN	     NaN	0.059129	 -0.0567	     NaN	     NaN	   78.77	   0.000	1.001E+6	   0.085	  517.36	   29.33	   221.2	 1025.50	   23.76	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99207	 0.98392	 0.97112	 0.96006	 0.93865	 0.91589	 0.88544	 0.85780	 0.82976	 0.81471	 0.80398	 0.79195	 0.77592	 0.76968	 0.75630	 0.74793	 0.74159	 0.73417	 0.72986	 0.72715	 0.72267	 0.72116	 0.71986	 0.72060	 0.72123	 0.72560	 0.72824	 0.73341	 0.73771	 0.74367	 0.74894	 0.75825	 0.76390	 0.77219	 0.78062	 0.79038	 0.79932	 0.81137	 0.81856	 0.82789	 0.83738	 0.85833	 0.87422	 0.89132	 0.90890	 0.92495	 0.93674	 0.95255	 0.96287	 0.97755	 0.98757	 0.99295	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01674	-0.01199	-0.01433	-0.01889	-0.02970	-0.03968	-0.05201	-0.05412	-0.05535	-0.05076	-0.04352	-0.03886	-0.02662	-0.02270	-0.02255	-0.03246	-0.03515	-0.02664	-0.04212	-0.04322	-0.04432	-0.04803	-0.05366	-0.05306	-0.05555	-0.08026	-0.06962	-0.06667	-0.06200	-0.06100	-0.06767	-0.06521	-0.06358	-0.06191	-0.05989	-0.05693	-0.05422	-0.07963	-0.09400	-0.06910	-0.06668	-0.06837	-0.08127	-0.08782	-0.08776	-0.08677	-0.08575	-0.08113	-0.07559	-0.07779	-0.08011	-0.07958	-0.07502	-0.06819	-0.05990	-0.05459	-0.04828	-0.04378	-0.04553	-0.05412	
