   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	   9.994	     NaN	     NaN	     NaN	0.027331	  1.3309	     NaN	     NaN	   78.67	   0.000	9.916E+5	   0.084	  510.42	   29.18	   218.3	 1023.01	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99036	 0.97280	 0.95788	 0.94481	 0.92510	 0.90266	 0.88026	 0.85319	 0.82532	 0.79918	 0.77259	 0.74957	 0.72998	 0.71425	 0.70482	 0.69989	 0.70242	 0.71052	 0.72660	 0.74244	 0.76517	 0.78964	 0.82007	 0.84691	 0.87452	 0.89671	 0.92054	 0.94124	 0.95690	 0.97003	 0.97999	 0.98521	 0.99057	 0.99400	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05034	-0.03727	-0.03275	-0.02469	-0.02299	-0.01855	-0.02231	-0.01883	-0.01661	-0.00562	-0.00004	 0.00221	 0.01263	 0.01870	 0.02592	 0.02603	-0.11102	-0.12916	-0.17446	-0.20509	-0.23572	-0.26224	-0.28271	-0.29332	-0.31567	-0.34474	-0.32883	-0.32214	-0.31183	-0.30471	-0.30432	-0.28930	-0.26478	-0.23820	-0.21318	-0.18086	-0.14914	-0.14123	-0.01596	 0.04395	 0.07705	 0.10198	 0.11511	 0.13232	 0.14823	 0.15871	 0.16496	 0.17027	 0.17263	 0.17114	 0.16778	 0.16282	 0.15880	 0.15232	 0.14257	 0.12686	 0.10814	 0.08544	 0.05673	 0.02292	
       2	  11.005	     NaN	     NaN	     NaN	0.029922	  1.4110	     NaN	     NaN	   81.10	   0.000	9.902E+5	   0.084	  509.23	   29.15	   217.8	 1023.02	   24.13	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99031	 0.97628	 0.96425	 0.95370	 0.93767	 0.91894	 0.90044	 0.87646	 0.85145	 0.82709	 0.80063	 0.77686	 0.75470	 0.73446	 0.71861	 0.70547	 0.69879	 0.69666	 0.69959	 0.70668	 0.71967	 0.73683	 0.76016	 0.78288	 0.80946	 0.83243	 0.86003	 0.88659	 0.90913	 0.93076	 0.94866	 0.96108	 0.97279	 0.98190	 0.99287	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05354	-0.03997	-0.03498	-0.02633	-0.02451	-0.01975	-0.02378	-0.02170	-0.01962	-0.00976	-0.00079	 0.00207	 0.01272	 0.01921	 0.02682	 0.02724	-0.11613	-0.13630	-0.18396	-0.21695	-0.24993	-0.27842	-0.30030	-0.31163	-0.33474	-0.36571	-0.34898	-0.34199	-0.33118	-0.32351	-0.32236	-0.30625	-0.27989	-0.25122	-0.22435	-0.18986	-0.15608	-0.14615	-0.01418	 0.04735	 0.08175	 0.10787	 0.12216	 0.14048	 0.15715	 0.16821	 0.17481	 0.18028	 0.18272	 0.18142	 0.17828	 0.17316	 0.16896	 0.16220	 0.15197	 0.13557	 0.11585	 0.09203	 0.06198	 0.02693	
       3	  11.200	     NaN	     NaN	     NaN	0.030462	  1.4245	     NaN	     NaN	   78.55	   0.000	9.899E+5	   0.084	  509.03	   29.14	   217.7	 1023.05	   24.15	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99016	 0.97616	 0.96427	 0.95392	 0.93791	 0.91906	 0.90070	 0.87767	 0.85345	 0.82937	 0.80374	 0.78016	 0.75844	 0.73844	 0.72196	 0.70798	 0.69941	 0.69652	 0.69861	 0.70500	 0.71596	 0.73162	 0.75282	 0.77437	 0.79946	 0.82199	 0.84914	 0.87609	 0.89946	 0.92121	 0.93989	 0.95348	 0.96685	 0.97713	 0.99036	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05406	-0.04036	-0.03538	-0.02662	-0.02482	-0.02003	-0.02425	-0.02248	-0.02008	-0.01054	-0.00095	 0.00206	 0.01277	 0.01927	 0.02693	 0.02747	-0.11686	-0.13741	-0.18543	-0.21882	-0.25220	-0.28099	-0.30313	-0.31473	-0.33772	-0.36921	-0.35232	-0.34525	-0.33443	-0.32665	-0.32552	-0.30910	-0.28245	-0.25356	-0.22648	-0.19172	-0.15765	-0.14729	-0.01387	 0.04763	 0.08241	 0.10873	 0.12321	 0.14172	 0.15855	 0.16966	 0.17639	 0.18191	 0.18436	 0.18312	 0.18001	 0.17493	 0.17073	 0.16394	 0.15361	 0.13702	 0.11720	 0.09320	 0.06299	 0.02770	
       4	  11.408	     NaN	     NaN	     NaN	0.031108	  1.4380	     NaN	     NaN	   81.32	   0.000	9.894E+5	   0.084	  508.55	   29.13	   217.5	 1023.06	   24.16	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98993	 0.97647	 0.96425	 0.95424	 0.93844	 0.91955	 0.90112	 0.87783	 0.85379	 0.83039	 0.80587	 0.78305	 0.76110	 0.74045	 0.72399	 0.70911	 0.69940	 0.69510	 0.69554	 0.70050	 0.70992	 0.72360	 0.74279	 0.76376	 0.78911	 0.81153	 0.83900	 0.86604	 0.89052	 0.91354	 0.93352	 0.94851	 0.96266	 0.97362	 0.98908	 0.99507	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05476	-0.04094	-0.03580	-0.02691	-0.02545	-0.02051	-0.02475	-0.02332	-0.02110	-0.01168	-0.00132	 0.00191	 0.01267	 0.01929	 0.02701	 0.02755	-0.11783	-0.13873	-0.18712	-0.22094	-0.25476	-0.28393	-0.30625	-0.31791	-0.34149	-0.37282	-0.35598	-0.34882	-0.33787	-0.33003	-0.32877	-0.31217	-0.28519	-0.25586	-0.22846	-0.19325	-0.15874	-0.14807	-0.01362	 0.04815	 0.08307	 0.10956	 0.12421	 0.14292	 0.15985	 0.17101	 0.17783	 0.18341	 0.18593	 0.18462	 0.18152	 0.17654	 0.17236	 0.16553	 0.15514	 0.13841	 0.11848	 0.09430	 0.06388	 0.02849	
       5	  11.599	     NaN	     NaN	     NaN	0.032093	  1.4518	     NaN	     NaN	   78.69	   0.000	9.890E+5	   0.084	  508.26	   29.12	   217.4	 1023.07	   24.19	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98857	 0.97334	 0.96127	 0.95079	 0.93549	 0.91751	 0.89983	 0.87745	 0.85415	 0.83168	 0.80686	 0.78376	 0.76207	 0.74139	 0.72488	 0.70970	 0.69981	 0.69430	 0.69337	 0.69729	 0.70512	 0.71671	 0.73507	 0.75434	 0.77788	 0.79914	 0.82584	 0.85274	 0.87744	 0.90140	 0.92215	 0.93812	 0.95351	 0.96614	 0.98454	 0.99270	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05561	-0.04168	-0.03643	-0.02748	-0.02581	-0.02087	-0.02546	-0.02404	-0.02178	-0.01294	-0.00190	 0.00157	 0.01239	 0.01904	 0.02683	 0.02746	-0.11870	-0.13980	-0.18876	-0.22300	-0.25725	-0.28666	-0.30935	-0.32117	-0.34459	-0.37651	-0.35950	-0.35241	-0.34134	-0.33347	-0.33201	-0.31531	-0.28808	-0.25846	-0.23086	-0.19532	-0.16056	-0.14952	-0.01355	 0.04830	 0.08354	 0.11021	 0.12502	 0.14394	 0.16103	 0.17233	 0.17924	 0.18490	 0.18748	 0.18621	 0.18313	 0.17810	 0.17396	 0.16704	 0.15668	 0.13992	 0.11980	 0.09543	 0.06479	 0.02918	
       6	  11.801	     NaN	     NaN	     NaN	0.033036	  1.4649	     NaN	     NaN	   81.40	   0.000	9.888E+5	   0.084	  508.02	   29.12	   217.3	 1023.06	   24.20	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99510	 0.98665	 0.97126	 0.95904	 0.94856	 0.93318	 0.91557	 0.89862	 0.87663	 0.85382	 0.83120	 0.80691	 0.78420	 0.76297	 0.74280	 0.72591	 0.71017	 0.69925	 0.69345	 0.69128	 0.69392	 0.70006	 0.71077	 0.72758	 0.74461	 0.76716	 0.78776	 0.81452	 0.84074	 0.86518	 0.89001	 0.91253	 0.92971	 0.94651	 0.96072	 0.98145	 0.99057	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05617	-0.04217	-0.03684	-0.02778	-0.02561	-0.02126	-0.02612	-0.02520	-0.02252	-0.01444	-0.00246	 0.00144	 0.01236	 0.01902	 0.02690	 0.02755	-0.11944	-0.14102	-0.19024	-0.22490	-0.25955	-0.28949	-0.31238	-0.32433	-0.34807	-0.38020	-0.36303	-0.35582	-0.34474	-0.33676	-0.33520	-0.31829	-0.29075	-0.26081	-0.23284	-0.19680	-0.16159	-0.15026	-0.01351	 0.04880	 0.08416	 0.11103	 0.12595	 0.14508	 0.16233	 0.17373	 0.18067	 0.18638	 0.18888	 0.18779	 0.18475	 0.17976	 0.17556	 0.16864	 0.15818	 0.14139	 0.12106	 0.09653	 0.06572	 0.02994	
       7	  12.002	     NaN	     NaN	     NaN	0.034100	  1.4764	     NaN	     NaN	   78.82	   0.000	9.887E+5	   0.084	  508.00	   29.11	   217.2	 1023.09	   24.22	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99331	 0.98468	 0.96868	 0.95604	 0.94515	 0.92901	 0.91142	 0.89460	 0.87260	 0.85034	 0.82769	 0.80375	 0.78187	 0.76126	 0.74129	 0.72401	 0.70781	 0.69636	 0.69056	 0.68803	 0.68996	 0.69581	 0.70575	 0.72207	 0.73858	 0.76006	 0.78006	 0.80621	 0.83200	 0.85645	 0.88172	 0.90365	 0.92122	 0.93913	 0.95416	 0.97697	 0.98815	 0.99522	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05688	-0.04273	-0.03737	-0.02826	-0.02626	-0.02178	-0.02689	-0.02609	-0.02348	-0.01566	-0.00308	 0.00118	 0.01211	 0.01886	 0.02679	 0.02745	-0.12021	-0.14207	-0.19174	-0.22676	-0.26178	-0.29197	-0.31518	-0.32724	-0.35107	-0.38347	-0.36617	-0.35891	-0.34777	-0.33971	-0.33814	-0.32106	-0.29325	-0.26308	-0.23494	-0.19870	-0.16334	-0.15164	-0.01357	 0.04885	 0.08432	 0.11138	 0.12659	 0.14584	 0.16317	 0.17468	 0.18171	 0.18742	 0.18999	 0.18892	 0.18588	 0.18088	 0.17671	 0.16979	 0.15923	 0.14232	 0.12201	 0.09732	 0.06642	 0.03046	
       8	  12.197	     NaN	     NaN	     NaN	0.035186	  1.4878	     NaN	     NaN	   81.06	   0.000	9.884E+5	   0.084	  507.86	   29.11	   217.2	 1023.09	   24.24	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99116	 0.98025	 0.96276	 0.94963	 0.93851	 0.92248	 0.90504	 0.88781	 0.86673	 0.84485	 0.82383	 0.80130	 0.78027	 0.76020	 0.74067	 0.72440	 0.70932	 0.69842	 0.69194	 0.68895	 0.69043	 0.69510	 0.70432	 0.71908	 0.73408	 0.75337	 0.77158	 0.79670	 0.82191	 0.84569	 0.87043	 0.89355	 0.91197	 0.93059	 0.94660	 0.97228	 0.98494	 0.99334	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05742	-0.04314	-0.03768	-0.02839	-0.02670	-0.02230	-0.02752	-0.02694	-0.02441	-0.01663	-0.00364	 0.00103	 0.01205	 0.01887	 0.02672	 0.02750	-0.12100	-0.14313	-0.19317	-0.22859	-0.26401	-0.29455	-0.31791	-0.33014	-0.35422	-0.38698	-0.36956	-0.36226	-0.35110	-0.34288	-0.34117	-0.32388	-0.29571	-0.26516	-0.23671	-0.19999	-0.16414	-0.15232	-0.01353	 0.04927	 0.08483	 0.11204	 0.12732	 0.14665	 0.16414	 0.17575	 0.18282	 0.18861	 0.19120	 0.19014	 0.18711	 0.18219	 0.17796	 0.17094	 0.16037	 0.14334	 0.12295	 0.09812	 0.06705	 0.03094	
       9	  12.406	     NaN	     NaN	     NaN	0.036604	  1.4970	     NaN	     NaN	   78.88	   0.000	9.878E+5	   0.084	  507.31	   29.10	   217.0	 1023.10	   24.26	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98825	 0.97596	 0.95626	 0.94187	 0.92988	 0.91332	 0.89605	 0.87871	 0.85737	 0.83568	 0.81492	 0.79322	 0.77348	 0.75447	 0.73615	 0.72058	 0.70612	 0.69614	 0.69014	 0.68669	 0.68780	 0.69179	 0.70033	 0.71452	 0.72879	 0.74819	 0.76624	 0.78997	 0.81421	 0.83757	 0.86220	 0.88434	 0.90247	 0.92180	 0.93876	 0.96634	 0.98097	 0.99109	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05798	-0.04362	-0.03809	-0.02877	-0.02675	-0.02301	-0.02876	-0.02812	-0.02546	-0.01827	-0.00450	 0.00070	 0.01182	 0.01862	 0.02658	 0.02734	-0.12146	-0.14376	-0.19408	-0.22978	-0.26548	-0.29634	-0.31988	-0.33229	-0.35639	-0.38945	-0.37191	-0.36466	-0.35346	-0.34529	-0.34350	-0.32613	-0.29787	-0.26706	-0.23847	-0.20166	-0.16577	-0.15343	-0.01356	 0.04929	 0.08497	 0.11223	 0.12766	 0.14718	 0.16477	 0.17651	 0.18361	 0.18950	 0.19207	 0.19107	 0.18813	 0.18320	 0.17905	 0.17205	 0.16145	 0.14432	 0.12387	 0.09899	 0.06781	 0.03158	
