   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       0	   9.994	     NaN	     NaN	     NaN	0.028396	  1.3289	     NaN	     NaN	   40.00	   0.000	9.944E+5	   0.085	  513.31	   29.26	   219.5	 1023.01	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98868	 0.96430	 0.94553	 0.93133	 0.91391	 0.88789	 0.86180	 0.83660	 0.81316	 0.78777	 0.76471	 0.74296	 0.72293	 0.70858	 0.70096	 0.69682	 0.70129	 0.70750	 0.72013	 0.73452	 0.75512	 0.78018	 0.81324	 0.84211	 0.86951	 0.89371	 0.91619	 0.94069	 0.95925	 0.97334	 0.98239	 0.98671	 0.99219	 0.99502	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04771	-0.03487	-0.03042	-0.02235	-0.02040	-0.01607	-0.01962	-0.01708	-0.01341	-0.00273	 0.00285	 0.00478	 0.01495	 0.02118	 0.02847	 0.02848	-0.10875	-0.12697	-0.17172	-0.20213	-0.23254	-0.25955	-0.27968	-0.29054	-0.31102	-0.34120	-0.32527	-0.31866	-0.30840	-0.30168	-0.30113	-0.28623	-0.26198	-0.23561	-0.21108	-0.17895	-0.14722	-0.13874	-0.01289	 0.04603	 0.07936	 0.10460	 0.11688	 0.13444	 0.15048	 0.16102	 0.16699	 0.17231	 0.17491	 0.17324	 0.16995	 0.16462	 0.16070	 0.15400	 0.14454	 0.12867	 0.11034	 0.08794	 0.05899	 0.02554	
       0	   9.994	     NaN	     NaN	     NaN	0.027951	  1.3295	     NaN	     NaN	   40.00	   0.000	9.941E+5	   0.085	  513.00	   29.25	   219.4	 1023.01	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98676	 0.96802	 0.95420	 0.94277	 0.92508	 0.90261	 0.88222	 0.85440	 0.83014	 0.80567	 0.77748	 0.75182	 0.72853	 0.71118	 0.69780	 0.68923	 0.69145	 0.70118	 0.72167	 0.73809	 0.76092	 0.78443	 0.81381	 0.84164	 0.86596	 0.88929	 0.91220	 0.93195	 0.94935	 0.96354	 0.97527	 0.98332	 0.98979	 0.99411	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04810	-0.03483	-0.03058	-0.02251	-0.02097	-0.01601	-0.01936	-0.01660	-0.01377	-0.00330	 0.00227	 0.00465	 0.01459	 0.02085	 0.02792	 0.02836	-0.10894	-0.12718	-0.17268	-0.20298	-0.23327	-0.25963	-0.27957	-0.29043	-0.31263	-0.34217	-0.32579	-0.31985	-0.30912	-0.30179	-0.30165	-0.28654	-0.26305	-0.23587	-0.21153	-0.17938	-0.14743	-0.13875	-0.01302	 0.04553	 0.07867	 0.10354	 0.11682	 0.13418	 0.15024	 0.16059	 0.16658	 0.17169	 0.17447	 0.17261	 0.16975	 0.16459	 0.16087	 0.15417	 0.14407	 0.12883	 0.11008	 0.08786	 0.05870	 0.02523	
       0	   9.994	     NaN	     NaN	     NaN	0.027412	  1.3296	     NaN	     NaN	   40.03	   0.000	9.938E+5	   0.085	  512.69	   29.24	   219.3	 1023.01	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98470	 0.96905	 0.95674	 0.94584	 0.92714	 0.90126	 0.87955	 0.85389	 0.82844	 0.80450	 0.77738	 0.75637	 0.73707	 0.72253	 0.71016	 0.69920	 0.69807	 0.70310	 0.71947	 0.73287	 0.75919	 0.78536	 0.82049	 0.84684	 0.87404	 0.89587	 0.91730	 0.93904	 0.95390	 0.96771	 0.97942	 0.98589	 0.99289	 0.99516	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04810	-0.03483	-0.03056	-0.02230	-0.02053	-0.01619	-0.01932	-0.01616	-0.01395	-0.00390	 0.00229	 0.00470	 0.01462	 0.02048	 0.02797	 0.02821	-0.10897	-0.12701	-0.17233	-0.20285	-0.23338	-0.26014	-0.28050	-0.29120	-0.31278	-0.34191	-0.32669	-0.32001	-0.30945	-0.30293	-0.30198	-0.28664	-0.26196	-0.23595	-0.21100	-0.17863	-0.14746	-0.13897	-0.01297	 0.04602	 0.07878	 0.10386	 0.11673	 0.13387	 0.14997	 0.16013	 0.16654	 0.17166	 0.17463	 0.17297	 0.16934	 0.16476	 0.16102	 0.15424	 0.14419	 0.12873	 0.10979	 0.08797	 0.05859	 0.02492	
       0	   9.994	     NaN	     NaN	     NaN	0.027453	  1.3290	     NaN	     NaN	   40.50	   0.000	9.935E+5	   0.085	  512.38	   29.23	   219.1	 1023.01	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98958	 0.97437	 0.96147	 0.95067	 0.93206	 0.90782	 0.88230	 0.85602	 0.83279	 0.80986	 0.78155	 0.75853	 0.73663	 0.71734	 0.70446	 0.69368	 0.69345	 0.69893	 0.71746	 0.73550	 0.76349	 0.78650	 0.82008	 0.84802	 0.87411	 0.89376	 0.91389	 0.93422	 0.95210	 0.96320	 0.97547	 0.98052	 0.98744	 0.99114	 0.99503	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04799	-0.03472	-0.03024	-0.02239	-0.02040	-0.01607	-0.02023	-0.01751	-0.01424	-0.00377	 0.00286	 0.00504	 0.01498	 0.02104	 0.02833	 0.02857	-0.10847	-0.12695	-0.17229	-0.20251	-0.23273	-0.25955	-0.28033	-0.29102	-0.31262	-0.34219	-0.32616	-0.31985	-0.30889	-0.30196	-0.30161	-0.28707	-0.26238	-0.23576	-0.21119	-0.17860	-0.14741	-0.13892	-0.01305	 0.04538	 0.07897	 0.10386	 0.11675	 0.13431	 0.15041	 0.16037	 0.16658	 0.17230	 0.17487	 0.17342	 0.16978	 0.16440	 0.16105	 0.15447	 0.14463	 0.12852	 0.11020	 0.08715	 0.05836	 0.02507	
       0	   9.994	     NaN	     NaN	     NaN	0.027504	  1.3299	     NaN	     NaN	   41.15	   0.000	9.932E+5	   0.085	  512.09	   29.23	   219.0	 1023.01	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99044	 0.97675	 0.95929	 0.94430	 0.92603	 0.90038	 0.87579	 0.84547	 0.82083	 0.79640	 0.77413	 0.75404	 0.73684	 0.71437	 0.70464	 0.69640	 0.70048	 0.70856	 0.72487	 0.73927	 0.76633	 0.79095	 0.81927	 0.84561	 0.86779	 0.89063	 0.91522	 0.93615	 0.95394	 0.96928	 0.98153	 0.98544	 0.99139	 0.99411	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04857	-0.03552	-0.03098	-0.02254	-0.02074	-0.01641	-0.02056	-0.01807	-0.01456	-0.00368	 0.00208	 0.00414	 0.01508	 0.02073	 0.02802	 0.02785	-0.10927	-0.12691	-0.17231	-0.20297	-0.23364	-0.25999	-0.28018	-0.29087	-0.31269	-0.34289	-0.32681	-0.31972	-0.30976	-0.30263	-0.30188	-0.28752	-0.26280	-0.23637	-0.21120	-0.17878	-0.14798	-0.13889	-0.01335	 0.04572	 0.07872	 0.10323	 0.11671	 0.13405	 0.15019	 0.16057	 0.16659	 0.17210	 0.17466	 0.17280	 0.16961	 0.16461	 0.16063	 0.15415	 0.14417	 0.12847	 0.11016	 0.08771	 0.05851	 0.02481	
       0	   9.994	     NaN	     NaN	     NaN	0.028268	  1.3302	     NaN	     NaN	   41.89	   0.000	9.930E+5	   0.085	  511.86	   29.22	   218.9	 1023.01	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98747	 0.97179	 0.95592	 0.94133	 0.92139	 0.89453	 0.87014	 0.84213	 0.81612	 0.79276	 0.76754	 0.74312	 0.72667	 0.70653	 0.69627	 0.69187	 0.69985	 0.70437	 0.71769	 0.73421	 0.75528	 0.78463	 0.81934	 0.84303	 0.87077	 0.89125	 0.91534	 0.93679	 0.95459	 0.96889	 0.97855	 0.98356	 0.98844	 0.99266	 0.99509	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04795	-0.03511	-0.03016	-0.02256	-0.02053	-0.01641	-0.02056	-0.01743	-0.01415	-0.00325	 0.00229	 0.00415	 0.01465	 0.02075	 0.02782	 0.02766	-0.10911	-0.12738	-0.17263	-0.20308	-0.23352	-0.26009	-0.28028	-0.29079	-0.31433	-0.34200	-0.32674	-0.32072	-0.30988	-0.30255	-0.30282	-0.28703	-0.26290	-0.23645	-0.21168	-0.17924	-0.14803	-0.13914	-0.01354	 0.04555	 0.07836	 0.10330	 0.11678	 0.13391	 0.14965	 0.16045	 0.16649	 0.17160	 0.17454	 0.17290	 0.16952	 0.16470	 0.16051	 0.15421	 0.14446	 0.12854	 0.10962	 0.08736	 0.05855	 0.02484	
       0	   9.994	     NaN	     NaN	     NaN	0.027793	  1.3306	     NaN	     NaN	   42.67	   0.000	9.927E+5	   0.085	  511.61	   29.21	   218.8	 1023.01	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98659	 0.97298	 0.95911	 0.94715	 0.92574	 0.90165	 0.87861	 0.85014	 0.82097	 0.79757	 0.77067	 0.74577	 0.72161	 0.70393	 0.69106	 0.68734	 0.69291	 0.70544	 0.71978	 0.73732	 0.75796	 0.78363	 0.81785	 0.84736	 0.87793	 0.89862	 0.91907	 0.93745	 0.95324	 0.96799	 0.98027	 0.98526	 0.99171	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04820	-0.03514	-0.03101	-0.02281	-0.02076	-0.01665	-0.01996	-0.01703	-0.01437	-0.00305	 0.00206	 0.00415	 0.01464	 0.02033	 0.02804	 0.02808	-0.10937	-0.12745	-0.17298	-0.20343	-0.23387	-0.26022	-0.28103	-0.29135	-0.31385	-0.34301	-0.32670	-0.32003	-0.30983	-0.30269	-0.30236	-0.28777	-0.26342	-0.23715	-0.21178	-0.17952	-0.14810	-0.13921	-0.01375	 0.04558	 0.07840	 0.10335	 0.11663	 0.13375	 0.14973	 0.16033	 0.16638	 0.17149	 0.17442	 0.17278	 0.16942	 0.16439	 0.16059	 0.15377	 0.14388	 0.12859	 0.10968	 0.08700	 0.05818	 0.02447	
       0	   9.994	     NaN	     NaN	     NaN	0.028216	  1.3296	     NaN	     NaN	   43.37	   0.000	9.925E+5	   0.085	  511.38	   29.21	   218.7	 1023.01	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99460	 0.97882	 0.96488	 0.95353	 0.93488	 0.91465	 0.89392	 0.86663	 0.84072	 0.81614	 0.78512	 0.75685	 0.72989	 0.70820	 0.69846	 0.69302	 0.69459	 0.70129	 0.71885	 0.73232	 0.75170	 0.77575	 0.80489	 0.82886	 0.85361	 0.87682	 0.89818	 0.91873	 0.93735	 0.95086	 0.96484	 0.97123	 0.98004	 0.98611	 0.99210	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04891	-0.03567	-0.03104	-0.02290	-0.02100	-0.01691	-0.01998	-0.01687	-0.01523	-0.00331	 0.00200	 0.00415	 0.01437	 0.02031	 0.02759	 0.02765	-0.10944	-0.12753	-0.17271	-0.20326	-0.23380	-0.26032	-0.28096	-0.29088	-0.31446	-0.34234	-0.32661	-0.32043	-0.30975	-0.30302	-0.30249	-0.28747	-0.26311	-0.23663	-0.21187	-0.17978	-0.14755	-0.13967	-0.01354	 0.04521	 0.07804	 0.10361	 0.11647	 0.13357	 0.14999	 0.16020	 0.16668	 0.17138	 0.17407	 0.17265	 0.16877	 0.16409	 0.15984	 0.15321	 0.14434	 0.12797	 0.10932	 0.08664	 0.05801	 0.02451	
       0	   9.994	     NaN	     NaN	     NaN	0.027766	  1.3280	     NaN	     NaN	   44.23	   0.000	9.923E+5	   0.084	  511.14	   29.20	   218.6	 1023.03	   24.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99246	 0.97523	 0.95936	 0.94731	 0.92893	 0.90471	 0.88334	 0.85827	 0.83362	 0.80804	 0.78042	 0.75613	 0.73079	 0.71271	 0.70663	 0.69949	 0.69810	 0.70475	 0.71508	 0.72965	 0.75359	 0.78191	 0.81416	 0.84250	 0.86610	 0.89275	 0.91252	 0.93119	 0.94947	 0.96283	 0.97467	 0.97888	 0.98466	 0.98864	 0.99419	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04868	-0.03549	-0.03052	-0.02296	-0.02112	-0.01686	-0.02007	-0.01682	-0.01430	-0.00388	 0.00177	 0.00413	 0.01438	 0.02040	 0.02767	 0.02776	-0.10896	-0.12708	-0.17250	-0.20298	-0.23347	-0.25985	-0.27989	-0.29132	-0.31369	-0.34236	-0.32667	-0.31968	-0.30949	-0.30215	-0.30164	-0.28738	-0.26300	-0.23648	-0.21177	-0.17903	-0.14760	-0.13894	-0.01376	 0.04524	 0.07827	 0.10328	 0.11649	 0.13391	 0.14960	 0.16046	 0.16681	 0.17188	 0.17387	 0.17228	 0.16916	 0.16400	 0.16028	 0.15398	 0.14362	 0.12786	 0.10913	 0.08645	 0.05804	 0.02397	
