   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	   9.990	     NaN	     NaN	     NaN	0.027678	  1.3307	     NaN	     NaN	   79.18	   0.000	9.907E+5	   0.084	  503.26	   28.88	   215.2	 1025.40	   22.91	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99111	 0.97359	 0.95973	 0.94530	 0.92625	 0.90421	 0.88190	 0.85356	 0.82589	 0.79937	 0.77168	 0.74846	 0.72816	 0.71317	 0.70288	 0.69710	 0.69957	 0.70694	 0.72282	 0.73789	 0.76082	 0.78532	 0.81612	 0.84279	 0.87114	 0.89374	 0.91726	 0.93769	 0.95342	 0.96633	 0.97699	 0.98355	 0.98838	 0.99241	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05251	-0.03904	-0.03401	-0.02676	-0.02441	-0.01995	-0.02425	-0.02095	-0.01856	-0.00768	-0.00162	 0.00052	 0.01074	 0.01722	 0.02409	 0.02403	-0.11234	-0.13111	-0.17633	-0.20706	-0.23778	-0.26422	-0.28438	-0.29452	-0.31735	-0.34655	-0.33076	-0.32436	-0.31411	-0.30715	-0.30638	-0.29053	-0.26605	-0.23975	-0.21569	-0.18309	-0.15133	-0.14400	-0.01849	 0.04206	 0.07448	 0.09937	 0.11279	 0.12996	 0.14659	 0.15702	 0.16292	 0.16819	 0.17065	 0.16964	 0.16590	 0.16104	 0.15716	 0.15054	 0.14080	 0.12524	 0.10640	 0.08352	 0.05502	 0.02077	
       2	  11.002	     NaN	     NaN	     NaN	0.030321	  1.4095	     NaN	     NaN	   80.93	   0.000	9.891E+5	   0.084	  501.84	   28.84	   214.6	 1025.40	   22.96	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99146	 0.97642	 0.96480	 0.95318	 0.93726	 0.91806	 0.89938	 0.87453	 0.85018	 0.82545	 0.79927	 0.77574	 0.75310	 0.73366	 0.71690	 0.70275	 0.69524	 0.69283	 0.69681	 0.70352	 0.71673	 0.73269	 0.75576	 0.77861	 0.80596	 0.82941	 0.85713	 0.88416	 0.90693	 0.92806	 0.94636	 0.95984	 0.97111	 0.98033	 0.99170	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05560	-0.04166	-0.03623	-0.02839	-0.02586	-0.02118	-0.02576	-0.02403	-0.02159	-0.01184	-0.00242	 0.00037	 0.01083	 0.01770	 0.02496	 0.02526	-0.11748	-0.13816	-0.18573	-0.21878	-0.25183	-0.28015	-0.30169	-0.31268	-0.33594	-0.36732	-0.35074	-0.34401	-0.33326	-0.32572	-0.32427	-0.30723	-0.28084	-0.25255	-0.22670	-0.19196	-0.15797	-0.14858	-0.01670	 0.04551	 0.07914	 0.10524	 0.11962	 0.13788	 0.15537	 0.16639	 0.17261	 0.17806	 0.18059	 0.17976	 0.17612	 0.17126	 0.16714	 0.16021	 0.15003	 0.13370	 0.11396	 0.09002	 0.06024	 0.02474	
       3	  11.200	     NaN	     NaN	     NaN	0.030902	  1.4230	     NaN	     NaN	   79.17	   0.000	9.881E+5	   0.084	  501.01	   28.82	   214.3	 1025.41	   23.01	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98996	 0.97436	 0.96250	 0.95125	 0.93581	 0.91747	 0.89971	 0.87593	 0.85204	 0.82810	 0.80230	 0.77879	 0.75628	 0.73692	 0.72026	 0.70598	 0.69768	 0.69449	 0.69648	 0.70190	 0.71344	 0.72774	 0.74891	 0.76968	 0.79572	 0.81860	 0.84586	 0.87293	 0.89660	 0.91845	 0.93807	 0.95310	 0.96548	 0.97622	 0.98985	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05611	-0.04205	-0.03653	-0.02861	-0.02603	-0.02144	-0.02626	-0.02486	-0.02220	-0.01277	-0.00258	 0.00041	 0.01088	 0.01778	 0.02509	 0.02548	-0.11819	-0.13922	-0.18722	-0.22064	-0.25406	-0.28271	-0.30450	-0.31558	-0.33918	-0.37068	-0.35401	-0.34724	-0.33650	-0.32884	-0.32726	-0.31008	-0.28343	-0.25488	-0.22890	-0.19382	-0.15971	-0.14989	-0.01635	 0.04592	 0.07982	 0.10606	 0.12067	 0.13908	 0.15673	 0.16778	 0.17412	 0.17957	 0.18213	 0.18133	 0.17781	 0.17295	 0.16884	 0.16189	 0.15166	 0.13517	 0.11537	 0.09115	 0.06121	 0.02552	
       4	  11.405	     NaN	     NaN	     NaN	0.031730	  1.4361	     NaN	     NaN	   80.89	   0.000	9.876E+5	   0.084	  500.63	   28.81	   214.1	 1025.42	   23.04	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98889	 0.97295	 0.96105	 0.94958	 0.93447	 0.91612	 0.89837	 0.87479	 0.85118	 0.82765	 0.80268	 0.77978	 0.75812	 0.73892	 0.72146	 0.70640	 0.69752	 0.69253	 0.69327	 0.69789	 0.70781	 0.72064	 0.74088	 0.76103	 0.78578	 0.80805	 0.83539	 0.86269	 0.88654	 0.90925	 0.92983	 0.94614	 0.95968	 0.97147	 0.98740	 0.99424	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05687	-0.04270	-0.03713	-0.02909	-0.02655	-0.02193	-0.02688	-0.02557	-0.02310	-0.01413	-0.00310	 0.00013	 0.01067	 0.01764	 0.02506	 0.02544	-0.11918	-0.14056	-0.18890	-0.22274	-0.25659	-0.28560	-0.30763	-0.31884	-0.34253	-0.37439	-0.35756	-0.35071	-0.33994	-0.33221	-0.33055	-0.31313	-0.28618	-0.25722	-0.23086	-0.19535	-0.16063	-0.15052	-0.01626	 0.04639	 0.08037	 0.10676	 0.12156	 0.14017	 0.15794	 0.16912	 0.17557	 0.18103	 0.18369	 0.18286	 0.17928	 0.17448	 0.17033	 0.16336	 0.15303	 0.13653	 0.11648	 0.09214	 0.06205	 0.02616	
       5	  11.603	     NaN	     NaN	     NaN	0.032498	  1.4498	     NaN	     NaN	   79.19	   0.000	9.867E+5	   0.083	  499.94	   28.79	   213.8	 1025.42	   23.08	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98746	 0.97177	 0.96044	 0.94931	 0.93433	 0.91608	 0.89835	 0.87490	 0.85161	 0.82857	 0.80428	 0.78177	 0.75988	 0.74029	 0.72306	 0.70769	 0.69756	 0.69203	 0.69178	 0.69498	 0.70371	 0.71552	 0.73390	 0.75222	 0.77615	 0.79773	 0.82484	 0.85142	 0.87534	 0.89827	 0.91960	 0.93633	 0.95113	 0.96454	 0.98352	 0.99226	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05756	-0.04332	-0.03762	-0.02947	-0.02685	-0.02227	-0.02742	-0.02643	-0.02394	-0.01534	-0.00356	-0.00005	 0.01055	 0.01756	 0.02501	 0.02543	-0.11988	-0.14158	-0.19038	-0.22463	-0.25887	-0.28824	-0.31056	-0.32196	-0.34564	-0.37795	-0.36103	-0.35414	-0.34332	-0.33553	-0.33375	-0.31615	-0.28893	-0.25972	-0.23320	-0.19748	-0.16268	-0.15221	-0.01618	 0.04658	 0.08083	 0.10746	 0.12245	 0.14125	 0.15918	 0.17049	 0.17697	 0.18251	 0.18524	 0.18442	 0.18095	 0.17610	 0.17205	 0.16502	 0.15459	 0.13802	 0.11791	 0.09336	 0.06308	 0.02695	
       6	  11.801	     NaN	     NaN	     NaN	0.033521	  1.4621	     NaN	     NaN	   80.82	   0.000	9.865E+5	   0.083	  499.82	   28.79	   213.8	 1025.43	   23.11	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99428	 0.98525	 0.96860	 0.95676	 0.94515	 0.93035	 0.91275	 0.89566	 0.87311	 0.85048	 0.82855	 0.80465	 0.78286	 0.76190	 0.74220	 0.72457	 0.70865	 0.69860	 0.69220	 0.68990	 0.69181	 0.69898	 0.70876	 0.72609	 0.74337	 0.76632	 0.78658	 0.81287	 0.83905	 0.86362	 0.88723	 0.90916	 0.92722	 0.94334	 0.95773	 0.97933	 0.98987	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05833	-0.04400	-0.03823	-0.02993	-0.02740	-0.02295	-0.02841	-0.02773	-0.02483	-0.01664	-0.00427	-0.00041	 0.01031	 0.01740	 0.02485	 0.02530	-0.12078	-0.14282	-0.19198	-0.22665	-0.26133	-0.29108	-0.31358	-0.32515	-0.34892	-0.38165	-0.36456	-0.35761	-0.34673	-0.33886	-0.33697	-0.31919	-0.29169	-0.26211	-0.23521	-0.19903	-0.16367	-0.15296	-0.01636	 0.04678	 0.08120	 0.10798	 0.12313	 0.14211	 0.16024	 0.17159	 0.17816	 0.18381	 0.18645	 0.18576	 0.18227	 0.17744	 0.17341	 0.16636	 0.15593	 0.13927	 0.11900	 0.09432	 0.06387	 0.02756	
       7	  12.010	     NaN	     NaN	     NaN	0.034901	  1.4737	     NaN	     NaN	   79.12	   0.000	9.858E+5	   0.083	  499.18	   28.78	   213.5	 1025.43	   23.12	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99203	 0.98217	 0.96432	 0.95239	 0.94068	 0.92574	 0.90806	 0.89060	 0.86772	 0.84513	 0.82353	 0.80041	 0.77899	 0.75771	 0.73882	 0.72198	 0.70701	 0.69735	 0.69094	 0.68956	 0.69129	 0.69714	 0.70532	 0.72030	 0.73530	 0.75615	 0.77511	 0.80016	 0.82562	 0.84967	 0.87395	 0.89675	 0.91561	 0.93295	 0.94933	 0.97391	 0.98609	 0.99388	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05898	-0.04454	-0.03862	-0.03029	-0.02792	-0.02356	-0.02916	-0.02864	-0.02587	-0.01810	-0.00500	-0.00065	 0.01012	 0.01725	 0.02467	 0.02524	-0.12151	-0.14386	-0.19344	-0.22849	-0.26353	-0.29356	-0.31634	-0.32803	-0.35207	-0.38497	-0.36776	-0.36081	-0.34985	-0.34193	-0.33998	-0.32202	-0.29425	-0.26445	-0.23737	-0.20096	-0.16550	-0.15441	-0.01633	 0.04663	 0.08143	 0.10838	 0.12364	 0.14282	 0.16105	 0.17251	 0.17916	 0.18487	 0.18756	 0.18686	 0.18340	 0.17867	 0.17459	 0.16748	 0.15699	 0.14029	 0.11994	 0.09515	 0.06450	 0.02805	
       8	  12.197	     NaN	     NaN	     NaN	0.035999	  1.4831	     NaN	     NaN	   80.81	   0.000	9.852E+5	   0.083	  498.77	   28.76	   213.3	 1025.44	   23.16	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98872	 0.97718	 0.95750	 0.94429	 0.93185	 0.91632	 0.89897	 0.88156	 0.85986	 0.83883	 0.81786	 0.79547	 0.77492	 0.75540	 0.73781	 0.72142	 0.70672	 0.69661	 0.69014	 0.68785	 0.68939	 0.69494	 0.70323	 0.71808	 0.73255	 0.75247	 0.77057	 0.79421	 0.81869	 0.84284	 0.86681	 0.88988	 0.90913	 0.92728	 0.94407	 0.96969	 0.98344	 0.99229	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05925	-0.04472	-0.03873	-0.03033	-0.02797	-0.02405	-0.03001	-0.02949	-0.02675	-0.01911	-0.00539	-0.00067	 0.01021	 0.01736	 0.02481	 0.02534	-0.12195	-0.14457	-0.19443	-0.22983	-0.26523	-0.29557	-0.31858	-0.33041	-0.35461	-0.38775	-0.37043	-0.36343	-0.35241	-0.34441	-0.34235	-0.32425	-0.29615	-0.26595	-0.23866	-0.20178	-0.16584	-0.15455	-0.01619	 0.04717	 0.08195	 0.10903	 0.12447	 0.14367	 0.16199	 0.17355	 0.18029	 0.18599	 0.18869	 0.18801	 0.18463	 0.17983	 0.17579	 0.16864	 0.15812	 0.14134	 0.12090	 0.09602	 0.06528	 0.02864	
       9	  12.406	     NaN	     NaN	     NaN	0.037722	  1.4919	     NaN	     NaN	   79.29	   0.000	9.845E+5	   0.083	  498.13	   28.75	   213.0	 1025.45	   23.18	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99363	 0.98497	 0.97141	 0.94971	 0.93616	 0.92318	 0.90697	 0.88888	 0.87159	 0.84985	 0.82894	 0.80839	 0.78681	 0.76705	 0.74827	 0.73115	 0.71634	 0.70260	 0.69309	 0.68647	 0.68357	 0.68453	 0.69019	 0.69757	 0.71152	 0.72602	 0.74548	 0.76305	 0.78652	 0.81080	 0.83403	 0.85792	 0.88075	 0.89980	 0.91759	 0.93437	 0.96331	 0.97924	 0.98992	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05994	-0.04529	-0.03930	-0.03082	-0.02837	-0.02479	-0.03124	-0.03102	-0.02814	-0.02065	-0.00645	-0.00114	 0.00982	 0.01706	 0.02455	 0.02506	-0.12253	-0.14528	-0.19541	-0.23111	-0.26682	-0.29742	-0.32066	-0.33260	-0.35681	-0.39032	-0.37295	-0.36597	-0.35494	-0.34690	-0.34488	-0.32662	-0.29842	-0.26805	-0.24066	-0.20371	-0.16773	-0.15615	-0.01645	 0.04698	 0.08182	 0.10901	 0.12451	 0.14390	 0.16230	 0.17397	 0.18077	 0.18653	 0.18930	 0.18869	 0.18528	 0.18055	 0.17653	 0.16943	 0.15892	 0.14209	 0.12165	 0.09659	 0.06578	 0.02916	
