   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       0	   9.990	     NaN	     NaN	     NaN	0.028115	  1.3279	     NaN	     NaN	   40.00	   0.000	9.942E+5	   0.084	  506.68	   28.98	   216.7	 1025.40	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99414	 0.97522	 0.96281	 0.94754	 0.92629	 0.90310	 0.88086	 0.85136	 0.82476	 0.79582	 0.76322	 0.74359	 0.72760	 0.70820	 0.69627	 0.69196	 0.69881	 0.70602	 0.72630	 0.73883	 0.75796	 0.77528	 0.80580	 0.83050	 0.86172	 0.88439	 0.91039	 0.93058	 0.95028	 0.96529	 0.97513	 0.98301	 0.98940	 0.99240	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04994	-0.03629	-0.03116	-0.02382	-0.02143	-0.01723	-0.02084	-0.01677	-0.01581	-0.00458	 0.00127	 0.00367	 0.01375	 0.02050	 0.02724	 0.02748	-0.10913	-0.12801	-0.17317	-0.20360	-0.23404	-0.26095	-0.28091	-0.29098	-0.31423	-0.34297	-0.32786	-0.32129	-0.31047	-0.30324	-0.30326	-0.28703	-0.26268	-0.23620	-0.21289	-0.18016	-0.14902	-0.14082	-0.01475	 0.04454	 0.07707	 0.10164	 0.11484	 0.13254	 0.14887	 0.15917	 0.16510	 0.17024	 0.17297	 0.17194	 0.16758	 0.16307	 0.15944	 0.15323	 0.14341	 0.12775	 0.10885	 0.08636	 0.05786	 0.02359	
       0	   9.990	     NaN	     NaN	     NaN	0.029306	  1.3279	     NaN	     NaN	   40.00	   0.000	9.938E+5	   0.084	  506.30	   28.97	   216.5	 1025.39	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99338	 0.97704	 0.96359	 0.95092	 0.93078	 0.90622	 0.88158	 0.85405	 0.82437	 0.79754	 0.77212	 0.74896	 0.72614	 0.70879	 0.69738	 0.68895	 0.69241	 0.70128	 0.71388	 0.72705	 0.74737	 0.76572	 0.78849	 0.81667	 0.84685	 0.87038	 0.89452	 0.91119	 0.92968	 0.94700	 0.96225	 0.97147	 0.97976	 0.98516	 0.99276	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04971	-0.03604	-0.03135	-0.02401	-0.02160	-0.01698	-0.02101	-0.01780	-0.01535	-0.00453	 0.00132	 0.00331	 0.01337	 0.01972	 0.02645	 0.02712	-0.10937	-0.12869	-0.17348	-0.20415	-0.23482	-0.26068	-0.28107	-0.29114	-0.31290	-0.34318	-0.32727	-0.32083	-0.31085	-0.30424	-0.30261	-0.28719	-0.26342	-0.23711	-0.21340	-0.18024	-0.14907	-0.14127	-0.01532	 0.04422	 0.07718	 0.10158	 0.11477	 0.13205	 0.14884	 0.15914	 0.16488	 0.16981	 0.17253	 0.17131	 0.16815	 0.16305	 0.15879	 0.15292	 0.14336	 0.12726	 0.10857	 0.08566	 0.05776	 0.02326	
       0	   9.990	     NaN	     NaN	     NaN	0.027924	  1.3283	     NaN	     NaN	   40.08	   0.000	9.935E+5	   0.084	  505.97	   28.96	   216.4	 1025.40	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99327	 0.97850	 0.96605	 0.95288	 0.93169	 0.90770	 0.88564	 0.85990	 0.83594	 0.80850	 0.77964	 0.75556	 0.73105	 0.71168	 0.70289	 0.69329	 0.69607	 0.70524	 0.71985	 0.73041	 0.75029	 0.77189	 0.80412	 0.82665	 0.85849	 0.88088	 0.90683	 0.93056	 0.94637	 0.96064	 0.97317	 0.98063	 0.98748	 0.99147	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05008	-0.03620	-0.03106	-0.02439	-0.02195	-0.01734	-0.02135	-0.01859	-0.01632	-0.00573	 0.00075	 0.00321	 0.01324	 0.01982	 0.02677	 0.02639	-0.10955	-0.12846	-0.17351	-0.20441	-0.23532	-0.26116	-0.28156	-0.29123	-0.31517	-0.34330	-0.32757	-0.32137	-0.31156	-0.30432	-0.30312	-0.28726	-0.26288	-0.23716	-0.21302	-0.18106	-0.14906	-0.14126	-0.01543	 0.04415	 0.07672	 0.10114	 0.11433	 0.13180	 0.14841	 0.15894	 0.16529	 0.17003	 0.17233	 0.17152	 0.16818	 0.16286	 0.15920	 0.15236	 0.14311	 0.12765	 0.10854	 0.08582	 0.05750	 0.02319	
       0	   9.990	     NaN	     NaN	     NaN	0.027909	  1.3282	     NaN	     NaN	   40.35	   0.000	9.932E+5	   0.084	  505.64	   28.95	   216.2	 1025.39	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98886	 0.97003	 0.95519	 0.94329	 0.92342	 0.89956	 0.87584	 0.84669	 0.82327	 0.79643	 0.77157	 0.75097	 0.73018	 0.71660	 0.70621	 0.70010	 0.70081	 0.70857	 0.72419	 0.73833	 0.75955	 0.77958	 0.81173	 0.83600	 0.86406	 0.89075	 0.91751	 0.94035	 0.95586	 0.97103	 0.98086	 0.98560	 0.98886	 0.99073	 0.99456	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04991	-0.03624	-0.03150	-0.02420	-0.02155	-0.01714	-0.02178	-0.01817	-0.01613	-0.00510	 0.00118	 0.00302	 0.01302	 0.01983	 0.02679	 0.02661	-0.10984	-0.12833	-0.17388	-0.20435	-0.23482	-0.26111	-0.28194	-0.29163	-0.31559	-0.34352	-0.32795	-0.32137	-0.31134	-0.30370	-0.30351	-0.28805	-0.26284	-0.23689	-0.21275	-0.18055	-0.14854	-0.14073	-0.01543	 0.04439	 0.07658	 0.10142	 0.11441	 0.13145	 0.14873	 0.15905	 0.16502	 0.16995	 0.17328	 0.17226	 0.16831	 0.16319	 0.15931	 0.15267	 0.14321	 0.12709	 0.10841	 0.08568	 0.05734	 0.02302	
       0	   9.990	     NaN	     NaN	     NaN	0.027845	  1.3293	     NaN	     NaN	   40.84	   0.000	9.929E+5	   0.084	  505.34	   28.94	   216.1	 1025.40	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98826	 0.97254	 0.95918	 0.94422	 0.92489	 0.90175	 0.87728	 0.84805	 0.82039	 0.78929	 0.76619	 0.74917	 0.73617	 0.72697	 0.71286	 0.70551	 0.70635	 0.71098	 0.71978	 0.73190	 0.75237	 0.77776	 0.81101	 0.83474	 0.85843	 0.88262	 0.91166	 0.93684	 0.95323	 0.96935	 0.97972	 0.98656	 0.99297	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05029	-0.03684	-0.03187	-0.02457	-0.02211	-0.01728	-0.02151	-0.01940	-0.01585	-0.00545	 0.00126	 0.00268	 0.01290	 0.01928	 0.02603	 0.02628	-0.11046	-0.12939	-0.17483	-0.20507	-0.23531	-0.26140	-0.28244	-0.29151	-0.31613	-0.34365	-0.32808	-0.32169	-0.31125	-0.30462	-0.30403	-0.28815	-0.26413	-0.23776	-0.21341	-0.18120	-0.14977	-0.14115	-0.01577	 0.04368	 0.07567	 0.10115	 0.11456	 0.13118	 0.14847	 0.15881	 0.16458	 0.16992	 0.17284	 0.17202	 0.16769	 0.16315	 0.15886	 0.15190	 0.14273	 0.12703	 0.10814	 0.08540	 0.05683	 0.02290	
       0	   9.990	     NaN	     NaN	     NaN	0.027916	  1.3302	     NaN	     NaN	   41.35	   0.000	9.926E+5	   0.084	  505.07	   28.93	   216.0	 1025.40	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98676	 0.97003	 0.95468	 0.93958	 0.92172	 0.90051	 0.88206	 0.85558	 0.82575	 0.79993	 0.77704	 0.75176	 0.73302	 0.71734	 0.70589	 0.69776	 0.70154	 0.70877	 0.72389	 0.74065	 0.75980	 0.78255	 0.81205	 0.83688	 0.86678	 0.88886	 0.91275	 0.93517	 0.95178	 0.96410	 0.97347	 0.98047	 0.98730	 0.99017	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05089	-0.03679	-0.03202	-0.02474	-0.02205	-0.01808	-0.02187	-0.01869	-0.01599	-0.00559	 0.00045	 0.00254	 0.01232	 0.01915	 0.02611	 0.02574	-0.11086	-0.12960	-0.17484	-0.20532	-0.23580	-0.26269	-0.28251	-0.29244	-0.31708	-0.34459	-0.32878	-0.32222	-0.31195	-0.30532	-0.30453	-0.28863	-0.26440	-0.23761	-0.21406	-0.18162	-0.15059	-0.14156	-0.01591	 0.04316	 0.07538	 0.10087	 0.11407	 0.13111	 0.14821	 0.15836	 0.16434	 0.16948	 0.17238	 0.17115	 0.16747	 0.16252	 0.15860	 0.15206	 0.14223	 0.12653	 0.10806	 0.08552	 0.05694	 0.02259	
       0	   9.990	     NaN	     NaN	     NaN	0.029500	  1.3310	     NaN	     NaN	   41.86	   0.000	9.924E+5	   0.084	  504.83	   28.93	   215.9	 1025.40	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98775	 0.96946	 0.95259	 0.93743	 0.92002	 0.89617	 0.86976	 0.84098	 0.80947	 0.78109	 0.75410	 0.73942	 0.72457	 0.70706	 0.69668	 0.68627	 0.68961	 0.69471	 0.71223	 0.72859	 0.75107	 0.77701	 0.80502	 0.82866	 0.85999	 0.88246	 0.90486	 0.92664	 0.94152	 0.95765	 0.96866	 0.97579	 0.98202	 0.98580	 0.99461	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05070	-0.03747	-0.03245	-0.02497	-0.02228	-0.01787	-0.02272	-0.01912	-0.01664	-0.00538	 0.00045	 0.00214	 0.01254	 0.01873	 0.02591	 0.02596	-0.11091	-0.12987	-0.17516	-0.20587	-0.23657	-0.26282	-0.28286	-0.29258	-0.31529	-0.34455	-0.32952	-0.32282	-0.31251	-0.30547	-0.30488	-0.28937	-0.26492	-0.23832	-0.21477	-0.18251	-0.15086	-0.14266	-0.01633	 0.04339	 0.07562	 0.10052	 0.11413	 0.13118	 0.14787	 0.15843	 0.16463	 0.16956	 0.17289	 0.17103	 0.16716	 0.16219	 0.15806	 0.15165	 0.14166	 0.12615	 0.10771	 0.08453	 0.05677	 0.02220	
       0	   9.990	     NaN	     NaN	     NaN	0.027446	  1.3315	     NaN	     NaN	   42.38	   0.000	9.922E+5	   0.084	  504.62	   28.92	   215.8	 1025.39	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98928	 0.97252	 0.95610	 0.93997	 0.92261	 0.89840	 0.87920	 0.85040	 0.82548	 0.79911	 0.77313	 0.75303	 0.73374	 0.71805	 0.70765	 0.69690	 0.70224	 0.71321	 0.72775	 0.74242	 0.76270	 0.78494	 0.81550	 0.84308	 0.87002	 0.89313	 0.91989	 0.94057	 0.95626	 0.97088	 0.98074	 0.98709	 0.99086	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05130	-0.03786	-0.03303	-0.02559	-0.02306	-0.01803	-0.02286	-0.02014	-0.01742	-0.00596	 0.00008	 0.00221	 0.01196	 0.01860	 0.02577	 0.02540	-0.11131	-0.13007	-0.17539	-0.20610	-0.23682	-0.26368	-0.28311	-0.29263	-0.31577	-0.34546	-0.33018	-0.32353	-0.31297	-0.30613	-0.30535	-0.28962	-0.26436	-0.23835	-0.21459	-0.18251	-0.15085	-0.14285	-0.01667	 0.04307	 0.07593	 0.10063	 0.11404	 0.13109	 0.14800	 0.15836	 0.16417	 0.16950	 0.17197	 0.17076	 0.16711	 0.16213	 0.15799	 0.15129	 0.14179	 0.12584	 0.10762	 0.08464	 0.05645	 0.02248	
       0	   9.990	     NaN	     NaN	     NaN	0.027818	  1.3306	     NaN	     NaN	   42.88	   0.000	9.920E+5	   0.084	  504.42	   28.91	   215.7	 1025.39	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99284	 0.97757	 0.96260	 0.94609	 0.92619	 0.90473	 0.88273	 0.85975	 0.83549	 0.80745	 0.77706	 0.75279	 0.73351	 0.71567	 0.70899	 0.70694	 0.70720	 0.71135	 0.72437	 0.73701	 0.75388	 0.77232	 0.80150	 0.82562	 0.85473	 0.87983	 0.90670	 0.93027	 0.94899	 0.96381	 0.97532	 0.98283	 0.98760	 0.99258	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.05111	-0.03810	-0.03284	-0.02516	-0.02287	-0.01868	-0.02309	-0.02080	-0.01701	-0.00619	-0.00015	 0.00179	 0.01196	 0.01839	 0.02514	 0.02499	-0.11157	-0.13034	-0.17476	-0.20572	-0.23669	-0.26338	-0.28281	-0.29317	-0.31634	-0.34518	-0.32972	-0.32345	-0.31310	-0.30626	-0.30568	-0.28974	-0.26527	-0.23845	-0.21488	-0.18299	-0.15091	-0.14229	-0.01668	 0.04288	 0.07513	 0.10006	 0.11367	 0.13070	 0.14744	 0.15739	 0.16363	 0.16916	 0.17183	 0.17082	 0.16698	 0.16239	 0.15846	 0.15184	 0.14162	 0.12546	 0.10745	 0.08467	 0.05606	 0.02189	
