   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	 -10.001	     NaN	     NaN	     NaN	0.149125	 -0.2959	     NaN	     NaN	   78.93	   0.000	9.812E+5	   0.084	  499.92	   28.88	   213.8	 1022.95	   24.09	 1.00000	 1.00000	 1.00000	 1.00000	 0.98242	 0.97125	 0.94861	 0.92432	 0.88657	 0.84305	 0.81392	 0.78517	 0.76629	 0.73422	 0.70572	 0.66952	 0.64333	 0.62160	 0.60624	 0.60056	 0.59231	 0.57739	 0.57710	 0.56021	 0.55489	 0.55033	 0.54119	 0.53614	 0.53700	 0.52932	 0.52741	 0.52567	 0.52447	 0.52426	 0.52569	 0.52785	 0.53085	 0.53555	 0.53801	 0.54393	 0.55082	 0.55545	 0.56563	 0.57421	 0.58326	 0.59215	 0.60475	 0.60816	 0.62154	 0.62960	 0.65282	 0.67178	 0.69418	 0.72034	 0.74699	 0.76674	 0.79752	 0.82265	 0.86649	 0.90487	 0.93357	 0.95927	 0.97542	 0.99158	 1.00000	 1.00000	 1.00000	-0.03237	-0.02823	-0.05418	-0.10959	-0.14095	-0.16330	-0.17196	-0.16217	-0.15397	-0.14286	-0.12513	-0.11323	-0.08594	-0.05312	-0.04357	-0.05957	-0.02496	-0.01438	-0.02807	-0.02923	-0.03038	-0.03645	-0.04548	-0.04658	-0.04997	-0.08288	-0.07430	-0.07484	-0.07387	-0.07655	-0.08798	-0.09130	-0.09436	-0.09549	-0.09528	-0.09193	-0.08723	-0.11108	-0.14720	-0.13819	-0.14922	-0.16239	-0.18664	-0.19930	-0.20188	-0.19882	-0.19358	-0.18462	-0.17284	-0.17207	-0.16991	-0.16291	-0.15021	-0.13429	-0.11504	-0.09955	-0.08309	-0.06928	-0.06268	-0.06536	
       2	  -9.007	     NaN	     NaN	     NaN	0.134174	 -0.2773	     NaN	     NaN	   81.35	   0.000	9.839E+5	   0.084	  502.81	   28.96	   215.0	 1022.94	   24.14	 1.00000	 1.00000	 1.00000	 1.00000	 0.99199	 0.98431	 0.96592	 0.94408	 0.91031	 0.86998	 0.84128	 0.81192	 0.79319	 0.75826	 0.73038	 0.69405	 0.66701	 0.64301	 0.62747	 0.62030	 0.61117	 0.59557	 0.59428	 0.57923	 0.57419	 0.57098	 0.56280	 0.55747	 0.55786	 0.55005	 0.54893	 0.54824	 0.54721	 0.54597	 0.54820	 0.55015	 0.55304	 0.55700	 0.55952	 0.56567	 0.57313	 0.57727	 0.58578	 0.59332	 0.60186	 0.61151	 0.62436	 0.62941	 0.64373	 0.65407	 0.68142	 0.70057	 0.72453	 0.75222	 0.78005	 0.80145	 0.83237	 0.85799	 0.89591	 0.92866	 0.95111	 0.97104	 0.98429	 0.99357	 1.00000	 1.00000	 1.00000	-0.02939	-0.02380	-0.04028	-0.08740	-0.11777	-0.13779	-0.14747	-0.14102	-0.13531	-0.12477	-0.10921	-0.09783	-0.07228	-0.04564	-0.04141	-0.05712	-0.02651	-0.01597	-0.02942	-0.03040	-0.03138	-0.03707	-0.04553	-0.04613	-0.04892	-0.08126	-0.07210	-0.07213	-0.07055	-0.07258	-0.08325	-0.08564	-0.08813	-0.08869	-0.08836	-0.08509	-0.08087	-0.10550	-0.14069	-0.12990	-0.13943	-0.15133	-0.17448	-0.18654	-0.18923	-0.18654	-0.18186	-0.17360	-0.16264	-0.16228	-0.16078	-0.15467	-0.14298	-0.12809	-0.11005	-0.09581	-0.08046	-0.06766	-0.06189	-0.06523	
       3	  -8.006	     NaN	     NaN	     NaN	0.120815	 -0.2630	     NaN	     NaN	   78.79	   0.000	9.864E+5	   0.084	  505.54	   29.04	   216.2	 1022.92	   24.17	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99223	 0.97872	 0.96162	 0.92930	 0.89276	 0.86850	 0.84351	 0.82815	 0.79686	 0.77061	 0.73624	 0.70826	 0.68356	 0.66717	 0.65983	 0.64877	 0.63133	 0.62856	 0.61231	 0.60455	 0.59794	 0.58771	 0.58223	 0.58178	 0.57386	 0.57204	 0.56999	 0.56797	 0.56689	 0.56933	 0.57077	 0.57274	 0.57635	 0.57934	 0.58508	 0.59304	 0.59795	 0.60733	 0.61547	 0.62443	 0.63399	 0.64648	 0.65117	 0.66397	 0.67382	 0.69895	 0.71907	 0.74323	 0.77092	 0.79978	 0.81928	 0.84790	 0.87171	 0.90922	 0.93958	 0.96057	 0.97865	 0.98978	 1.00000	 1.00000	 1.00000	 1.00000	-0.02526	-0.01955	-0.03004	-0.06820	-0.09618	-0.11564	-0.12596	-0.12335	-0.11847	-0.11141	-0.09800	-0.08758	-0.06417	-0.04129	-0.03829	-0.05350	-0.02590	-0.01541	-0.02870	-0.02935	-0.03000	-0.03518	-0.04318	-0.04313	-0.04544	-0.07692	-0.06735	-0.06694	-0.06470	-0.06620	-0.07615	-0.07775	-0.07972	-0.08005	-0.07964	-0.07697	-0.07364	-0.09904	-0.13355	-0.12106	-0.12890	-0.13941	-0.16143	-0.17301	-0.17574	-0.17351	-0.16930	-0.16173	-0.15149	-0.15165	-0.15074	-0.14544	-0.13480	-0.12105	-0.10408	-0.09092	-0.07662	-0.06465	-0.05966	-0.06355	
       4	  -7.002	     NaN	     NaN	     NaN	0.108410	 -0.2466	     NaN	     NaN	   81.14	   0.000	9.888E+5	   0.084	  508.14	   29.12	   217.3	 1022.92	   24.20	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98584	 0.97275	 0.94508	 0.91071	 0.88775	 0.86302	 0.84829	 0.81633	 0.78983	 0.75432	 0.72725	 0.70253	 0.68592	 0.67861	 0.66849	 0.65207	 0.65026	 0.63639	 0.62965	 0.62534	 0.61699	 0.61261	 0.61311	 0.60486	 0.60398	 0.60214	 0.60059	 0.59982	 0.60265	 0.60370	 0.60684	 0.61131	 0.61402	 0.61970	 0.62777	 0.63263	 0.64095	 0.64846	 0.65665	 0.66655	 0.67985	 0.68577	 0.69767	 0.70701	 0.73124	 0.75147	 0.77504	 0.80085	 0.82738	 0.84583	 0.87246	 0.89364	 0.92704	 0.95323	 0.97061	 0.98523	 0.99314	 1.00000	 1.00000	 1.00000	 1.00000	-0.02249	-0.01717	-0.02411	-0.05580	-0.08200	-0.10059	-0.11135	-0.10799	-0.10531	-0.09911	-0.08788	-0.07929	-0.05837	-0.03932	-0.03643	-0.05095	-0.02701	-0.01653	-0.02953	-0.02992	-0.03030	-0.03521	-0.04260	-0.04202	-0.04377	-0.07457	-0.06448	-0.06364	-0.06098	-0.06184	-0.07109	-0.07211	-0.07342	-0.07343	-0.07288	-0.07057	-0.06756	-0.09354	-0.12726	-0.11326	-0.11962	-0.12912	-0.15000	-0.16097	-0.16367	-0.16176	-0.15823	-0.15120	-0.14163	-0.14229	-0.14198	-0.13755	-0.12771	-0.11501	-0.09925	-0.08716	-0.07397	-0.06281	-0.05856	-0.06300	
       5	  -5.998	     NaN	     NaN	     NaN	0.098289	 -0.2288	     NaN	     NaN	   78.63	   0.000	9.913E+5	   0.084	  510.82	   29.20	   218.5	 1022.92	   24.22	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99288	 0.98387	 0.96078	 0.93102	 0.90933	 0.88399	 0.86902	 0.83756	 0.81078	 0.77520	 0.74840	 0.72440	 0.70919	 0.70269	 0.69224	 0.67527	 0.67308	 0.65884	 0.65090	 0.64604	 0.63701	 0.63234	 0.63225	 0.62510	 0.62428	 0.62284	 0.62291	 0.62310	 0.62710	 0.62739	 0.63004	 0.63470	 0.63904	 0.64488	 0.65281	 0.65779	 0.66609	 0.67427	 0.68230	 0.69306	 0.70677	 0.71214	 0.72334	 0.73304	 0.75745	 0.77608	 0.79860	 0.82212	 0.84662	 0.86482	 0.89067	 0.91025	 0.93970	 0.96102	 0.97526	 0.98719	 0.99393	 1.00000	 1.00000	 1.00000	 1.00000	-0.01940	-0.01458	-0.01999	-0.04387	-0.06645	-0.08393	-0.09610	-0.09404	-0.09266	-0.08619	-0.07585	-0.06900	-0.05053	-0.03505	-0.03359	-0.04749	-0.02695	-0.01658	-0.02957	-0.02972	-0.02986	-0.03442	-0.04127	-0.04019	-0.04169	-0.07164	-0.06121	-0.05990	-0.05675	-0.05713	-0.06572	-0.06622	-0.06707	-0.06686	-0.06626	-0.06440	-0.06208	-0.08863	-0.12085	-0.10531	-0.11000	-0.11825	-0.13801	-0.14844	-0.15103	-0.14941	-0.14631	-0.13990	-0.13091	-0.13205	-0.13233	-0.12865	-0.11974	-0.10813	-0.09343	-0.08243	-0.07021	-0.06008	-0.05654	-0.06149	
       6	  -5.000	     NaN	     NaN	     NaN	0.087168	 -0.2065	     NaN	     NaN	   81.37	   0.000	9.936E+5	   0.085	  513.27	   29.27	   219.5	 1022.92	   24.25	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98874	 0.96974	 0.94414	 0.92449	 0.90103	 0.88757	 0.85801	 0.83283	 0.80020	 0.77380	 0.75029	 0.73560	 0.72824	 0.71771	 0.70143	 0.69962	 0.68609	 0.67812	 0.67298	 0.66413	 0.65878	 0.65797	 0.64965	 0.64864	 0.64741	 0.64641	 0.64639	 0.65162	 0.65281	 0.65660	 0.66135	 0.66723	 0.67308	 0.68220	 0.68778	 0.69677	 0.70582	 0.71473	 0.72534	 0.73889	 0.74462	 0.75684	 0.76676	 0.79102	 0.80960	 0.83030	 0.85196	 0.87395	 0.88907	 0.91188	 0.92857	 0.95282	 0.97135	 0.98313	 0.99225	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01744	-0.01300	-0.01715	-0.03603	-0.05617	-0.07179	-0.08434	-0.08391	-0.08329	-0.07791	-0.06724	-0.05998	-0.04260	-0.03212	-0.03140	-0.04468	-0.02807	-0.01781	-0.03079	-0.03083	-0.03087	-0.03507	-0.04163	-0.04005	-0.04119	-0.07061	-0.05975	-0.05810	-0.05453	-0.05439	-0.06240	-0.06231	-0.06280	-0.06220	-0.06133	-0.05965	-0.05748	-0.08439	-0.11488	-0.09769	-0.10093	-0.10788	-0.12667	-0.13635	-0.13882	-0.13750	-0.13470	-0.12888	-0.12059	-0.12201	-0.12285	-0.11991	-0.11193	-0.10133	-0.08780	-0.07801	-0.06691	-0.05776	-0.05496	-0.06059	
       7	  -4.003	     NaN	     NaN	     NaN	0.076881	 -0.1777	     NaN	     NaN	   78.90	   0.000	9.960E+5	   0.085	  515.79	   29.34	   220.6	 1022.94	   24.26	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98071	 0.95763	 0.93935	 0.91690	 0.90425	 0.87574	 0.85119	 0.81918	 0.79294	 0.77026	 0.75500	 0.74696	 0.73589	 0.71822	 0.71629	 0.70267	 0.69515	 0.69075	 0.68310	 0.67904	 0.68038	 0.67341	 0.67338	 0.67362	 0.67327	 0.67359	 0.67956	 0.68189	 0.68646	 0.69175	 0.69812	 0.70388	 0.71283	 0.71843	 0.72789	 0.73761	 0.74723	 0.75761	 0.77179	 0.77821	 0.78984	 0.80043	 0.82404	 0.84204	 0.86223	 0.88205	 0.90064	 0.91374	 0.93284	 0.94739	 0.96649	 0.98100	 0.98857	 0.99451	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01666	-0.01244	-0.01604	-0.02950	-0.04698	-0.06056	-0.07253	-0.07278	-0.07297	-0.06754	-0.05903	-0.05281	-0.03737	-0.02996	-0.02959	-0.04214	-0.02984	-0.01980	-0.03280	-0.03288	-0.03296	-0.03699	-0.04309	-0.04122	-0.04197	-0.07103	-0.05973	-0.05771	-0.05382	-0.05316	-0.06073	-0.06009	-0.06007	-0.05918	-0.05827	-0.05674	-0.05500	-0.08206	-0.10934	-0.09037	-0.09203	-0.09753	-0.11510	-0.12398	-0.12614	-0.12497	-0.12255	-0.11720	-0.10954	-0.11138	-0.11274	-0.11060	-0.10360	-0.09406	-0.08171	-0.07318	-0.06326	-0.05524	-0.05336	-0.05980	
       8	  -2.999	     NaN	     NaN	     NaN	0.068221	 -0.1367	     NaN	     NaN	   81.23	   0.000	9.980E+5	   0.085	  517.97	   29.40	   221.5	 1022.94	   24.27	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98930	 0.97295	 0.95806	 0.93769	 0.92706	 0.89955	 0.87409	 0.84087	 0.81434	 0.79057	 0.77566	 0.76823	 0.75885	 0.74183	 0.73947	 0.72629	 0.71965	 0.71552	 0.70783	 0.70368	 0.70482	 0.69833	 0.69896	 0.69934	 0.70007	 0.70096	 0.70633	 0.70839	 0.71321	 0.71914	 0.72655	 0.73266	 0.74147	 0.74667	 0.75596	 0.76529	 0.77389	 0.78382	 0.79682	 0.80279	 0.81354	 0.82294	 0.84534	 0.86126	 0.87996	 0.89869	 0.91696	 0.92767	 0.94364	 0.95542	 0.97232	 0.98435	 0.99071	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01570	-0.01179	-0.01506	-0.02422	-0.03884	-0.05139	-0.06331	-0.06488	-0.06630	-0.06145	-0.05220	-0.04748	-0.03352	-0.02764	-0.02675	-0.03841	-0.03170	-0.02205	-0.03531	-0.03558	-0.03585	-0.03979	-0.04581	-0.04368	-0.04418	-0.07298	-0.06132	-0.05902	-0.05470	-0.05359	-0.06045	-0.05943	-0.05881	-0.05748	-0.05624	-0.05441	-0.05251	-0.07929	-0.10225	-0.08122	-0.08098	-0.08481	-0.10088	-0.10872	-0.11051	-0.10936	-0.10736	-0.10259	-0.09553	-0.09780	-0.09974	-0.09849	-0.09256	-0.08430	-0.07342	-0.06627	-0.05786	-0.05123	-0.05060	-0.05795	
       9	  -1.994	     NaN	     NaN	     NaN	0.058947	 -0.0615	     NaN	     NaN	   79.06	   0.000	1.000E+6	   0.085	  520.36	   29.47	   222.5	 1022.94	   24.29	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99325	 0.98408	 0.96897	 0.96277	 0.93814	 0.91575	 0.88389	 0.85617	 0.82830	 0.81151	 0.80228	 0.79058	 0.77200	 0.76929	 0.75467	 0.74631	 0.74012	 0.73103	 0.72576	 0.72552	 0.71807	 0.71833	 0.71813	 0.71865	 0.71888	 0.72376	 0.72495	 0.72921	 0.73466	 0.74060	 0.74740	 0.75645	 0.76228	 0.77173	 0.78085	 0.79052	 0.80149	 0.81520	 0.82078	 0.83087	 0.84009	 0.86117	 0.87665	 0.89475	 0.91365	 0.93056	 0.94081	 0.95581	 0.96607	 0.98020	 0.98913	 0.99317	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01626	-0.01220	-0.01499	-0.01924	-0.02993	-0.04053	-0.05288	-0.05492	-0.05711	-0.05195	-0.04355	-0.03952	-0.02715	-0.02314	-0.02226	-0.03295	-0.03502	-0.02632	-0.04058	-0.04173	-0.04288	-0.04734	-0.05361	-0.05151	-0.05224	-0.08133	-0.06922	-0.06660	-0.06190	-0.06039	-0.06678	-0.06514	-0.06367	-0.06135	-0.05953	-0.05655	-0.05407	-0.07959	-0.09396	-0.07003	-0.06706	-0.06859	-0.08255	-0.08884	-0.08960	-0.08829	-0.08638	-0.08201	-0.07594	-0.07841	-0.08092	-0.08057	-0.07597	-0.06921	-0.06016	-0.05488	-0.04860	-0.04399	-0.04518	-0.05411	
