   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpl_001	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	  100.00	       /	       /	       /
       1	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
       2	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
       3	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
       4	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
       5	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
       6	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
       7	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
       8	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	Wake not in center of rake!; 
       9	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      10	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      11	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      12	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      13	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      14	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      15	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      16	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      17	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      18	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      19	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      20	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      21	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      22	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
      23	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	NaN	     NaN	     NaN	     NaN	   0.000		     NaN	     NaN	     NaN	
