   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	  10.004	     NaN	     NaN	     NaN	0.031608	  1.3517	     NaN	     NaN	   79.22	   0.000	4.863E+5	   0.041	  121.34	   14.18	    52.0	 1025.34	   22.97	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98642	 0.97743	 0.96780	 0.95415	 0.93654	 0.91915	 0.89184	 0.86787	 0.84220	 0.81287	 0.78509	 0.75793	 0.73512	 0.71330	 0.69426	 0.68295	 0.67502	 0.67534	 0.67961	 0.69211	 0.70452	 0.72784	 0.74971	 0.77792	 0.80456	 0.83310	 0.86225	 0.88850	 0.91145	 0.93377	 0.95179	 0.96158	 0.97500	 0.98724	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.07738	-0.06351	-0.05642	-0.05024	-0.04825	-0.04190	-0.04583	-0.04622	-0.04357	-0.03519	-0.02572	-0.02450	-0.01208	-0.00471	 0.00030	-0.00050	-0.13520	-0.15413	-0.20254	-0.23364	-0.26473	-0.29070	-0.31238	-0.32418	-0.34150	-0.37265	-0.36051	-0.35393	-0.34319	-0.33676	-0.33563	-0.31984	-0.29365	-0.26936	-0.24587	-0.21252	-0.18123	-0.17689	-0.04740	 0.01589	 0.04818	 0.07274	 0.08862	 0.10552	 0.12293	 0.13447	 0.14106	 0.14580	 0.14743	 0.14722	 0.14547	 0.14154	 0.13705	 0.12976	 0.11996	 0.10563	 0.08745	 0.06397	 0.03419	 0.00025	
       2	  10.998	     NaN	     NaN	     NaN	0.035587	  1.4168	     NaN	     NaN	   80.96	   0.000	5.088E+5	   0.043	  132.73	   14.83	    56.9	 1025.34	   22.91	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97989	 0.97011	 0.96002	 0.94672	 0.93015	 0.91401	 0.89013	 0.86893	 0.84574	 0.81896	 0.79448	 0.76957	 0.74803	 0.72687	 0.70724	 0.69179	 0.68019	 0.67282	 0.67171	 0.67528	 0.67988	 0.69373	 0.70764	 0.72843	 0.74959	 0.77476	 0.80173	 0.82795	 0.85410	 0.88024	 0.90291	 0.92008	 0.93960	 0.96801	 0.98213	 0.99079	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.07856	-0.06409	-0.05708	-0.05018	-0.04757	-0.04188	-0.04656	-0.04831	-0.04576	-0.03934	-0.02631	-0.02332	-0.01069	-0.00300	 0.00246	 0.00199	-0.13740	-0.15807	-0.20805	-0.24120	-0.27435	-0.30209	-0.32496	-0.33747	-0.35559	-0.38793	-0.37521	-0.36832	-0.35725	-0.35013	-0.34871	-0.33199	-0.30459	-0.27833	-0.25326	-0.21813	-0.18479	-0.17786	-0.04425	 0.01991	 0.05375	 0.07929	 0.09593	 0.11380	 0.13197	 0.14387	 0.15085	 0.15585	 0.15772	 0.15769	 0.15520	 0.15190	 0.14745	 0.14013	 0.12993	 0.11486	 0.09527	 0.07087	 0.04096	 0.00612	
       3	  11.196	     NaN	     NaN	     NaN	0.036905	  1.4284	     NaN	     NaN	   78.36	   0.000	4.896E+5	   0.041	  122.89	   14.27	    52.6	 1025.33	   22.88	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99045	 0.97434	 0.96383	 0.95254	 0.93825	 0.92162	 0.90584	 0.88216	 0.86175	 0.83982	 0.81451	 0.79057	 0.76606	 0.74565	 0.72467	 0.70507	 0.69112	 0.67895	 0.67213	 0.67004	 0.67262	 0.67609	 0.68989	 0.70293	 0.72221	 0.74249	 0.76617	 0.79212	 0.81860	 0.84423	 0.87117	 0.89517	 0.91189	 0.93258	 0.96188	 0.97826	 0.98863	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.07932	-0.06474	-0.05722	-0.05054	-0.04778	-0.04241	-0.04728	-0.04919	-0.04690	-0.04091	-0.02701	-0.02369	-0.01080	-0.00313	 0.00221	 0.00169	-0.13849	-0.15956	-0.21021	-0.24366	-0.27710	-0.30513	-0.32818	-0.34089	-0.35900	-0.39180	-0.37896	-0.37207	-0.36103	-0.35395	-0.35248	-0.33531	-0.30777	-0.28136	-0.25624	-0.22074	-0.18756	-0.18038	-0.04477	 0.01908	 0.05329	 0.07867	 0.09570	 0.11351	 0.13220	 0.14398	 0.15117	 0.15632	 0.15807	 0.15795	 0.15573	 0.15257	 0.14797	 0.14059	 0.13040	 0.11553	 0.09557	 0.07183	 0.04080	 0.00606	
       4	  11.401	     NaN	     NaN	     NaN	0.037779	  1.4356	     NaN	     NaN	   80.85	   0.000	5.029E+5	   0.042	  129.63	   14.66	    55.5	 1025.34	   22.85	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98891	 0.97221	 0.96127	 0.94963	 0.93513	 0.91741	 0.90140	 0.87764	 0.85790	 0.83675	 0.81150	 0.78747	 0.76359	 0.74399	 0.72388	 0.70447	 0.69005	 0.67873	 0.67172	 0.67052	 0.67307	 0.67558	 0.68755	 0.69940	 0.71787	 0.73613	 0.75806	 0.78437	 0.81016	 0.83577	 0.86251	 0.88594	 0.90354	 0.92471	 0.95687	 0.97452	 0.98594	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.07923	-0.06451	-0.05709	-0.05041	-0.04853	-0.04231	-0.04783	-0.04971	-0.04710	-0.04161	-0.02730	-0.02332	-0.01051	-0.00278	 0.00251	 0.00224	-0.13807	-0.15934	-0.20997	-0.24376	-0.27755	-0.30583	-0.32890	-0.34193	-0.36004	-0.39284	-0.38007	-0.37321	-0.36203	-0.35487	-0.35324	-0.33628	-0.30852	-0.28177	-0.25632	-0.22053	-0.18673	-0.17912	-0.04394	 0.02032	 0.05448	 0.08023	 0.09712	 0.11517	 0.13356	 0.14578	 0.15296	 0.15806	 0.15973	 0.15993	 0.15770	 0.15451	 0.14982	 0.14248	 0.13247	 0.11725	 0.09734	 0.07283	 0.04256	 0.00758	
       5	  11.596	     NaN	     NaN	     NaN	0.039648	  1.4450	     NaN	     NaN	   79.98	   0.000	5.025E+5	   0.042	  129.39	   14.64	    55.4	 1025.35	   22.81	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98191	 0.96171	 0.94942	 0.93659	 0.92224	 0.90484	 0.88828	 0.86459	 0.84393	 0.82267	 0.79817	 0.77584	 0.75414	 0.73536	 0.71592	 0.69755	 0.68531	 0.67443	 0.66773	 0.66602	 0.66878	 0.67140	 0.68300	 0.69498	 0.71257	 0.73198	 0.75359	 0.77855	 0.80333	 0.82794	 0.85365	 0.87650	 0.89454	 0.91618	 0.94840	 0.96780	 0.98196	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.07930	-0.06468	-0.05713	-0.05042	-0.04758	-0.04237	-0.04825	-0.05061	-0.04795	-0.04301	-0.02833	-0.02320	-0.01031	-0.00260	 0.00305	 0.00255	-0.13814	-0.15969	-0.21073	-0.24469	-0.27866	-0.30724	-0.33060	-0.34361	-0.36191	-0.39497	-0.38213	-0.37528	-0.36452	-0.35703	-0.35542	-0.33842	-0.31033	-0.28362	-0.25796	-0.22212	-0.18854	-0.18103	-0.04385	 0.02042	 0.05477	 0.08060	 0.09751	 0.11583	 0.13442	 0.14666	 0.15397	 0.15887	 0.16096	 0.16113	 0.15888	 0.15570	 0.15106	 0.14380	 0.13379	 0.11854	 0.09854	 0.07390	 0.04366	 0.00860	
       6	  11.797	     NaN	     NaN	     NaN	0.042268	  1.4490	     NaN	     NaN	   80.77	   0.000	5.024E+5	   0.042	  129.30	   14.64	    55.4	 1025.35	   22.80	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99051	 0.98187	 0.96728	 0.94148	 0.92699	 0.91251	 0.89594	 0.87737	 0.86086	 0.83773	 0.81920	 0.79926	 0.77724	 0.75738	 0.73803	 0.72235	 0.70622	 0.69026	 0.67972	 0.67079	 0.66706	 0.66634	 0.66978	 0.67295	 0.68500	 0.69690	 0.71390	 0.73165	 0.75193	 0.77699	 0.80117	 0.82394	 0.84876	 0.87193	 0.88920	 0.90998	 0.94257	 0.96284	 0.97849	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.07919	-0.06458	-0.05716	-0.05007	-0.04727	-0.04279	-0.04923	-0.05170	-0.04947	-0.04432	-0.02888	-0.02313	-0.01009	-0.00238	 0.00324	 0.00271	-0.13780	-0.15944	-0.21061	-0.24484	-0.27906	-0.30788	-0.33140	-0.34443	-0.36260	-0.39604	-0.38335	-0.37648	-0.36538	-0.35817	-0.35648	-0.33950	-0.31134	-0.28412	-0.25831	-0.22225	-0.18814	-0.18021	-0.04380	 0.02080	 0.05492	 0.08084	 0.09760	 0.11611	 0.13483	 0.14707	 0.15448	 0.15964	 0.16174	 0.16183	 0.15955	 0.15640	 0.15199	 0.14487	 0.13470	 0.11953	 0.09953	 0.07493	 0.04469	 0.00958	
       7	  12.002	     NaN	     NaN	     NaN	0.000343	  1.2147	     NaN	     NaN	   40.00	   0.000	4.946E+5	   0.042	  125.28	   14.41	    53.7	 1025.38	   22.78	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98613	-0.17329	-0.16642	-0.16561	-0.16535	-0.16508	-0.16110	-0.15914	-0.15493	-0.15294	-0.14896	-0.14527	-0.14493	-0.13229	-0.12630	-0.12674	-0.14808	-0.12382	-0.14037	-0.18599	-0.21593	-0.24587	-0.27245	-0.29565	-0.31017	-0.32984	-0.36393	-0.35535	-0.35151	-0.34446	-0.34229	-0.34634	-0.33483	-0.31277	-0.29085	-0.26812	-0.23375	-0.20112	-0.20228	-0.08424	-0.02651	 0.00181	 0.02380	 0.03818	 0.05476	 0.07247	 0.08534	 0.09429	 0.10059	 0.10404	 0.10520	 0.10500	 0.10318	 0.10150	 0.09706	 0.09134	 0.08113	 0.06623	 0.04769	 0.02216	-0.00780	
       8	  12.197	     NaN	     NaN	     NaN	0.000387	  1.1929	     NaN	     NaN	   40.00	   0.000	4.941E+5	   0.042	  125.06	   14.39	    53.6	 1025.38	   22.78	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98434	-0.17452	-0.16759	-0.16655	-0.16604	-0.16612	-0.16152	-0.16000	-0.15579	-0.15362	-0.14919	-0.14576	-0.14553	-0.13334	-0.12747	-0.13347	-0.14881	-0.12265	-0.13911	-0.18497	-0.21405	-0.24313	-0.26991	-0.29322	-0.30768	-0.32707	-0.36140	-0.35358	-0.35001	-0.34297	-0.34118	-0.34584	-0.33495	-0.31404	-0.29235	-0.26966	-0.23530	-0.20301	-0.20410	-0.08814	-0.03137	-0.00402	 0.01751	 0.03134	 0.04746	 0.06559	 0.07823	 0.08695	 0.09396	 0.09834	 0.09887	 0.09924	 0.09723	 0.09610	 0.09280	 0.08710	 0.07696	 0.06290	 0.04513	 0.01993	-0.00943	
       9	  12.409	     NaN	     NaN	     NaN	0.000969	  1.1877	     NaN	     NaN	   40.00	   0.000	4.929E+5	   0.042	  124.44	   14.36	    53.3	 1025.38	   22.78	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98896	 0.98286	-0.17784	-0.17053	-0.16970	-0.16956	-0.16936	-0.16440	-0.16277	-0.15867	-0.15656	-0.15169	-0.14860	-0.14849	-0.13587	-0.13039	-0.13548	-0.15313	-0.12270	-0.13860	-0.18434	-0.21342	-0.24250	-0.26954	-0.29297	-0.30764	-0.32727	-0.36233	-0.35462	-0.35176	-0.34502	-0.34368	-0.34865	-0.33838	-0.31727	-0.29619	-0.27362	-0.23922	-0.20615	-0.20788	-0.09195	-0.03484	-0.00820	 0.01313	 0.02681	 0.04332	 0.06126	 0.07458	 0.08326	 0.09038	 0.09451	 0.09572	 0.09545	 0.09441	 0.09361	 0.09040	 0.08498	 0.07527	 0.06172	 0.04376	 0.01973	-0.01014	
