   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16	 Cpwu_01	 Cpwu_02	 Cpwu_03	 Cpwu_04	 Cpwu_05	 Cpwu_06	 Cpwu_07	 Cpwu_08	 Cpwu_09	 Cpwu_10	 Cpwu_11	 Cpwu_12	 Cpwu_13	 Cpwu_14	 Cpwu_15	 Cpwu_16	 Cpwu_17	 Cpwu_18	 Cpwu_19	 Cpwu_20	 Cpwu_21	 Cpwu_22	 Cpwl_01	 Cpwl_02	 Cpwl_03	 Cpwl_04	 Cpwl_05	 Cpwl_06	 Cpwl_07	 Cpwl_08	 Cpwl_09	 Cpwl_10	 Cpwl_11	 Cpwl_12	 Cpwl_13	 Cpwl_14	 Cpwl_15	 Cpwl_16	 Cpwl_17	 Cpwl_18	 Cpwl_19	 Cpwl_20	 Cpwl_21	 Cpwl_22
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00	    0.00	  178.00	  333.00	  468.00	  585.00	  685.00	  775.00	  851.00	  918.00	  975.00	 1025.00	 1070.00	 1120.00	 1177.00	 1244.00	 1320.00	 1410.00	 1510.00	 1627.00	 1762.00	 1917.00	 2095.00
       1	 -10.001	     NaN	     NaN	     NaN	0.147338	 -0.2937	     NaN	     NaN	   79.09	   0.000	5.071E+5	   0.043	  131.92	   14.79	    56.5	 1025.49	   23.00	 1.00000	 1.00000	 1.00000	 1.00000	 0.98758	 0.97466	 0.95840	 0.92899	 0.89790	 0.85857	 0.83539	 0.81180	 0.78540	 0.76082	 0.73141	 0.70416	 0.67707	 0.64685	 0.63109	 0.61974	 0.60903	 0.59966	 0.58971	 0.57385	 0.56874	 0.56065	 0.55153	 0.54629	 0.54076	 0.53963	 0.53421	 0.53055	 0.53055	 0.52957	 0.52702	 0.53059	 0.53457	 0.53722	 0.53961	 0.54486	 0.55009	 0.55505	 0.56095	 0.56813	 0.57775	 0.58510	 0.59562	 0.60498	 0.61477	 0.62584	 0.64753	 0.66649	 0.69269	 0.71898	 0.74275	 0.76433	 0.79698	 0.81959	 0.86057	 0.89969	 0.92983	 0.95532	 0.97516	 1.00000	 1.00000	 1.00000	 1.00000	-0.05120	-0.04405	-0.06574	-0.12431	-0.15921	-0.18179	-0.19530	-0.18911	-0.17840	-0.16525	-0.14807	-0.13493	-0.10592	-0.06922	-0.06170	-0.07696	-0.03854	-0.02911	-0.04793	-0.04829	-0.04865	-0.05291	-0.05969	-0.06150	-0.06383	-0.10597	-0.09836	-0.09712	-0.09524	-0.09802	-0.10966	-0.11175	-0.11384	-0.11727	-0.11663	-0.11231	-0.10711	-0.13397	-0.17073	-0.15673	-0.16926	-0.18534	-0.20476	-0.21950	-0.22025	-0.21753	-0.21311	-0.20453	-0.19539	-0.19313	-0.18856	-0.18180	-0.16756	-0.15153	-0.13352	-0.11649	-0.09907	-0.08515	-0.07890	-0.07989	
       2	  -9.007	     NaN	     NaN	     NaN	0.134279	 -0.2702	     NaN	     NaN	   81.24	   0.000	4.881E+5	   0.041	  122.22	   14.23	    52.4	 1025.48	   23.00	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98278	 0.97197	 0.94761	 0.92098	 0.87658	 0.85357	 0.82942	 0.79982	 0.77368	 0.74293	 0.71080	 0.68151	 0.65158	 0.63594	 0.62389	 0.61335	 0.60481	 0.59553	 0.58286	 0.57780	 0.56955	 0.56277	 0.55907	 0.55335	 0.55368	 0.54949	 0.54517	 0.54501	 0.54413	 0.54330	 0.54788	 0.55135	 0.55352	 0.55815	 0.56490	 0.57293	 0.57820	 0.58575	 0.59289	 0.60280	 0.61203	 0.62529	 0.63617	 0.64468	 0.65580	 0.67900	 0.70034	 0.72463	 0.74942	 0.77123	 0.79335	 0.82400	 0.84823	 0.88805	 0.92301	 0.94923	 0.96885	 0.98513	 1.00000	 1.00000	 1.00000	 1.00000	-0.04739	-0.03918	-0.05206	-0.10096	-0.13498	-0.15805	-0.16802	-0.16192	-0.15530	-0.14491	-0.12590	-0.11263	-0.08678	-0.05929	-0.05714	-0.07345	-0.03978	-0.03030	-0.04902	-0.04927	-0.04952	-0.05342	-0.05962	-0.06106	-0.06303	-0.10416	-0.09636	-0.09457	-0.09212	-0.09424	-0.10487	-0.10620	-0.10757	-0.11026	-0.10933	-0.10493	-0.09994	-0.12744	-0.16305	-0.14720	-0.15791	-0.17265	-0.19079	-0.20495	-0.20574	-0.20334	-0.19949	-0.19185	-0.18335	-0.18162	-0.17773	-0.17177	-0.15858	-0.14405	-0.12718	-0.11133	-0.09511	-0.08238	-0.07705	-0.07894	
       3	  -8.003	     NaN	     NaN	     NaN	0.119345	 -0.2526	     NaN	     NaN	   78.92	   0.000	4.894E+5	   0.041	  122.89	   14.27	    52.7	 1025.48	   22.99	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99022	 0.98293	 0.96257	 0.93476	 0.89966	 0.87875	 0.85657	 0.83029	 0.80649	 0.77664	 0.74771	 0.72207	 0.69089	 0.67626	 0.66483	 0.65326	 0.64487	 0.63536	 0.62221	 0.61488	 0.60694	 0.59932	 0.59320	 0.58628	 0.58538	 0.58058	 0.57602	 0.57640	 0.57502	 0.57431	 0.57769	 0.58107	 0.58377	 0.58856	 0.59500	 0.60278	 0.61047	 0.61855	 0.62785	 0.63720	 0.64731	 0.65943	 0.67033	 0.67738	 0.68876	 0.70983	 0.73037	 0.75333	 0.77756	 0.80086	 0.82181	 0.85059	 0.87270	 0.90724	 0.93788	 0.95797	 0.97344	 0.98641	 1.00000	 1.00000	 1.00000	 1.00000	-0.04385	-0.03582	-0.04336	-0.08313	-0.11410	-0.13347	-0.14673	-0.14184	-0.13653	-0.12893	-0.11505	-0.10248	-0.07810	-0.05429	-0.05471	-0.07020	-0.03953	-0.02994	-0.04868	-0.04873	-0.04878	-0.05221	-0.05805	-0.05892	-0.06035	-0.10086	-0.09244	-0.09005	-0.08700	-0.08861	-0.09866	-0.09913	-0.09986	-0.10232	-0.10154	-0.09780	-0.09385	-0.12167	-0.15607	-0.13874	-0.14759	-0.16102	-0.17782	-0.19137	-0.19219	-0.18982	-0.18674	-0.17960	-0.17182	-0.17075	-0.16737	-0.16211	-0.14998	-0.13635	-0.12081	-0.10627	-0.09105	-0.07913	-0.07487	-0.07722	
       4	  -6.998	     NaN	     NaN	     NaN	0.107430	 -0.2350	     NaN	     NaN	   81.18	   0.000	4.907E+5	   0.041	  123.52	   14.31	    52.9	 1025.49	   22.98	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97438	 0.95173	 0.91699	 0.89768	 0.87584	 0.85163	 0.82871	 0.80166	 0.77235	 0.74431	 0.71462	 0.70044	 0.68969	 0.67992	 0.67077	 0.66044	 0.64782	 0.64187	 0.63424	 0.62543	 0.61985	 0.61343	 0.61210	 0.60731	 0.60395	 0.60476	 0.60347	 0.60270	 0.60462	 0.60816	 0.61079	 0.61611	 0.62149	 0.62829	 0.63435	 0.64085	 0.64975	 0.65863	 0.66654	 0.67682	 0.68868	 0.69682	 0.70914	 0.72928	 0.75030	 0.77296	 0.79587	 0.81928	 0.84240	 0.87127	 0.89165	 0.92388	 0.95224	 0.96981	 0.98282	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.04041	-0.03278	-0.03718	-0.06941	-0.09660	-0.11596	-0.13078	-0.12887	-0.12420	-0.11780	-0.10638	-0.09439	-0.07121	-0.05152	-0.05229	-0.06681	-0.04005	-0.03077	-0.04934	-0.04901	-0.04868	-0.05197	-0.05717	-0.05749	-0.05820	-0.09789	-0.08947	-0.08642	-0.08308	-0.08386	-0.09304	-0.09304	-0.09344	-0.09542	-0.09404	-0.09050	-0.08697	-0.11551	-0.14905	-0.12933	-0.13758	-0.14956	-0.16615	-0.17874	-0.17948	-0.17755	-0.17488	-0.16840	-0.16112	-0.16038	-0.15771	-0.15359	-0.14212	-0.12974	-0.11525	-0.10178	-0.08772	-0.07683	-0.07311	-0.07607	
       5	  -5.998	     NaN	     NaN	     NaN	0.096601	 -0.2131	     NaN	     NaN	   78.73	   0.000	4.920E+5	   0.042	  124.19	   14.35	    53.2	 1025.49	   22.98	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98403	 0.96622	 0.93356	 0.91615	 0.89523	 0.87073	 0.84726	 0.82111	 0.79162	 0.76508	 0.73353	 0.71968	 0.70755	 0.69618	 0.68660	 0.67681	 0.66498	 0.65884	 0.65199	 0.64517	 0.64056	 0.63490	 0.63351	 0.63064	 0.62690	 0.62755	 0.62632	 0.62705	 0.63116	 0.63638	 0.63863	 0.64408	 0.65047	 0.65676	 0.66371	 0.67084	 0.68059	 0.69024	 0.69827	 0.71007	 0.72097	 0.72725	 0.73832	 0.75906	 0.77896	 0.80317	 0.82873	 0.85168	 0.87051	 0.89542	 0.91147	 0.93871	 0.96042	 0.97584	 0.98639	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03931	-0.03205	-0.03416	-0.05921	-0.08202	-0.09785	-0.11103	-0.11058	-0.10810	-0.10458	-0.09452	-0.08562	-0.06578	-0.04872	-0.05123	-0.06507	-0.04208	-0.03282	-0.05134	-0.05098	-0.05062	-0.05340	-0.05802	-0.05810	-0.05856	-0.09739	-0.08831	-0.08523	-0.08122	-0.08148	-0.09025	-0.08973	-0.08925	-0.09119	-0.08984	-0.08658	-0.08375	-0.11256	-0.14446	-0.12298	-0.12959	-0.14023	-0.15531	-0.16752	-0.16801	-0.16631	-0.16390	-0.15795	-0.15134	-0.15107	-0.14909	-0.14532	-0.13515	-0.12378	-0.11052	-0.09817	-0.08509	-0.07497	-0.07260	-0.07594	
       6	  -4.993	     NaN	     NaN	     NaN	0.084403	 -0.1953	     NaN	     NaN	   81.32	   0.000	4.932E+5	   0.042	  124.79	   14.38	    53.5	 1025.50	   22.98	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98973	 0.97486	 0.94876	 0.93374	 0.91539	 0.89280	 0.86992	 0.84394	 0.81556	 0.78676	 0.75833	 0.74638	 0.73573	 0.72558	 0.71778	 0.70882	 0.69771	 0.69098	 0.68337	 0.67569	 0.67172	 0.66538	 0.66421	 0.65975	 0.65621	 0.65682	 0.65666	 0.65825	 0.66262	 0.66872	 0.67226	 0.67967	 0.68568	 0.69329	 0.70083	 0.70788	 0.71685	 0.72533	 0.73362	 0.74509	 0.75551	 0.76191	 0.77208	 0.79278	 0.81078	 0.83336	 0.85837	 0.87817	 0.89562	 0.91606	 0.93069	 0.95440	 0.97352	 0.98673	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03583	-0.02895	-0.03050	-0.04956	-0.06985	-0.08479	-0.09862	-0.09960	-0.09772	-0.09354	-0.08486	-0.07648	-0.05757	-0.04566	-0.04826	-0.06144	-0.04176	-0.03247	-0.05081	-0.05030	-0.04978	-0.05221	-0.05628	-0.05599	-0.05613	-0.09410	-0.08471	-0.08113	-0.07663	-0.07641	-0.08454	-0.08346	-0.08274	-0.08438	-0.08266	-0.07981	-0.07725	-0.10637	-0.13703	-0.11410	-0.11946	-0.12914	-0.14319	-0.15537	-0.15518	-0.15367	-0.15183	-0.14629	-0.14013	-0.14036	-0.13894	-0.13605	-0.12672	-0.11619	-0.10401	-0.09276	-0.08068	-0.07204	-0.06979	-0.07379	
       7	  -4.000	     NaN	     NaN	     NaN	0.074582	 -0.1665	     NaN	     NaN	   78.67	   0.000	4.944E+5	   0.042	  125.39	   14.42	    53.7	 1025.51	   22.98	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98590	 0.96406	 0.95110	 0.93223	 0.90932	 0.88765	 0.86190	 0.83222	 0.80618	 0.77688	 0.76499	 0.75407	 0.74308	 0.73457	 0.72481	 0.71215	 0.70529	 0.69688	 0.68991	 0.68495	 0.68002	 0.68103	 0.67837	 0.67588	 0.67843	 0.67913	 0.68105	 0.68502	 0.69093	 0.69281	 0.69980	 0.70481	 0.71243	 0.71992	 0.72635	 0.73606	 0.74583	 0.75546	 0.76726	 0.77924	 0.78737	 0.80063	 0.82330	 0.84332	 0.86474	 0.88679	 0.90480	 0.92218	 0.94177	 0.95450	 0.97451	 0.98721	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03471	-0.02833	-0.02901	-0.04213	-0.06017	-0.07222	-0.08601	-0.08831	-0.08704	-0.08267	-0.07467	-0.06779	-0.05172	-0.04286	-0.04606	-0.05862	-0.04351	-0.03450	-0.05316	-0.05261	-0.05206	-0.05404	-0.05803	-0.05712	-0.05685	-0.09472	-0.08471	-0.08101	-0.07616	-0.07558	-0.08307	-0.08153	-0.08026	-0.08149	-0.07992	-0.07721	-0.07476	-0.10505	-0.13198	-0.10744	-0.11094	-0.11909	-0.13222	-0.14337	-0.14282	-0.14152	-0.13983	-0.13482	-0.12965	-0.12995	-0.12924	-0.12692	-0.11838	-0.10891	-0.09789	-0.08806	-0.07705	-0.06935	-0.06811	-0.07292	
       8	  -3.002	     NaN	     NaN	     NaN	0.067458	 -0.1316	     NaN	     NaN	   81.12	   0.000	4.955E+5	   0.042	  125.93	   14.45	    54.0	 1025.51	   22.98	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97826	 0.96818	 0.95299	 0.93354	 0.91340	 0.89035	 0.86438	 0.83819	 0.80664	 0.79363	 0.78198	 0.76985	 0.75933	 0.74845	 0.73540	 0.72838	 0.72144	 0.71304	 0.70775	 0.70302	 0.70233	 0.69976	 0.69734	 0.69929	 0.69901	 0.70146	 0.70397	 0.70920	 0.71134	 0.71843	 0.72274	 0.73119	 0.73847	 0.74516	 0.75279	 0.76220	 0.77083	 0.78247	 0.79343	 0.80026	 0.81244	 0.83467	 0.85105	 0.87008	 0.89193	 0.91043	 0.92755	 0.94443	 0.95530	 0.97404	 0.98740	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03312	-0.02676	-0.02762	-0.03689	-0.05086	-0.06193	-0.07476	-0.07649	-0.07668	-0.07323	-0.06659	-0.06080	-0.04610	-0.04023	-0.04343	-0.05516	-0.04480	-0.03591	-0.05514	-0.05456	-0.05397	-0.05607	-0.05978	-0.05873	-0.05846	-0.09555	-0.08525	-0.08112	-0.07582	-0.07475	-0.08178	-0.07954	-0.07778	-0.07856	-0.07689	-0.07376	-0.07126	-0.10069	-0.12454	-0.09854	-0.10046	-0.10722	-0.11886	-0.12925	-0.12835	-0.12709	-0.12579	-0.12129	-0.11662	-0.11735	-0.11696	-0.11540	-0.10802	-0.09987	-0.08996	-0.08140	-0.07190	-0.06524	-0.06549	-0.07112	
       9	  -1.994	     NaN	     NaN	     NaN	0.059175	 -0.0707	     NaN	     NaN	   78.64	   0.000	4.965E+5	   0.042	  126.44	   14.48	    54.2	 1025.51	   22.98	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98726	 0.97624	 0.95944	 0.94450	 0.92256	 0.89467	 0.86676	 0.83525	 0.82194	 0.80853	 0.79578	 0.78477	 0.77278	 0.75965	 0.75213	 0.74319	 0.73469	 0.72812	 0.72075	 0.71922	 0.71611	 0.71390	 0.71546	 0.71625	 0.71926	 0.72295	 0.72789	 0.73083	 0.73838	 0.74429	 0.75229	 0.75925	 0.76585	 0.77507	 0.78340	 0.79095	 0.80199	 0.81213	 0.81845	 0.82918	 0.84881	 0.86588	 0.88448	 0.90633	 0.92515	 0.93996	 0.95649	 0.96596	 0.98027	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.03304	-0.02681	-0.02745	-0.03295	-0.04214	-0.05144	-0.06438	-0.06812	-0.06874	-0.06548	-0.05916	-0.05400	-0.04037	-0.03650	-0.03954	-0.05017	-0.04701	-0.03912	-0.05865	-0.05882	-0.05899	-0.06120	-0.06511	-0.06382	-0.06355	-0.10073	-0.09007	-0.08560	-0.07985	-0.07855	-0.08498	-0.08254	-0.07984	-0.08014	-0.07789	-0.07448	-0.07176	-0.10074	-0.11711	-0.08847	-0.08781	-0.09239	-0.10229	-0.11122	-0.10950	-0.10833	-0.10727	-0.10298	-0.09984	-0.10004	-0.10049	-0.09956	-0.09356	-0.08673	-0.07862	-0.07166	-0.06387	-0.05903	-0.06069	-0.06749	
